local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3068.204889543783	35968	30720	48	38.61027105734767	71.25089605734767	35968	0	0.3140870973196191	48	32.0	1.0
135.71428571428572	266.14285714285717	3576.91925361851	71680	66560	104	148.231686827957	209.9790266577061	71680	8	0.6693240402798567	104	32.0	1.0
195.85766423357666	344.02919708029196	3580.381635266407	104192	102400	160	145.13256643700788	206.0355868602362	104192	209	0.4184289363079837	160	32.0	1.0
357.5	442.0	3517.483596496666	139136	137600	214	120.09644001831502	138.5440418956044	139136	256	0.6889706332650449	214	32.0	1.0
204.23387096774192	328.64516129032256	3387.593136684491	174592	171520	267	154.22142937725633	226.37829986462094	174592	325	0.2799990902531822	267	32.0	1.0
242.7858126721763	364.4056473829201	3326.614645528473	208384	204800	320	124.560546875	158.84224076704547	208384	496	2.549749145530305	320	32.0	1.0
326.6666666666667	364.25	3576.487277707995	243712	240640	376	172.54585597826087	168.97735507246378	243712	530	1.5169430106346096	376	32.0	1.0
206.38020833333331	329.6256510416667	3391.906676761985	277248	274560	429	127.5808086832061	185.44605796755727	277248	707	0.777106541226495	429	32.0	1.0
153.17028985507247	327.5688405797102	3452.1578802583613	312704	309120	482	114.7231780234657	130.4408844765343	312704	770	1.5925049454254925	482	32.0	1.0
157.8125	324.6645833333333	3378.9516985971904	348032	343040	536	135.26098278985506	205.48482789855072	348032	869	0.3837636462930176	536	32.0	1.0
165.26442307692307	340.20833333333337	3581.4077234964934	381824	378880	592	110.22801254734848	147.0706084280303	381824	1006	0.5881287482167993	592	32.0	1.0
207.77027027027026	359.93243243243245	3583.8685839204295	416768	414720	648	147.3128434065934	180.4501774267399	416768	1046	0.466590428724885	648	32.0	1.0
236.94058641975312	343.45910493827165	3318.6792541470877	451072	448000	699	160.81142140858208	203.51475046641792	451072	1187	0.6962668095149246	699	32.0	1.0
