local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3120.586358156072	35968	31360	48	38.67257504480287	71.25089605734767	35968	0	0.761959151995446	48	32.0	1.0
120.83333333333331	264.7368421052632	3519.4010571301988	71296	66560	104	136.72299592391303	207.8406929347826	71296	23	0.5463827958862696	104	32.0	1.0
223.676844783715	332.80916030534354	3519.691189203828	103424	101760	158	137.25333042828686	167.16082544820716	103424	231	0.7695222267950023	158	32.0	1.0
489.1304347826087	424.7608695652174	3388.9604181773325	138880	135680	212	153.4049244133574	147.0632615072202	138880	258	0.7131389600259287	212	32.0	1.0
251.06534090909096	326.7140151515151	3314.324857239868	172928	168960	264	187.4728324718045	231.82460056390977	172928	370	0.2730062327419336	264	32.0	1.0
267.4428104575164	368.1813725490196	3577.775939959643	206336	204800	320	106.92423970306514	133.12796336206895	206336	506	0.7156721736703601	320	32.0	1.0
223.89705882352942	321.02941176470586	3324.7671083987016	241280	238080	372	169.61495535714286	184.44456845238096	241280	541	0.6445352754627283	372	32.0	1.0
258.1808943089431	343.28997289972904	3324.9407846970025	274688	271360	424	155.40439415708812	201.4151999521073	274688	704	0.6095659821652449	424	32.0	1.0
219.64285714285714	367.51785714285717	3580.790754669695	309504	307200	480	122.02292049632354	139.37005974264707	309504	771	0.5922636305913329	480	32.0	1.0
271.59090909090907	329.6233766233766	3580.31929903376	344064	343040	535	172.40813078703704	203.51553819444445	344064	861	1.1642245793884451	535	32.0	1.0
303.6651234567901	347.9050925925926	3067.3608250308835	378752	373760	584	156.47342020295204	157.71508879151293	378752	997	1.0541437012808663	584	32.0	1.0
283.59375	352.2013888888889	3579.3825556769366	413440	409600	640	149.02920318265683	172.20029981549814	413440	1054	0.6543645512844835	640	32.0	1.0
183.15373563218392	329.66954022988506	3518.1066174346124	446464	444800	694	123.0514171511628	178.26892562984497	446464	1212	0.5348163618257752	694	32.0	1.0
178.3582089552239	334.7761194029851	3249.1407900114623	481536	477440	745	123.39972057481752	145.88418111313868	481536	1286	0.584113620075525	745	32.0	1.0
188.33333333333334	324.30392156862746	3455.97643448686	515712	512000	800	138.32440894194755	188.17284058988764	515712	1392	0.4503724676641551	800	32.0	1.0
205.0	326.41754385964913	3578.3752598165406	548992	547840	856	120.41015625	142.09660456730768	548992	1514	0.6294314499412265	856	32.0	1.0
228.96505376344086	313.01344086021504	3252.3061162689114	584064	580480	906	149.20378079379563	169.06945711678833	584064	1585	0.6655941301584244	906	32.0	1.0
241.2241887905605	321.146017699115	3389.4075416721253	618240	614400	960	139.5665086610487	163.87491221910113	618240	1735	0.6911228692366017	960	32.0	1.0
303.9511494252874	333.0344827586207	3579.424574157741	652416	650240	1016	165.33971207865167	155.63723080524343	652416	1803	1.1104948418214917	1016	32.0	1.0
323.3024691358025	327.858024691358	3389.702620592223	686848	684160	1069	177.9340439126394	190.30462941449815	686848	1897	0.573232780087669	1069	32.0	1.0
256.66666666666663	337.7496969696969	3260.1264514515856	721280	716800	1120	134.0925592472119	148.3139811802974	721280	2043	1.1214389470862407	1120	32.0	1.0
303.7878787878788	311.4810606060606	3573.9639731227303	755328	752640	1176	182.21701715225564	161.94058388157896	755328	2118	1.908097701413291	1176	32.0	1.0
268.435534591195	317.4897798742138	3254.5590486657343	788864	785280	1226	168.88567509541986	168.99600429389312	788864	2264	0.9211130556464195	1226	32.0	1.0
272.46835443037975	311.5126582278481	3386.8218649450937	823680	819200	1280	147.30799057904412	142.16391888786765	823680	2353	0.8166962497764163	1280	32.0	1.0
264.60784313725486	307.52941176470586	3582.85560234774	858112	855040	1336	162.72145097583643	177.46433550185873	858112	2465	0.5941679326019117	1336	32.0	1.0
298.2110507246377	316.8713768115942	3386.160950734072	891648	888960	1389	151.49466245229007	141.50998926526717	891648	2578	0.9603808764016853	1389	32.0	1.0
341.09589041095893	314.0890410958904	3384.887973250897	926976	922880	1441	186.07195425724638	167.4374716938406	926976	2659	0.799858319071623	1441	32.0	1.0
313.2982866043614	317.39875389408104	3448.340618204741	961408	957440	1496	167.8453183085502	156.49410432156134	961408	2805	1.127629358660091	1496	32.0	1.0
326.1363636363636	317.72727272727275	3583.666437297554	995456	993280	1552	176.05365953947367	153.5183564379699	995456	2881	1.0668513990406479	1552	32.0	1.0
319.67374213836484	310.49528301886795	3261.0718568039156	1029632	1025920	1603	183.6932350187266	167.35059691011236	1029632	3028	0.9952320374694525	1603	32.0	1.0
315.3716216216216	314.8716216216216	3382.0108092524188	1064448	1059840	1656	164.29156135110293	147.05178653492646	1064448	3116	0.835631583096846	1656	32.0	1.0
312.74801587301585	316.3015873015873	3574.948552216264	1098496	1095680	1712	191.605233787594	174.89414943609023	1098496	3223	0.7730604157383952	1712	32.0	1.0
307.7319587628866	321.0360824742268	3510.5669349368054	1132416	1130880	1766	161.17998231132074	148.47278891509433	1132416	3348	0.773604530427191	1766	32.0	1.0
308.15727699530515	314.67370892018783	3196.478336717136	1167488	1162880	1816	186.58687842153284	166.96846487226279	1167488	3435	0.7138633938133716	1816	32.0	1.0
306.63659793814435	321.76202749140896	3516.6827022763355	1201280	1198080	1872	173.59138257575756	163.7418027935606	1201280	3554	0.7782712653279305	1872	32.0	1.0
306.94444444444446	324.4259259259259	3573.8740757129294	1235584	1233920	1928	172.7677530317164	154.7715135261194	1235584	3643	0.5984768046598349	1928	32.0	1.0
297.175925925926	318.6888888888889	3135.071804960394	1269888	1265280	1976	182.78772154850745	170.16531599813433	1269888	3769	0.5862628218407432	1976	32.0	1.0
298.4803921568627	324.2901960784314	3519.592012015285	1303808	1300480	2032	165.18573113207546	152.59501768867923	1303808	3873	0.6698409742010492	2032	32.0	1.0
306.7013888888889	315.9731481481482	3582.6768802434212	1337728	1336320	2088	183.80675117924528	168.07847877358492	1337728	3968	0.5410965867340565	2088	32.0	1.0
305.02450980392155	319.4248366013072	3188.925786629265	1372416	1368320	2137	169.8397140221402	157.76207910516604	1372416	4091	0.6355499485317542	2137	32.0	1.0
314.98917748917745	317.7554112554113	3452.1961925735523	1406720	1402880	2192	178.66866837686567	160.20239622201493	1406720	4180	0.6824911805716428	2192	32.0	1.0
322.3901098901099	317.11355311355317	3583.0316093844417	1440384	1438720	2248	180.06772813688212	162.6869653041825	1440384	4296	0.7471770590969494	2248	32.0	1.0
332.0054945054945	321.7857142857143	3323.8422492159043	1475200	1472000	2300	175.26352826286765	156.20990349264707	1475200	4406	0.6801285568911296	2300	32.0	1.0
325.2480158730159	309.5138888888889	3327.45101830848	1509504	1505280	2352	181.38919659514926	162.14540578358208	1509504	4517	0.5725308229716924	2352	32.0	1.0
329.54545454545456	311.15340909090907	3572.7457296539937	1542656	1541120	2408	171.0341759169884	151.2142253861004	1542656	4623	0.6232827484075513	2408	32.0	1.0
328.3244680851064	311.4751773049645	3256.6329648739534	1577344	1573760	2458	184.6142758302583	163.81895756457564	1577344	4737	0.6092041483521462	2458	32.0	1.0
335.83801498127343	312.74531835205994	3389.8726332794863	1610880	1607680	2512	171.5447578721374	153.54079198473283	1610880	4846	0.7117347808347808	2512	32.0	1.0
331.5972222222222	315.55753968253964	3581.9338334282406	1645184	1643520	2568	181.39211170708955	161.05235541044777	1645184	4944	0.7794049017663512	2568	32.0	1.0
325.9114583333333	315.6354166666667	3194.1508781350603	1679616	1675520	2617	178.44519632899627	160.29126974907064	1679616	5064	0.6569576877720502	2617	32.0	1.0
336.280487804878	317.8536585365854	3454.0137977888853	1713408	1710080	2672	177.13660037878788	155.95120146780303	1713408	5161	0.6938380539417267	2672	32.0	1.0
328.6082474226804	311.61340206185565	3516.0949361226703	1746816	1745280	2726	184.083902059387	163.86263769157088	1746816	5269	0.58141789364594	2726	32.0	1.0
338.12260536398463	317.26628352490417	3133.454122314924	1781632	1776640	2776	172.97937729779412	152.91650390625	1781632	5379	0.5646015539765358	2776	32.0	1.0
335.91954022988506	314.84099616858236	3577.7790054591146	1815552	1812480	2832	184.12072523584905	164.2412441037736	1815552	5482	0.486375787162355	2832	32.0	1.0
320.53921568627453	322.1313725490196	3519.2393154231636	1849216	1847680	2886	180.46577946768062	164.55302400190115	1849216	5586	0.48528766024995734	2886	32.0	1.0
322.9609929078014	318.6843971631206	3135.989906343523	1883776	1879040	2936	175.47670717592592	157.16724537037038	1883776	5704	0.5481471917033196	2936	32.0	1.0
