local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3064.370679183632	33536	30720	48	155.78876201923077	66.5	33536	0	1.2855431061858933	48	32.0	1.0
560.0	244.0	3508.397281282331	67456	65920	102	427.3870872641509	197.47853773584905	67456	2	0.6345071273476437	102	32.0	1.0
682.6959426627794	320.7244897959184	3132.2668683890365	99200	97280	152	348.2043850806452	158.30311239919354	99200	256	1.6720636649429799	152	32.0	1.0
400.0	221.5	3195.4622239831715	133504	129280	202	296.2190998134328	136.01906483208955	133504	258	1.2747305248677732	202	32.0	1.0
638.0489541611037	300.84837561192705	3448.039420669067	165504	163840	256	462.5653125	206.349875	165504	443	1.6645201411512163	256	32.0	1.0
763.0065359477125	341.8660130718954	3130.4097054539225	199808	195200	304	270.6815531716418	116.20866371268657	199808	512	1.4511667811311781	304	32.0	1.0
550.3205128205128	258.8871794871795	3510.3878085749857	232832	230400	360	386.60882994186045	172.7378270348837	232832	607	0.8685935315276895	360	32.0	1.0
681.4736842105264	321.0017543859649	3070.3053055255837	265728	261120	408	353.4703307392996	155.07158925097275	265728	731	0.7800172421460351	408	32.0	1.0
696.75	328.4	3574.1479455298795	298496	296960	464	364.65362548828125	167.37094116210938	298496	799	0.6597491590572255	464	32.0	1.0
679.0946502057612	328.7921810699588	3071.6171375657273	331648	327680	512	437.9232022200772	197.02156732625483	331648	901	0.6970033614585797	512	32.0	1.0
764.4715447154472	364.6463414634146	3378.3950117528407	364160	361600	564	417.30376476377955	186.54530634842519	364160	998	0.6543226755009248	564	32.0	1.0
792.3333333333334	360.1977777777778	3261.3985350277926	397056	394240	616	427.0999513618677	186.80538667315176	397056	1088	1.0312172114275968	616	32.0	1.0
708.4786821705426	335.49612403100775	3191.657016667119	430464	426240	665	422.4179837164751	178.7471563697318	430464	1188	0.8027784316515436	665	32.0	1.0
772.390350877193	347.75657894736844	3449.548972075661	462976	460800	720	439.4752706692913	180.1638471948819	462976	1279	0.8981981773268093	720	32.0	1.0
748.7274774774775	327.795045045045	3129.2135902450214	496768	492160	768	458.5256865530303	183.4676846590909	496768	1366	0.8896820594867071	768	32.0	1.0
836.9814814814816	349.9981481481481	3518.3702922335265	529024	527360	824	453.1640625	178.77926587301587	529024	1490	0.838572015054524	824	32.0	1.0
783.1735159817351	336.134703196347	3063.0634990378912	563072	558080	872	418.2316141917293	169.58438087406014	563072	1583	0.8225052934139967	872	32.0	1.0
752.3033707865169	322.4737827715356	3583.587754942951	595072	593920	927	428.0603125	172.732625	595072	1693	0.8640868765386668	927	32.0	1.0
717.1161048689138	317.80898876404495	3071.9279313782577	628864	624640	976	412.3765980113636	159.9003018465909	628864	1799	0.9788131437131337	976	32.0	1.0
