local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3071.6106206495765	34176	30720	48	164.6303066037736	67.75094339622642	34176	0	1.7406729058905814	48	32.0	1.0
520.0	250.83333333333334	3518.6889345486375	67584	65920	103	461.3278256704981	197.95728568007664	67584	13	1.7724820188839328	103	32.0	1.0
713.7690972222222	310.5520833333333	3133.61618872324	99456	97280	152	329.7546435742972	136.75919302208834	99456	256	1.2098402101166394	152	32.0	1.0
432.0	235.2	3256.8629089019582	133504	129920	202	300.88199013157896	144.98751762218046	133504	263	1.0603519253432752	202	32.0	1.0
572.976401179941	276.39262536873156	3325.7121329811803	164864	163200	255	397.9764030612245	179.02834821428573	164864	425	1.0971406909092418	255	32.0	1.0
707.1379310344828	334.19827586206895	3132.1756472766797	198784	194560	304	290.4080188679245	121.15268278301886	198784	516	0.8742182491993418	304	32.0	1.0
570.0626780626781	266.56381766381764	3377.689347137616	231040	228480	356	368.27566964285717	161.91582961309524	231040	679	0.8373818469162171	356	32.0	1.0
686.3425925925926	309.412037037037	3259.83262859475	264192	261120	408	315.8412765444015	131.11115468146718	264192	768	0.7286735265873946	408	32.0	1.0
681.0928961748633	296.2513661202186	3381.8417449968597	297600	295040	460	444.1849257662835	183.39547413793105	297600	844	0.7139857402787759	460	32.0	1.0
784.5333333333334	329.055	3254.246270622759	330240	327680	512	423.73805147058823	161.1141544117647	330240	976	0.5394431286706374	512	32.0	1.0
848.0	349.06363636363636	3250.347823712743	363904	360320	562	417.28641872623575	162.1420805608365	363904	1038	0.6478587611019612	562	32.0	1.0
823.9298245614036	327.73070175438596	3378.2242231789673	396544	394240	616	484.1035539215686	185.4062193627451	396544	1159	0.5292620703026101	616	32.0	1.0
842.7906976744187	337.30620155038764	3196.163510129905	430336	426240	665	419.4803503787879	155.11502722537878	430336	1276	0.602691692661266	665	32.0	1.0
782.3376623376623	306.7781385281385	3455.773504224703	462976	460800	720	461.58578431372547	166.1889399509804	462976	1380	0.6450776529583064	720	32.0	1.0
793.5308641975308	300.13415637860084	3134.92423237618	496896	492160	768	391.29716981132077	138.21715801886793	496896	1492	0.5828112286205093	768	32.0	1.0
814.8258706467662	301.5062189054727	3518.2963419269436	529024	527360	824	442.7010707171315	157.29976967131475	529024	1572	0.7016700245440006	824	32.0	1.0
818.8552188552187	303.3804713804714	3064.5150589775585	562816	558080	872	444.0169270833333	159.40530303030303	562816	1714	0.6987846575987836	872	32.0	1.0
815.4589371980676	308.77536231884056	3580.9429296616936	595840	593920	928	417.0294331395349	148.3832667151163	595840	1791	0.6209133102425507	928	32.0	1.0
780.6472491909384	310.8584142394823	3065.873448774599	629248	624640	976	445.64056513409963	168.15804597701148	629248	1923	0.6352494970584909	976	32.0	1.0
785.3479853479854	313.6703296703297	3583.598433670086	661632	660480	1031	404.044898715415	148.58930335968378	661632	2040	0.7268140364776958	1031	32.0	1.0
652.7217125382264	262.9403669724771	3063.07777117401	695168	691200	1080	309.59386927480915	127.48058802480917	695168	2192	0.6224939768411675	1080	32.0	1.0
541.4982817869416	235.5993127147766	3387.3570566847607	727680	725120	1132	262.74790846456693	117.4068343996063	727680	2326	0.7314346085947293	1132	32.0	1.0
541.2567049808429	234.80842911877394	3256.4352761579235	760704	757760	1184	284.66448643410854	119.07225048449612	760704	2456	0.7703453676345257	1184	32.0	1.0
571.1111111111111	238.84084084084088	3134.213089999648	793856	789120	1233	281.67199565637065	121.49318291505791	793856	2616	0.6262467222250238	1233	32.0	1.0
578.9803921568628	243.428431372549	3516.8390989219865	826112	824320	1288	292.63237847222223	121.58218625992063	826112	2728	1.1158094788139516	1288	32.0	1.0
597.3191489361703	253.295390070922	3067.767387605825	859392	855040	1336	328.03064903846155	128.6142127403846	859392	2879	0.6981316373373071	1336	32.0	1.0
557.7304964539006	237.65780141843973	3506.688591699219	891776	890240	1390	263.2040513833992	116.71979990118577	891776	3007	0.7037459404932128	1390	32.0	1.0
503.072463768116	234.6949275362319	3130.70736819847	925824	921600	1440	263.1332236842105	120.96440319548873	925824	3139	0.5942463082075119	1440	32.0	1.0
531.0386473429952	248.10748792270527	3324.5699329548197	958080	954880	1492	301.65984623015873	130.10314360119048	958080	3246	0.42730391971193826	1492	32.0	1.0
618.9583333333334	288.1488095238095	3320.208919470974	991360	988160	1544	402.5342548076923	162.31177884615386	991360	3354	0.5415274016559124	1544	32.0	1.0
729.84496124031	323.3410852713178	3255.03974392999	1024384	1020800	1594	433.6467417635659	162.45669815891472	1024384	3466	0.48663692161440847	1594	32.0	1.0
912.9710144927536	359.7028985507246	3380.721347868778	1058176	1054720	1648	482.15287642045456	179.14722419507575	1058176	3515	0.4541185465123918	1648	32.0	1.0
948.6056338028169	373.4098591549295	3262.4958914982344	1091072	1087360	1698	513.5879742217899	201.88156614785993	1091072	3620	0.9203852891921998	1698	32.0	1.0
981.2056737588651	399.98581560283685	3390.067542913353	1124608	1121280	1752	558.2803554389313	213.6054985687023	1124608	3672	0.5387733141995139	1752	32.0	1.0
1036.3480392156862	430.4362745098039	3194.585820840015	1157376	1153280	1801	577.3263549804688	216.23114013671875	1157376	3759	0.6324145109677801	1801	32.0	1.0
1026.551282051282	396.3861111111111	3455.2220135522844	1188992	1187840	1855	476.45084767206475	186.14432565789474	1188992	3870	0.6288673432060966	1855	32.0	1.0
930.7142857142857	405.25	3066.8261114205334	1223168	1218560	1904	415.81724016853934	208.3358204588015	1223168	3899	0.39560113543150377	1904	32.0	1.0
963.7735849056604	432.1509433962264	3583.339086742996	1255680	1254400	1960	594.9108021653543	275.0511503444882	1255680	3952	0.681701277515718	1960	32.0	1.0
1158.4773662551438	467.99176954732513	3066.65078580877	1288576	1285120	2008	658.8305569066148	261.81037208171205	1288576	4054	0.8003553757444024	2008	32.0	1.0
1310.1344086021504	504.26612903225805	3383.367311407751	1321600	1319040	2060	726.351441375969	228.8012354651163	1321600	4123	1.1238296513374035	2060	32.0	1.0
1458.9204545454545	492.5	3263.0633959716774	1355648	1351680	2112	737.6051456766917	227.52998707706766	1355648	4177	1.4284630004459848	2112	32.0	1.0
1178.3261243386244	401.51769179894177	3391.945736036566	1388288	1385600	2164	538.0704656862745	196.44641544117647	1388288	4326	1.2303433243471842	2164	32.0	1.0
872.1428571428571	354.17857142857144	3260.6793080176835	1422208	1418240	2216	379.8643867924528	160.6501474056604	1422208	4404	0.9000016492433273	2216	32.0	1.0
686.0470085470085	305.8344017094017	3454.6828843592693	1454848	1452800	2269	352.26807598039215	156.63324142156864	1454848	4515	0.7726821658324521	2269	32.0	1.0
643.452380952381	312.7916666666667	3199.473277020983	1488128	1484800	2320	377.15024038461536	171.2221153846154	1488128	4620	0.5080707268972023	2320	32.0	1.0
819.0476190476192	329.98214285714283	3321.4549748023173	1521152	1518080	2371	552.4055232558139	199.57827640503876	1521152	4684	1.2143925180037816	2371	32.0	1.0
1128.5185185185187	380.1031746031746	3327.8069631018348	1554560	1551360	2424	697.2874760536398	215.37775383141764	1554560	4762	0.900254118976728	2424	32.0	1.0
1195.3679653679656	400.19372294372295	3198.476067883001	1587584	1583360	2474	581.2599927325581	196.01020469961242	1587584	4877	1.0571356868743897	2474	32.0	1.0
1203.25	390.43333333333334	3438.69879417809	1620352	1617920	2528	690.7296752929688	197.71310424804688	1620352	4946	1.2659530123626743	2528	32.0	1.0
1442.7777777777778	408.07037037037037	3129.0985772327745	1653888	1649280	2576	963.7216722328244	233.19498449427482	1653888	4999	1.5804562227179606	2576	32.0	1.0
1743.6290322580646	453.8790322580645	3513.367387221156	1686272	1684480	2632	1077.8866106719368	254.78887722332016	1686272	5075	0.915711082917239	2632	32.0	1.0
1619.7972972972973	450.6554054054054	3062.153342589813	1719808	1715200	2680	874.1629890267176	237.54642771946564	1719808	5161	1.5209585530683398	2680	32.0	1.0
1572.4754901960785	453.96813725490193	3583.4828505112137	1752192	1751040	2736	706.4479372529644	213.07655014822134	1752192	5243	1.0110345525400979	2736	32.0	1.0
1395.4651162790697	454.1046511627907	3067.527760444851	1786240	1781760	2784	619.5353618421053	232.0452890037594	1786240	5291	1.1309363764400284	2784	32.0	1.0
1192.9468599033817	443.0483091787439	3576.5894753511925	1818624	1817600	2839	593.9479372529644	242.71692811264822	1818624	5372	0.9168054204095494	2839	32.0	1.0
1135.5384615384614	467.44615384615383	3061.3816295127895	1852416	1848320	2888	535.833925189394	232.78190104166666	1852416	5444	0.9365412310069922	2888	32.0	1.0
1434.6825396825398	468.9761904761905	3519.290655059865	1885056	1883520	2942	845.8253676470588	243.7310355392157	1885056	5515	1.795365117214344	2942	32.0	1.0
1523.9473684210527	466.87719298245617	3134.4825690135044	1918592	1914880	2992	932.6994871183206	250.6309339217557	1918592	5576	1.3002696323394776	2992	32.0	1.0
1769.0211640211642	497.73015873015873	3260.3832890203416	1951104	1947520	3042	1089.0483513779527	255.75796628937007	1951104	5647	1.592734131217003	3042	32.0	1.0
1890.144927536232	505.1050724637682	3390.989568051779	1984256	1981440	3096	1188.835666023166	256.8791023166023	1984256	5703	1.6228358844916027	3096	32.0	1.0
2143.6206896551726	525.0689655172414	3132.6925376976283	2017408	2012800	3144	1345.875361969112	281.68167833011586	2017408	5770	1.8049269480009873	3144	32.0	1.0
1921.9301075268818	457.45788530465944	3518.727594818339	2049664	2048000	3200	928.234126984127	215.91892981150792	2049664	5896	1.1226135364600591	3200	32.0	1.0
901.0747663551404	289.60336003560303	3067.2616655264824	2083328	2078720	3248	312.0790755703422	120.52934885931559	2083328	6063	0.8290812689810991	3248	32.0	1.0
466.4779874213837	215.70754716981133	3568.561856128734	2115584	2114560	3303	370.6569320436508	128.45771329365078	2115584	6129	1.0427626875313845	3303	32.0	1.0
1154.8507462686566	316.1243781094528	3069.7877027299305	2149376	2145280	3352	819.6371922348485	196.7789121685606	2149376	6213	1.3498382474086723	3352	32.0	1.0
1313.4583333333335	346.86309523809524	3449.212763637684	2181888	2179840	3405	734.3211737204724	189.37223179133858	2181888	6293	1.946561095849523	3405	32.0	1.0
1978.3050847457628	450.10169491525426	3195.9237019947623	2215424	2211840	3456	1162.9782919847328	232.55996541030535	2215424	6358	1.746711320736829	3456	32.0	1.0
1846.8181818181818	442.8090909090909	3381.3963741707344	2248320	2245760	3508	1251.0688229571983	253.73285505836577	2248320	6422	1.353149114893033	3508	32.0	1.0
1897.5619047619045	475.8228571428571	3257.370093643088	2281728	2278400	3560	1207.9516882183907	245.0927622126437	2281728	6506	1.412550307237185	3560	32.0	1.0
2010.3191489361704	498.5531914893616	3262.337215304642	2314752	2311040	3610	1293.3854166666667	244.33142562984497	2314752	6562	1.5340481007099152	3610	32.0	1.0
2096.4893617021276	514.1595744680851	3389.305802231974	2347392	2344960	3664	1384.0422794117646	259.2899816176471	2347392	6619	1.2447806916855	3664	32.0	1.0
2127.923076923077	486.46153846153845	3130.6713774291356	2381056	2376320	3712	1414.194391634981	265.4146863117871	2381056	6694	1.3879413803418477	3712	32.0	1.0
2203.036529680365	504.55936073059354	3512.7244806032427	2413440	2411520	3768	1321.111351284585	248.31015316205534	2413440	6775	1.29410654093538	3768	32.0	1.0
2144.230769230769	486.2692307692308	3065.448207270128	2447488	2442240	3816	1309.7233317669172	233.5701362781955	2447488	6834	1.2964983613540728	3816	32.0	1.0
2142.8571428571427	475.9642857142857	3570.9475745746977	2480000	2478080	3872	1374.6681225393702	243.29598302165354	2480000	6898	1.0935260536415237	3872	32.0	1.0
2137.8306878306876	468.96560846560845	3066.1044999191886	2514048	2508800	3920	1392.443902725564	252.7977854793233	2514048	6966	1.3615216414133708	3920	32.0	1.0
2188.7948717948716	488.73589743589747	3581.7435114253544	2546176	2544640	3976	1396.9854955179283	247.86037101593627	2546176	7043	1.1775450243481569	3976	32.0	1.0
2247.7	496.98	3066.8740703355616	2579968	2575360	4024	1500.0736860795455	248.8628965435606	2579968	7098	1.191985160112381	4024	32.0	1.0
2318.3333333333335	485.0833333333333	3448.0197363874954	2611968	2609920	4077	1477.795	253.65096875	2611968	7166	1.4514180483683101	4077	32.0	1.0
2258.731343283582	480.6641791044776	3199.067273290513	2644736	2641920	4128	1419.95361328125	243.50872802734375	2644736	7242	1.42716933816087	4128	32.0	1.0
2248.4126984126983	482.3968253968254	3189.7349540148266	2678016	2673920	4177	1328.2686298076924	237.9048377403846	2678016	7312	1.1718293270286249	4177	32.0	1.0
2198.9285714285716	494.0625	3450.5590585599903	2710400	2708480	4232	1416.433115118577	258.25846096837944	2710400	7371	1.5011469743468544	4232	32.0	1.0
2113.6363636363635	482.770202020202	3067.999527879256	2744448	2739200	4280	1419.1506109022557	249.82662711466165	2744448	7446	1.0533278360962868	4280	32.0	1.0
2246.820987654321	497.4259259259259	3582.2742444662167	2776064	2775040	4335	1432.4158653846155	255.9585020242915	2776064	7508	1.4368575778874484	4335	32.0	1.0
2233.362068965517	496.9310344827586	3063.8223640048423	2809984	2805760	4384	1369.178950471698	241.13755896226414	2809984	7575	1.3954658216359663	4384	32.0	1.0
2329.68085106383	499.82978723404256	3444.302128731253	2842368	2840320	4437	1568.1148097826087	273.64402173913044	2842368	7625	1.2933399553568858	4437	32.0	1.0
2326.5555555555557	510.44166666666666	3196.2511164266443	2875520	2872320	4488	1525.0443412162163	262.46401423745175	2875520	7695	1.3196574256700628	4488	32.0	1.0
2432.861111111111	521.6916666666667	3262.396221454378	2908672	2904960	4539	1579.1891891891892	271.2467121138996	2908672	7765	1.322458245006262	4539	32.0	1.0
2518.0508474576272	540.3813559322034	3390.300526891282	2941568	2938880	4592	1490.3091561284048	256.9619102626459	2941568	7831	1.626169944709202	4592	32.0	1.0
2372.7272727272725	508.8181818181818	3133.9163283193625	2974848	2970240	4640	1590.5294471153845	276.3119891826923	2974848	7878	1.3344035235544045	4640	32.0	1.0
2505.535714285714	535.9107142857143	3508.8386194484337	3006976	3005440	4696	1558.0786230079682	273.12104706175296	3006976	7945	1.456282981804439	4696	32.0	1.0
2399.650537634409	517.3440860215054	3066.3651399724836	3040256	3036160	4744	1499.9975961538462	259.60378605769233	3040256	8014	1.2405543085187674	4744	32.0	1.0
2454.6153846153848	531.9903846153846	3518.9447286892546	3073024	3071360	4798	1488.6553955078125	265.5047912597656	3073024	8069	1.5471279394847375	4798	32.0	1.0
2396.6352201257864	533.2232704402517	3127.545129784801	3107072	3102720	4848	1555.646440319549	277.19011395676694	3107072	8129	1.5314068961143494	4848	32.0	1.0
2461.6666666666665	536.859649122807	3455.2570994252533	3139456	3137280	4902	1597.9616477272727	277.5019145256917	3139456	8192	1.2966888066795137	4902	32.0	1.0
2519.4736842105262	540.7543859649123	3198.8946537919664	3172992	3169280	4952	1580.1702647900763	279.3016758110687	3172992	8252	1.5160746443271638	4952	32.0	1.0
2541.0576923076924	575.2596153846154	3326.5099203971763	3205760	3202560	5003	1583.458251953125	280.651611328125	3205760	8311	1.833288120288475	5003	32.0	1.0
2562.8571428571427	555.9183673469388	3327.3304569946044	3238912	3235840	5056	1705.4135497104246	282.06186655405406	3238912	8365	1.5278046254841786	5056	32.0	1.0
2724.561403508772	552.3245614035088	3199.9600987641415	3272064	3267840	5105	1762.9961993243244	288.0215371621622	3272064	8427	1.2974281724618406	5105	32.0	1.0
2835.4032258064517	552.0483870967741	3444.9709781896754	3304448	3302400	5160	1686.0045083992095	268.1512166501976	3304448	8498	1.5624551122838801	5160	32.0	1.0
2763.6458333333335	530.09375	3062.423282979359	3337728	3333120	5208	1709.1069711538462	267.79771634615383	3337728	8548	1.467904994264245	5208	32.0	1.0
2741.2333333333336	559.19	3578.93643650972	3370368	3368960	5264	1799.6819852941176	285.1779411764706	3370368	8607	1.4671527573040553	5264	32.0	1.0
2695.2884615384614	550.3653846153846	3068.438557485211	3403904	3399680	5312	1772.3520992366412	289.56470658396944	3403904	8665	1.550914543370406	5312	32.0	1.0
2794.0	559.8090909090909	3390.6952347495826	3436160	3433600	5364	1772.5756448412699	288.1825706845238	3436160	8728	1.3778393188348184	5364	32.0	1.0
