local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
0.0	98.26923076923077	3071.3482096096577	32128	30720	48	0.3137550200803213	58.7777359437751	32128	67	0.007837638069759123	48	32.0	1.0
0.0	157.15572916666667	3068.8784436930828	64256	61440	96	5.714641434262949	114.19742903386454	64256	230	0.012685454792517703	96	32.0	1.0
20.409604519774014	198.9364406779661	3064.332053882712	96384	92160	144	12.524900398406375	131.08895667330677	96384	388	0.014156316556181991	144	32.0	1.0
30.860805860805858	206.26923076923077	3313.343271005807	128512	125440	195	15.81175298804781	129.69114168326692	128512	509	0.026366017530580946	195	32.0	1.0
168.1818181818182	351.75	3318.817653812068	161792	158720	248	75.81430288461539	202.47890625	161792	534	0.3965812815036976	248	32.0	1.0
241.8181818181818	365.2090909090909	3135.2267898103287	194816	190080	296	183.8390261627907	264.69125484496124	194816	598	0.5405062503026178	296	32.0	1.0
522.65625	432.1953125	3512.3761671481807	226944	225280	352	258.56573705179284	293.09708042828686	226944	666	0.5291542380915156	352	32.0	1.0
568.0555555555555	556.3425925925926	3067.014524858229	260352	256000	400	341.46611590038316	320.5165828544061	260352	707	0.48575078370049596	400	32.0	1.0
927.4193548387096	498.5806451612903	3574.0446127378755	292864	291840	455	474.1080216535433	376.7469242125984	292864	740	0.5037989937023005	455	32.0	1.0
1029.5454545454545	538.7045454545455	3060.365107543854	327296	322560	504	527.1898234200744	429.76440520446096	327296	784	0.547343798665976	504	32.0	1.0
867.6470588235294	739.3235294117648	3454.346415345018	359296	357120	558	470.578125	365.529375	359296	863	0.5085787022210382	558	32.0	1.0
864.7058823529412	653.2794117647059	3199.687225398442	392832	389120	608	521.9048187022901	361.69218153625957	392832	900	0.4053603962808847	608	32.0	1.0
844.3181818181819	709.7272727272727	3390.663153730077	425728	423040	661	565.9989056420234	375.55800097276267	425728	945	0.4666861926187884	661	32.0	1.0
989.2156862745098	716.3986928104574	3263.601688932284	458624	455680	712	564.226653696498	373.28316512645915	458624	1000	0.5886283879917041	712	32.0	1.0
930.6451612903226	683.516129032258	3380.2959490014614	492160	489600	764	604.7978291984733	386.23187022900765	492160	1033	0.45847444784326047	764	32.0	1.0
980.6201550387597	624.2093023255813	3262.7013149630234	525440	522240	816	667.0102163461538	405.6692608173077	525440	1081	0.5398223848046305	816	32.0	1.0
1170.9770114942528	626.6580459770114	3262.3660573061507	558464	554880	866	608.5755813953489	399.6394440406977	558464	1146	0.45506558269262315	866	32.0	1.0
