local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
0.0	99.34482758620689	3070.1889833060272	32000	30720	48	0.0	58.31672127016129	32000	75	0.03967785358933421	48	32.0	1.0
0.8849557522123894	153.9203539823009	3058.7845871407003	64640	61440	96	2.227328431372549	117.56078431372549	64640	220	0.03961639024297862	96	32.0	1.0
19.764011799410028	204.59882005899706	3058.054488656525	96896	92160	144	13.674975198412698	130.0865265376984	96896	385	0.08466817034059204	144	32.0	1.0
26.7578125	205.12825520833334	3132.133730607784	128256	123520	192	17.09502551020408	136.41138392857144	128256	550	0.02303591118834447	192	32.0	1.0
22.123893805309734	208.71681415929203	3260.2009053361603	159360	156160	243	15.53176440329218	125.49016203703704	159360	700	0.027296350191475128	243	32.0	1.0
36.51685393258426	211.84644194756552	3319.9746972416892	191232	189440	296	15.101029116465863	133.44273970883535	191232	809	0.04949447604001693	296	32.0	1.0
156.58914728682169	331.95348837209303	3068.293296305566	224512	220160	344	67.94170673076923	204.24975961538462	224512	856	0.17636624289055666	344	32.0	1.0
342.6829268292683	354.86382113821134	3314.8551887345147	256512	253440	395	165.15	209.99746875	256512	957	0.23444444967397288	395	32.0	1.0
699.3279569892474	423.67607526881716	3325.131033730991	289408	286720	448	242.84411478599222	216.25683973735408	289408	1032	0.4863595665204075	448	32.0	1.0
666.3168724279836	361.9430041152263	3059.388341340871	321920	317440	496	193.4578001968504	184.85082431102362	321920	1147	0.3333610285966036	496	32.0	1.0
387.14285714285717	352.2785714285714	3316.3948824480376	353792	350720	547	129.13842871485943	187.94506149598394	353792	1229	0.663247112915212	547	32.0	1.0
329.83870967741933	353.43548387096774	3319.881838776772	386176	384000	600	149.45034584980237	196.95080904150197	386176	1306	0.21997279631641675	600	32.0	1.0
676.5625	404.8359375	3066.8207827447854	419072	414720	648	255.84265564202335	221.59928258754863	419072	1379	0.25930395276130486	648	32.0	1.0
673.7179487179486	399.9423076923077	3446.8109781752205	451328	449280	701	292.5843253968254	240.6246589781746	451328	1442	0.37005357145560236	701	32.0	1.0
808.0065359477125	413.37254901960785	3198.2212803886505	483968	481280	752	299.6354166666667	222.4483762254902	483968	1563	0.6633468103759429	752	32.0	1.0
874.5283018867924	407.8867924528302	3067.474304082745	516864	512000	800	238.95002431906616	203.6201665856031	516864	1622	0.33861593979721266	800	32.0	1.0
812.121212121212	451.65530303030306	3566.2883780745697	548864	547840	855	358.89375	235.69028125	548864	1673	0.45399967337196523	855	32.0	1.0
1074.6835443037974	421.7088607594937	3071.801306797377	582144	578560	904	524.0234375	267.5289663461538	582144	1760	0.6898406981205454	904	32.0	1.0
1285.3603603603601	453.06306306306305	3194.713794546863	614656	610560	953	493.1840551181102	226.21813484251967	614656	1841	0.5011483122195516	953	32.0	1.0
1417.5287356321837	440.4540229885057	3452.7133275910046	646912	645120	1008	603.196304563492	235.72504340277777	646912	1909	0.5804734858599576	1008	32.0	1.0
1745.3846153846155	446.3	3066.5224064537542	679808	675840	1056	529.9215710116731	233.02252553501947	679808	1985	0.5408988198032603	1056	32.0	1.0
767.2067901234569	328.69984567901236	3067.7985031743565	711808	706560	1104	178.434375	155.34253125	711808	2147	0.3738717153464677	1104	32.0	1.0
287.2340425531915	341.72340425531917	3454.968856331264	743296	741120	1157	79.67162093495935	168.15837779471545	743296	2202	0.16890172573368786	1157	32.0	1.0
207.00564971751413	300.50875706214697	3192.6423073275428	775424	773120	1208	113.52714143426294	169.2578125	775424	2302	0.29979113825396	1208	32.0	1.0
550.0	380.3333333333333	3070.464439819106	809088	803840	1256	301.9249049429658	245.5961858365019	809088	2320	0.5676174418767914	1256	32.0	1.0
		3583.7647737402413	841984	839680	1312	505.66938229571986	368.1404426070039	841984	2320	0.6573250907074127	1312	32.0	1.0
		3320.4262718813206	876032	872960	1363	689.0331296992481	498.87890625	876032	2320	0.41877755475248774	1363	32.0	1.0
		3323.307851608648	910464	906240	1416	878.8220260223048	632.6178845260223	910464	2320	0.55220034367071	1416	32.0	1.0
1344.2708333333333	953.7395833333334	3574.762542167419	944128	942080	1472	1011.0117633079848	738.8191836977186	944128	2356	0.34177172037639786	1472	32.0	1.0
1184.0277777777776	950.2274305555557	3067.466344210054	978048	972800	1520	706.8278301886793	566.792954009434	978048	2472	0.21847978055787584	1520	32.0	1.0
1007.1078431372548	921.6127450980392	3582.1471375906463	1009792	1008640	1576	276.9751764112903	266.0348412298387	1009792	2559	0.2494049855241818	1576	32.0	1.0
889.2857142857143	961.5714285714286	3067.380905976239	1043456	1039360	1624	268.19451045627375	234.7076402091255	1043456	2575	0.35965470612669986	1624	32.0	1.0
900.0	1076.0	3579.764423155119	1076224	1075200	1679	426.2908935546875	343.1839599609375	1076224	2576	0.3923426799476147	1679	32.0	1.0
		3066.741511755373	1110656	1105920	1728	611.7710269516729	473.9256796003717	1110656	2576	0.3493904233434979	1728	32.0	1.0
900.0	850.0	3580.305655277854	1144064	1141760	1784	794.8305795019157	605.338122605364	1144064	2577	0.31475053414968507	1784	32.0	1.0
957.6797385620916	863.8513071895426	3188.9847342888283	1177856	1173760	1833	822.4343039772727	648.7166489109849	1177856	2645	0.305286920572422	1833	32.0	1.0
961.5511551155115	868.3927392739274	3445.3046405144173	1209856	1208320	1888	507.975	432.645625	1209856	2776	0.21784507825293326	1888	32.0	1.0
962.5	860.8020833333334	3068.5746244450447	1243008	1239040	1936	244.71826737451738	213.01656008687257	1243008	2826	0.3372252359986305	1936	32.0	1.0
950.0	872.6666666666666	3505.540984041733	1275776	1274240	1990	335.491943359375	262.0865478515625	1275776	2832	0.35352073161414377	1990	32.0	1.0
		3128.5528831516776	1310592	1305600	2040	521.2890625	389.09375	1310592	2832	0.4491181439161301	2040	32.0	1.0
		3582.4098123100857	1343232	1341440	2096	708.1770833333334	520.8594362745098	1343232	2832	0.30410018044390846	2096	32.0	1.0
950.0	839.2045454545455	3124.557825475651	1377408	1372800	2144	851.0504447565543	635.877106741573	1377408	2858	0.3488955337088555	2144	32.0	1.0
976.3565891472867	841.7228682170543	3519.774848081651	1409920	1408000	2200	697.4655511811023	550.7518147145669	1409920	2959	0.24155671861288802	2200	32.0	1.0
964.2322097378278	842.4456928838952	3070.019417395227	1442560	1438720	2248	319.63235294117646	271.45876225490196	1442560	3071	0.28232421570767957	2248	32.0	1.0
950.0	843.8333333333334	3389.0309747894134	1475200	1472640	2300	269.5404411764706	219.59932598039217	1475200	3087	0.34585403393094355	2300	32.0	1.0
1000.0	835.0	3256.4450360877127	1509376	1505280	2352	426.95166198501875	324.91198501872657	1509376	3088	0.3786593208519312	2352	32.0	1.0
		3574.6048568531364	1542912	1541120	2408	618.8394561068702	457.09765625	1542912	3088	0.33038604099835667	2408	32.0	1.0
1000.0	840.0	3263.9147895170563	1577344	1573760	2458	796.4393587360595	588.0233503717473	1577344	3090	0.3745101800560951	2458	32.0	1.0
960.15625	842.625	3390.0306271014224	1610880	1607680	2512	810.4782919847328	624.0573413645038	1610880	3161	0.25277199506483694	2512	32.0	1.0
956.072607260726	839.2247524752474	3186.0326824311724	1643776	1639680	2561	472.9906371595331	391.20804961089493	1643776	3289	0.19051808696620318	2561	32.0	1.0
966.25	847.5375	3446.6687017022823	1676160	1674240	2616	254.01741600790513	213.2571949110672	1676160	3337	0.2334450140595436	2616	32.0	1.0
975.0	850.4166666666666	3197.492125071562	1710336	1706240	2665	350.4272003745318	272.5584620786517	1710336	3344	0.26670343679737074	2665	32.0	1.0
		3454.6110076896266	1743488	1740800	2720	536.5920608108108	399.48482746138995	1743488	3344	0.25227028090845455	2720	32.0	1.0
900.0	838.0	3322.005300112845	1777152	1774080	2771	725.1307034220532	530.0149417775665	1777152	3345	0.2592174155528055	2771	32.0	1.0
964.5833333333334	835.8541666666666	3319.015094521229	1811200	1807360	2824	1037.5969219924812	636.5899906015038	1811200	3371	0.6272604164649855	2824	32.0	1.0
