local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2744.2817598933207	31104	27520	42	0.07381353734439834	61.75103734439834	31104	0	0.2822138908030909	42	32.0	1.0
		3132.3319123616347	62080	58880	92	0.2921293904958678	182.5	62080	0	0.10186039555817843	92	32.0	1.0
		3196.9016539518084	93056	90880	142	0.5446797520661157	303.5	93056	0	0.07110254663042724	142	32.0	1.0
		3190.515635942549	124544	122880	192	0.690453506097561	425.5	124544	0	0.048541464759036895	192	32.0	1.0
		3066.753044480682	156032	153600	240	0.8072916666666666	548.5	156032	0	0.03788986155025972	240	32.0	1.0
		3071.4034117795045	187264	184320	288	0.9060258709016393	671.0	187264	0	0.03538660115251938	288	32.0	1.0
0.0	782.5	3066.7073520400018	218496	215040	336	1.0265432889344261	789.5130635245902	218496	2	0.031383997741310544	336	32.0	1.0
0.0	964.0	3063.6384946575777	249856	245760	384	1.1543686224489795	908.7678890306122	249856	3	0.03304314980050549	384	32.0	1.0
0.4	1017.8	3061.3317329229667	281600	276480	432	1.2887474798387097	1015.6883505544355	281600	8	0.016915163743154455	432	32.0	1.0
2.0	1194.0	3197.5184054581055	312576	308480	481	1.4086066632231404	1130.2014462809918	312576	9	0.027829638710815688	481	32.0	1.0
0.8571428571428571	1271.4285714285713	3257.917906572332	343680	341120	532	1.490676440329218	1207.5022183641975	343680	23	0.03031300419174573	532	32.0	1.0
2.1666666666666665	1394.3333333333333	3259.724971496889	374784	373760	583	1.544528034979424	1281.4647312242798	374784	29	0.02975070856365503	583	32.0	1.0
1.34375	1493.25	3058.8709268900543	406400	404480	632	1.59375	1348.1411627024293	406400	48	0.028797261521448285	632	32.0	1.0
1.0	1645.25	3065.755346720416	437632	435200	680	1.6237832991803278	1360.6873078893443	437632	60	0.01237174820319827	680	32.0	1.0
1.0769230769230769	1761.076923076923	3064.1309265434115	468864	465920	728	1.6954725922131149	1394.8939549180327	468864	73	0.018289461043120053	728	32.0	1.0
2.0	1900.4285714285713	3066.916847741498	500224	496640	776	1.7081313775510205	1410.741549744898	500224	95	0.013696469890419394	776	32.0	1.0
2.142857142857143	2009.095238095238	3070.9666806992363	530944	527360	824	1.6249348958333334	1339.9680013020834	530944	118	0.010677174543767856	824	32.0	1.0
2.1333333333333333	2137.6	3067.3493607545265	561920	558080	872	1.5828060433884297	1317.3964036673553	561920	133	0.01315801566185352	872	32.0	1.0
2.65625	2220.125	3071.2005498980575	592768	588800	920	1.5784815871369295	1316.4454097510372	592768	150	0.01009097249576977	920	32.0	1.0
3.1538461538461537	2370.6923076923076	3069.372634751666	624128	619520	968	1.4650510204081633	1280.2874043367347	624128	163	0.01325101598437565	968	32.0	1.0
1.6923076923076923	2206.6923076923076	3067.0672351245926	655360	650240	1016	1.4840548155737705	1272.2163486168033	655360	176	0.013331558317683326	1016	32.0	1.0
3.0	2492.7	3134.878655803847	686336	681600	1065	1.5218556301652892	1306.9217458677685	686336	186	0.016515761670865575	1065	32.0	1.0
3.1	2571.9333333333334	3184.50366100743	717184	713600	1114	1.5000324170124482	1300.0501167012449	717184	202	0.01570280094402937	1114	32.0	1.0
3.1818181818181817	2403.5454545454545	3263.1449063857535	748288	746240	1165	1.4480131172839505	1295.297260802469	748288	213	0.024834227894305016	1165	32.0	1.0
3.888888888888889	2877.777777777778	3198.035036065234	779392	778240	1216	1.4398791152263375	1310.3235275205761	779392	222	0.022565506782163593	1216	32.0	1.0
2.25	2391.4166666666665	3064.3811737732353	810624	808960	1264	1.3811475409836065	1300.9422067110656	810624	235	0.013624900098269185	1264	32.0	1.0
2.0454545454545454	2339.9545454545455	3061.7671100262764	841856	839680	1312	1.393282530737705	1323.789478739754	841856	247	0.021435983498425532	1312	32.0	1.0
3.4	3339.3	3069.3371734364746	873088	870400	1360	1.3695568647540983	1303.5241739241803	873088	258	0.03505783374324286	1360	32.0	1.0
1.95	2346.95	3065.575840270981	904192	901120	1408	1.3685699588477367	1259.6740933641975	904192	278	0.0336144266766496	1408	32.0	1.0
1.5555555555555556	1835.888888888889	3064.5460357184897	935552	931840	1456	1.4128188775510204	1285.454049744898	935552	287	0.02134750910530177	1456	32.0	1.0
1.9230769230769231	2103.769230769231	3066.714505079801	967040	962560	1504	1.4638592479674797	1322.2862042682927	967040	300	0.021922060307891417	1504	32.0	1.0
2.392857142857143	2315.714285714286	3059.1823423552873	998144	993280	1552	1.4616126543209877	1324.6594328703704	998144	316	0.025484831964907546	1552	32.0	1.0
1.4285714285714286	2128.285714285714	3063.618462682382	1029248	1024000	1600	1.4655671296296295	1295.38872813786	1029248	330	0.03494188125478104	1600	32.0	1.0
2.3333333333333335	2289.6666666666665	3316.0722553028872	1060352	1057280	1651	1.579443158436214	1308.3457433127571	1060352	339	0.03402160115393938	1651	32.0	1.0
