local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2684.426208613806	30976	26880	41	0.0650390625	61.5	30976	0	0.0311722569167614	41	32.0	1.0
		3130.173105817889	61824	58240	90	0.29979253112033194	181.75103734439833	61824	0	0.020549262161081543	90	32.0	1.0
		3133.8404667136806	92800	89600	140	0.41948605371900827	302.5	92800	0	0.02204917524009943	140	32.0	1.0
		3186.168821141497	123648	121600	189	0.5526776452282157	423.24896265560164	123648	0	0.013521188921152557	189	32.0	1.0
		3198.118477545931	154624	153600	239	0.6505358987603306	544.0	154624	0	0.020337268479634078	239	32.0	1.0
0.5	698.5	3069.2691777426003	186240	184320	288	0.7710969129554656	664.98070597166	186240	2	0.038186095388872285	288	32.0	1.0
0.0	806.6666666666666	3067.701652564536	217216	215040	336	0.9079610020661157	779.9640043904959	217216	5	0.018681335083480615	336	32.0	1.0
0.6	924.6	3068.155135581939	248448	245760	384	1.0075563524590163	888.5033619364754	248448	10	0.014408752157275254	384	32.0	1.0
0.5	1057.0	3070.7492399212165	279936	276480	432	1.1122014735772359	992.2122078252032	279936	16	0.012982573699749386	432	32.0	1.0
0.8333333333333334	1144.7777777777778	3063.437968189788	311040	307200	480	1.1936406893004115	1072.9648919753085	311040	26	0.013470467349786	480	32.0	1.0
1.125	1282.625	3071.774357395288	342016	337920	528	1.2422843491735538	1138.4743026859503	342016	42	0.009012583187238002	528	32.0	1.0
0.8571428571428571	1399.2857142857142	3070.5169760489275	373504	368640	576	1.2699758638211383	1197.1738440040651	373504	49	0.01367619568191003	576	32.0	1.0
1.1538461538461537	1513.3846153846155	3188.2023021053583	404736	400640	625	1.3518186475409837	1257.3231301229507	404736	62	0.01291774244199754	625	32.0	1.0
1.2857142857142858	1643.642857142857	3194.7873289381055	435712	432640	675	1.386331353305785	1294.7307915805786	435712	78	0.009548023953102528	675	32.0	1.0
1.2	1756.1	3126.8605969423875	466560	464000	724	1.4051802385892116	1324.564607105809	466560	88	0.006659847807747369	724	32.0	1.0
1.8823529411764706	1812.764705882353	3132.068694865468	497536	495360	773	1.4337874483471074	1346.275826446281	497536	105	0.009811575419972745	773	32.0	1.0
2.111111111111111	1855.3333333333333	3186.808072291574	528384	527360	823	1.447484439834025	1373.6970954356846	528384	115	0.019024047404527664	823	32.0	1.0
