local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3070.8061038223495	35968	30720	48	3.700156810035842	71.25089605734767	35968	0	0.05247953974079186	48	32.0	1.0
		3644.950074009956	71808	67200	104	30.666852678571427	211.0	71808	0	0.5455241419175374	104	32.0	1.0
40.0	369.0	3569.1220773695163	107648	103040	160	74.15959821428571	350.47491629464287	107648	1	0.30204882552581175	160	32.0	1.0
110.74074074074075	497.74074074074076	3566.836460210613	143488	138880	216	115.15625	464.9096540178571	143488	30	0.3263295607508293	216	32.0	1.0
157.36111111111111	619.8958333333334	3510.2519318041623	178560	174080	272	132.4737682481752	496.16200958029196	178560	85	0.3665628246963024	272	32.0	1.0
212.6829268292683	769.8048780487804	3575.4085596301347	214016	209920	328	143.49560018050542	514.0008461191336	214016	131	0.326322953881962	328	32.0	1.0
262.27272727272725	885.5454545454545	3577.133918752741	249472	245760	384	139.76026624548737	490.37990749097474	249472	176	0.3704742911670889	384	32.0	1.0
303.1707317073171	1005.780487804878	3568.5096726636284	284544	281600	440	137.8330291970803	474.4499600821168	284544	224	0.37595465845827547	440	32.0	1.0
283.6363636363636	939.2727272727273	3572.0959205771783	320640	317440	496	140.10638297872342	477.6205396719858	320640	246	0.3254942465573549	496	32.0	1.0
334.0740740740741	1072.7407407407406	3575.6209172169606	356224	353280	552	156.14826888489208	518.570115782374	356224	273	0.3188461302114384	552	32.0	1.0
304.44444444444446	977.7407407407408	3577.74681797666	391808	389120	608	163.03788219424462	543.0078125	391808	302	0.32286354899406433	608	32.0	1.0
305.5	1008.525	3575.8869738502844	427136	424960	664	179.20289855072463	589.4078917572464	427136	324	0.3422079730246748	664	32.0	1.0
325.0	1043.1666666666667	3580.088818791993	462336	460800	720	202.7375	657.857784090909	462336	336	0.302986203027623	720	32.0	1.0
327.05882352941177	1066.0	3518.7169442904956	497664	496000	774	231.47927989130434	737.6666949728261	497664	353	0.35491515668453993	774	32.0	1.0
369.2307692307692	1163.8760683760684	3504.3680918658342	533248	531200	829	233.88433003597123	741.0912207733813	533248	397	0.3522007329897447	829	32.0	1.0
411.9230769230769	1273.673076923077	3510.3131918962085	568960	566400	884	214.716061827957	683.9266633064516	568960	424	0.31372389088977465	884	32.0	1.0
423.48837209302326	1295.2441860465117	3385.6686772656126	604544	600320	938	200.91164568345323	637.3924235611511	604544	470	0.2897734835192009	938	32.0	1.0
378.13333333333327	1199.0933333333332	3452.3506836912125	639488	634880	992	198.96634615384616	635.7200377747253	639488	499	0.27504769146994307	992	32.0	1.0
431.2	1309.66	3575.3886603720002	674944	670720	1048	197.88977888086643	629.9776342509025	674944	525	0.35164332256785463	1048	32.0	1.0
405.5	1261.625	3579.7198393358544	710528	706560	1104	195.69188399280574	626.9467176258993	710528	546	0.29401650838553905	1104	32.0	1.0
388.3333333333333	1217.5666666666666	3581.204830585983	745600	742400	1160	199.54379562043795	638.2890054744526	745600	578	0.2972367022718702	1160	32.0	1.0
373.3333333333333	1134.0833333333333	3580.389139637788	780800	778240	1216	211.09375	669.9575852272727	780800	602	0.2730488998017141	1216	32.0	1.0
437.6666666666667	1337.55	3579.9508688636092	816384	814080	1272	211.0021357913669	667.7098415017986	816384	633	0.2874307954417808	1272	32.0	1.0
392.3529411764706	1232.4705882352941	3578.7692663406433	851328	849920	1328	216.4966804029304	683.1459191849817	851328	652	0.2713643001126392	1328	32.0	1.0
