local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		1535.520925835717	19456	15360	24	0.12083333333333333	39.0	19456	0	0.008058408139428744	24	32.0	1.0
		2039.264422463217	37888	35840	56	13.363715277777779	112.5	37888	0	0.21441242680884898	56	32.0	1.0
		1968.7959789854697	57216	55680	86	31.01717715231788	186.25165562913907	57216	0	0.22919857526818913	86	32.0	1.0
		1911.5210089522943	77440	74880	116	55.25316455696203	263.5	77440	0	0.3042921033067008	116	32.0	1.0
		1909.581153415362	97664	94080	146	80.44699367088607	342.5	97664	0	0.23751851667960486	146	32.0	1.0
140.0	444.0	1911.717539403254	117888	113280	176	105.84849683544304	421.12678006329116	117888	1	0.22354897086819012	176	32.0	1.0
102.5	492.25	1979.0588454652518	137344	133120	208	129.61965460526315	488.5403988486842	137344	9	0.24343948578462005	208	32.0	1.0
137.05882352941177	578.0588235294117	2047.8114919621833	155392	153600	240	145.34574468085106	537.6862810283687	155392	27	0.2202056418173015	240	32.0	1.0
165.65217391304347	642.2608695652174	1954.7723984840181	174976	173440	270	153.06883169934642	553.9129391339869	174976	53	0.25672974387804665	270	32.0	1.0
190.0	728.8571428571429	1897.4832474147554	195200	192640	300	162.60284810126583	583.8771261867089	195200	67	0.3093404248356819	300	32.0	1.0
223.1578947368421	809.0	1889.993192980368	215424	211840	330	176.171875	615.3392998417721	215424	86	0.2799124037226041	330	32.0	1.0
250.0	875.7916666666666	1889.92005159279	235648	231040	360	176.94521360759492	608.5767405063291	235648	113	0.24079030081629754	360	32.0	1.0
283.3333333333333	954.3333333333334	1982.2860187350404	254720	250880	392	176.5824244966443	603.5175125838927	254720	132	0.30257751676253974	392	32.0	1.0
298.8235294117647	1002.2941176470588	2045.6394914210966	272640	271360	424	178.96428571428572	605.9495535714286	272640	151	0.24800243775825948	424	32.0	1.0
323.6842105263158	1101.3157894736842	1899.2940780912888	292608	290560	453	178.11197916666666	598.3023838141025	292608	171	0.26536060972460385	453	32.0	1.0
358.125	1154.4375	1887.683968619641	312832	309760	483	178.2901503164557	591.2894086234177	312832	188	0.27425691336393354	483	32.0	1.0
346.1111111111111	1112.611111111111	1893.4103024123592	333056	328960	513	178.78065664556962	594.8801918512659	333056	208	0.24630385662118595	513	32.0	1.0
408.57142857142856	1290.642857142857	1913.7375038301775	352896	348160	544	180.2389112903226	595.5510080645162	352896	222	0.19631761600894312	544	32.0	1.0
350.0	1152.0	2045.7075494232656	371328	368640	576	182.94487847222223	596.6818576388889	371328	238	0.24103002157062292	576	32.0	1.0
405.0	1306.5833333333333	2016.0789486568142	390144	389120	607	180.09566326530611	582.6774553571429	390144	258	0.24247201387920686	607	32.0	1.0
460.0	1455.909090909091	1905.3362431694247	410368	408320	637	176.640625	571.3846420094936	410368	269	0.2534824038545291	637	32.0	1.0
270.0	929.75	1911.4050880949503	430592	427520	667	190.18097310126583	614.518690664557	430592	273	0.2659207669397195	667	32.0	1.0
337.5	1120.25	1899.3470712927128	450816	446720	697	209.15051424050634	669.979727056962	450816	281	0.302027790248394	697	32.0	1.0
409.2307692307692	1286.7692307692307	1919.458298018607	470656	465920	728	216.21270161290323	691.577872983871	470656	294	0.21192302602914073	728	32.0	1.0
370.90909090909093	1192.909090909091	2043.7847193546959	488832	486400	760	224.35739436619718	724.4438270246479	488832	305	0.20318626158405095	760	32.0	1.0
363.6842105263158	1159.7368421052631	1978.8566666038873	507776	506240	790	222.15899493243242	719.0999788851351	507776	326	0.23272497778137524	790	32.0	1.0
377.5	1209.0	1903.7274869102337	528000	525440	820	222.3704509493671	722.0126582278481	528000	334	0.2719999310870965	820	32.0	1.0
391.42857142857144	1236.857142857143	1900.9684877484458	548224	544640	850	236.75336234177215	758.6253955696203	548224	348	0.21812705000241597	850	32.0	1.0
425.2631578947368	1295.2631578947369	1895.3826884603434	568448	563840	880	230.1414161392405	737.1954608386076	568448	368	0.1877640503148238	880	32.0	1.0
390.0	1275.3181818181818	1980.8586727471882	587392	583680	912	232.6953125	747.0528927364865	587392	380	0.20874434208963066	912	32.0	1.0
405.7142857142857	1250.7142857142858	2045.9415729418618	605952	604160	944	240.67780172413794	768.686260775862	605952	387	0.2364591471850872	944	32.0	1.0
436.15384615384613	1334.6153846153845	1908.846255560896	625408	623360	973	251.04440789473685	796.383943256579	625408	401	0.18581604854813938	973	32.0	1.0
443.57142857142856	1371.642857142857	1889.4634118850086	645632	642560	1003	234.91198575949366	746.8766811708861	645632	429	0.3872571657101313	1003	32.0	1.0
482.3529411764706	1487.8235294117646	1904.940524598447	665856	661760	1033	223.03995253164558	711.5852452531645	665856	448	0.27243825246890385	1033	32.0	1.0
