local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2878.375901125049	31488	28800	45	0.0	62.5	31488	0	0.011797007437174519	45	32.0	1.0
		3259.208285357557	62976	61440	96	0.0	185.0	62976	0	0.09236614155701782	96	32.0	1.0
		3067.1588618523515	94848	92160	144	0.0	308.75100401606426	94848	0	0.006385782250921086	144	32.0	1.0
		3069.1311484383186	125568	122880	192	0.0	431.0	125568	0	0.001177473892615429	192	32.0	1.0
		3060.4436857684937	156672	153600	240	0.0	551.7489711934156	156672	0	0.00027560419433333055	240	32.0	1.0
		3069.498912934102	188032	184320	288	0.0	673.7510204081633	188032	0	0.00015094052582753648	288	32.0	1.0
		3071.6547019024024	219776	215040	336	3.068296370967742	797.0	219776	0	0.0027722462133776085	336	32.0	1.0
		3064.0853122041344	250624	245760	384	7.4896265560165975	919.2489626556016	250624	0	0.0019664865555265956	384	32.0	1.0
		3198.3135723360588	281984	277760	434	21.065051020408163	1040.7510204081632	281984	0	0.013051370717585086	434	32.0	1.0
		3262.933049993976	312960	310400	484	39.27040289256198	1162.5	312960	0	0.027385115334764124	484	32.0	1.0
		3261.6424404652694	344576	343040	536	59.97343117408907	1284.748987854251	344576	0	0.030348314366375025	536	32.0	1.0
		3068.003326564785	375552	373760	584	82.74922520661157	1407.0	375552	0	0.03382721694651991	584	32.0	1.0
		3063.3068717236365	407168	404480	632	112.03757591093117	1529.251012145749	407168	0	0.03031814422865864	632	32.0	1.0
		3070.0834230339833	438528	435200	680	142.00573979591837	1652.2489795918368	438528	0	0.013833660341333598	680	32.0	1.0
		3067.673460398915	470144	465920	728	189.61348684210526	1775.251012145749	470144	0	0.04622334989835508	728	32.0	1.0
		3120.6595803832392	501888	497280	776	250.18523185483872	1899.0	501888	0	0.04399539635051042	776	32.0	1.0
		3195.4714294138957	532864	529280	826	319.922520661157	2021.5	532864	0	0.04872621513903141	826	32.0	1.0
		3321.8231556045553	564096	562560	878	372.4891137295082	2143.0	564096	0	0.045818629943264216	878	32.0	1.0
		3133.8291176554326	595712	593920	928	428.40207489878543	2265.748987854251	595712	0	0.05493201047182083	928	32.0	1.0
		3071.3386189840635	627072	624640	976	475.234056122449	2388.751020408163	627072	0	0.05066527076996863	976	32.0	1.0
		3070.2129054576435	658816	655360	1024	526.0439768145161	2512.0	658816	0	0.04183836506369213	1024	32.0	1.0
		3066.7474970829976	690688	686080	1072	578.5071536144578	2636.248995983936	690688	0	0.05132259948489567	1072	32.0	1.0
		3187.511014993881	722176	718080	1121	644.6633638211382	2760.0	722176	0	0.04526183201114134	1121	32.0	1.0
		3259.387065991775	753408	750720	1173	709.390368852459	2882.5	753408	0	0.051281560463114426	1173	32.0	1.0
		3262.694161250951	785152	783360	1224	757.2316028225806	3005.5	785152	0	0.06163925879324476	1224	32.0	1.0
		3061.9422414676255	816384	814080	1272	823.6533043032787	3128.5	816384	0	0.05277630667357395	1272	32.0	1.0
1720.0	3251.0	3068.6407623147566	847744	844800	1320	877.9247448979592	3238.314094387755	847744	2	0.05487117567099631	1320	32.0	1.0
		3066.7713656340484	879360	875520	1368	928.5633856275304	3348.247722672065	879360	2	0.0690787467174232	1368	32.0	1.0
80.0	3446.0	3065.327002225109	910976	906240	1416	977.7574645748988	3459.7479124493925	910976	3	0.05707254474206517	1416	32.0	1.0
		3133.1245170793427	942208	937600	1464	1062.7478227459017	3581.140625	942208	3	0.04836256359703839	1464	32.0	1.0
813.3333333333334	3729.6666666666665	3257.418069329841	973312	970240	1515	1123.039480452675	3676.8415316358023	973312	6	0.06832915482421716	1515	32.0	1.0
940.0	3915.0	3196.844469121311	1004288	1002240	1565	1195.6017561983472	3779.4224883780994	1004288	7	0.05942708685994148	1565	32.0	1.0
		3196.740003581686	1035776	1034240	1616	1247.4777693089432	3887.140625	1035776	7	0.046677190043470436	1616	32.0	1.0
		3064.020244898052	1067776	1064960	1664	1301.97	4011.140625	1067776	7	0.04650864474630604	1664	32.0	1.0
