local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2879.907923781257	31488	28800	45	0.0	62.5	31488	0	0.0048458569476173986	45	32.0	1.0
		3263.983502280653	62464	61440	95	0.0	184.0	62464	0	0.2389817624585703	95	32.0	1.0
		2943.774916502065	93056	90880	141	0.0	304.2510460251046	93056	0	0.0031740466694590514	141	32.0	1.0
		3188.8511580783897	124672	122880	192	0.0	425.748987854251	124672	0	0.0028798815043296153	192	32.0	1.0
		3067.485112049407	155776	153600	240	0.0	548.2510288065844	155776	0	0.0007989442983671324	240	32.0	1.0
		3068.7563094562665	187648	184320	288	0.0	671.2489959839357	187648	0	0.0003516091325460972	288	32.0	1.0
		3069.9090413691083	219392	215040	336	0.15120967741935484	795.5	219392	0	0.0002634150644856466	336	32.0	1.0
		3067.9104075718465	250368	245760	384	5.568181818181818	918.0	250368	0	0.0030888247351867903	384	32.0	1.0
		3126.4512249275285	281728	277120	432	10.200892857142858	1039.7510204081632	281728	0	0.0028295559604885057	432	32.0	1.0
		3323.9701566108783	312960	310400	484	14.25140881147541	1162.0	312960	0	0.0037649310476039178	484	32.0	1.0
		3198.3794984168803	343936	342400	534	25.644369834710744	1283.5	343936	0	0.026987564264563845	534	32.0	1.0
		3122.221312458165	375168	373760	584	44.42174692622951	1405.0	375168	0	0.04095888277515769	584	32.0	1.0
		3069.6350008236977	406528	404480	632	65.4515306122449	1527.2489795918368	406528	0	0.042457005173976846	632	32.0	1.0
		3060.8156968470935	438528	435200	680	99.61375	1651.0	438528	0	0.046897104378634445	680	32.0	1.0
		3065.5147209707284	469760	465920	728	130.02881659836066	1774.5	469760	0	0.05220548587385565	728	32.0	1.0
		3066.6569167575167	501504	496640	776	188.82938508064515	1897.5	501504	0	0.051251323330992214	776	32.0	1.0
		3260.333828337676	532864	529280	826	276.71811224489795	2020.7510204081632	532864	0	0.05705534771084785	826	32.0	1.0
		3390.7692577557546	564352	563200	879	357.8099593495935	2143.5	564352	0	0.06442313391785577	879	32.0	1.0
		3068.204889543783	595968	593920	928	429.471786437247	2266.748987854251	595968	0	0.060720873046286254	928	32.0	1.0
		3066.989411462744	627200	624640	976	491.9159836065574	2389.5	627200	0	0.07586527274300654	976	32.0	1.0
0.0	2517.0	3061.807853400902	659712	655360	1024	551.2401574803149	2509.354945866142	659712	1	0.09042357391444966	1024	32.0	1.0
		3188.8638863557294	691456	687360	1073	603.2743195564516	2629.66796875	691456	1	0.15809814578720502	1073	32.0	1.0
		3386.624345563541	722816	721280	1126	687.3297193877551	2752.959119897959	722816	1	0.06101511780805183	1126	32.0	1.0
80.0	2838.0	3134.2865796807887	754944	752640	1176	752.5647410358566	2867.0727091633466	754944	2	0.07090438090264797	1176	32.0	1.0
800.0	3004.0	3067.752195257093	787456	783360	1224	821.4788385826772	2985.429472194882	787456	3	0.06222605072737982	1224	32.0	1.0
		3198.068488336884	819584	815360	1274	896.5786852589641	3106.7287412848605	819584	3	0.0531380432844162	1274	32.0	1.0
		3388.9027802878195	850816	849280	1326	962.2547387295082	3230.34765625	850816	3	0.055876625021203205	1326	32.0	1.0
1300.0	3388.0	3131.9014938070277	882432	880640	1376	1019.5084767206478	3346.6419534412958	882432	4	0.06522936876863242	1376	32.0	1.0
		3069.8574767609307	913920	911360	1424	1084.0466209349593	3463.11328125	913920	4	0.05049381083032737	1424	32.0	1.0
		3067.0227744063677	945792	942080	1472	1148.5027610441766	3587.0485692771085	945792	4	0.0367843434602643	1472	32.0	1.0
