local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2936.829935021968	31488	29440	45	0.0	62.5	31488	0	0.05017461203970015	45	32.0	1.0
		3191.6900320468035	62848	61440	96	0.0	184.75102040816327	62848	0	0.027949532201769305	96	32.0	1.0
		3065.938886628117	94336	92160	144	0.0	307.5	94336	0	0.0021340669275862942	144	32.0	1.0
		3064.451576837041	125184	122880	192	0.0	429.24896265560164	125184	0	0.00028062818258452654	192	32.0	1.0
		3071.749678602184	156160	153600	240	0.0	550.0	156160	0	7.259471036983693e-05	240	32.0	1.0
		3067.166309046079	187904	184320	288	0.5241935483870968	672.5	187904	0	0.00012030050911941241	288	32.0	1.0
		3070.7960042884224	219392	215040	336	3.908155487804878	796.0	219392	0	0.0027636066280744367	336	32.0	1.0
		3071.2088951849087	250496	245760	384	14.494598765432098	918.2510288065844	250496	0	0.005674913992758472	384	32.0	1.0
		3067.9962405628335	281728	276480	432	34.455046106557376	1040.0	281728	0	0.00757702254607769	432	32.0	1.0
		3198.9028878678805	312576	308480	481	47.162863070539416	1161.2489626556016	312576	0	0.010431778928436036	481	32.0	1.0
		3261.8427825702256	343808	341120	532	60.50845286885246	1282.5	343808	0	0.01607485226236795	532	32.0	1.0
		3257.458915656725	374784	373760	583	87.5497159090909	1404.0	374784	0	0.03895314299848442	583	32.0	1.0
		3066.247729715998	406272	404480	632	118.00495426829268	1526.0	406272	0	0.02251019630562134	632	32.0	1.0
		3068.961991741726	438016	435200	680	153.26045866935485	1649.5	438016	0	0.028337072212404262	680	32.0	1.0
		3067.71158567898	470016	465920	728	193.83875	1774.0	470016	0	0.02819229514958958	728	32.0	1.0
		3064.941572634566	501632	496640	776	250.3049089068826	1898.251012145749	501632	0	0.03996470776231339	776	32.0	1.0
		3132.55555892415	532736	528000	825	307.24665637860085	2020.7489711934156	532736	0	0.03272054696037453	825	32.0	1.0
		3388.856203201614	564096	561920	878	362.7391581632653	2142.751020408163	564096	0	0.047608331320280174	878	32.0	1.0
		3189.2849617084476	595584	593920	928	425.8111026422764	2265.5	595584	0	0.04294607466086745	928	32.0	1.0
		3067.2472813591285	627200	624640	976	482.1824392712551	2388.748987854251	627200	0	0.04258382702634359	976	32.0	1.0
		3070.506000364889	658944	655360	1024	542.094254032258	2512.5	658944	0	0.0367147108578744	1024	32.0	1.0
		3067.2236974578914	690560	686080	1072	611.7453188259109	2636.251012145749	690560	0	0.04821944384214779	1072	32.0	1.0
		3134.310255444143	722176	717440	1120	671.8313512145749	2759.748987854251	722176	0	0.024859200736197334	1120	32.0	1.0
		3262.897665502544	753152	750080	1171	734.6384297520661	2882.0	753152	0	0.034685731061971654	1171	32.0	1.0
		3263.7182387413386	784384	782720	1222	798.1230788934427	3003.5	784384	0	0.037660374214836194	1222	32.0	1.0
160.0	3155.0	3133.7070458117496	815872	814080	1272	856.5917174796748	3122.793699186992	815872	1	0.04366833955049515	1272	32.0	1.0
560.0	3248.0	3064.240304477221	847488	844800	1320	913.0775556680162	3230.5074645748987	847488	2	0.03822106419829652	1320	32.0	1.0
450.0	3330.5	3067.402958808238	879232	875520	1368	977.6858618951613	3326.075667842742	879232	4	0.042812213534489274	1368	32.0	1.0
480.0	3470.0	3064.317915808455	910592	906240	1416	1064.7748724489795	3435.695854591837	910592	5	0.04561845240338395	1416	32.0	1.0
1410.0	3651.5	3070.1092454929276	941952	936960	1464	1125.8354591836735	3547.4859375	941952	7	0.04880006345532214	1464	32.0	1.0
2520.0	3692.0	3262.0840339618526	973312	969600	1514	1164.2257653061224	3635.345344387755	973312	8	0.0571131691057235	1514	32.0	1.0
1560.0	3834.0	3128.9427090130316	1004032	1000960	1563	1219.8619791666667	3743.98203125	1004032	9	0.05112882597105844	1563	32.0	1.0
1546.6666666666667	3967.6666666666665	3198.8637763848164	1035136	1032960	1613	1279.264403292181	3831.867766203704	1035136	12	0.039431658275425434	1613	32.0	1.0
1410.0	4128.0	3195.608604223008	1066496	1064960	1664	1343.8386479591836	3926.216262755102	1066496	14	0.04041259231812814	1664	32.0	1.0
		3064.7641296989514	1097728	1095680	1712	1382.936731557377	4026.2421875	1097728	14	0.03953892436887448	1712	32.0	1.0
1710.0	4355.0	3061.621679573534	1129344	1126400	1760	1420.9235829959514	4133.625379554656	1129344	16	0.025944399851141497	1760	32.0	1.0
1780.0	4491.333333333333	3062.1160830548215	1160576	1157120	1808	1432.0587858606557	4219.514728483607	1160576	19	0.03268999199887427	1808	32.0	1.0
1540.0	4614.333333333333	3062.4109821532215	1192320	1187840	1856	1445.698714717742	4289.448809223791	1192320	22	0.03610271555953659	1856	32.0	1.0
2133.3333333333335	4718.333333333333	3060.587695745195	1223424	1218560	1904	1459.7614454732511	4349.216724537037	1223424	25	0.03315125807421282	1904	32.0	1.0
1365.0	4837.5	3125.930151642818	1254528	1249920	1952	1471.9759516460906	4404.235789609053	1254528	29	0.03004686291872834	1952	32.0	1.0
1716.0	4979.2	3196.265958976987	1285632	1281920	2002	1481.3734567901236	4454.442001028807	1285632	34	0.023682390348985793	2002	32.0	1.0
1906.0	5098.2	3128.60802443948	1316352	1313280	2051	1467.6868489583333	4461.761751302083	1316352	40	0.02413028939532078	2051	32.0	1.0
950.0	5194.25	3257.7940957437554	1347456	1345920	2102	1466.8254886831276	4468.1607831790125	1347456	44	0.03132313504522922	2102	32.0	1.0
3080.0	5284.0	3122.613935688385	1378304	1377280	2151	1473.3026452282159	4536.01919087137	1378304	45	0.03073837029348527	2151	32.0	1.0
1812.9227879963169	5396.882352941177	2686.3813067730407	1408384	1404160	2193	170.94614361702128	706.7889960106382	1408384	256	0.024198521746300338	2193	32.0	1.0
		3390.410648008319	1439744	1438080	2246	2.056122448979592	323.4799744897959	1439744	256	0.0034964670754424384	2246	32.0	1.0
		3063.096558168195	1470336	1468800	2294	6.497123430962343	444.44933315899584	1470336	256	0.0015814916623639874	2294	32.0	1.0
		3122.3459005264576	1501568	1500160	2344	8.181992827868852	565.21484375	1501568	256	0.0014190601505106315	2344	32.0	1.0
		3071.7847562933266	1532160	1530880	2392	11.196391213389122	685.9803543410042	1532160	256	0.0019868084164045285	2392	32.0	1.0
		3068.1848708687953	1563648	1561600	2440	20.182291666666668	807.21484375	1563648	256	0.006202802188151206	2440	32.0	1.0
		3069.6159141535886	1594752	1592320	2488	27.070473251028808	929.4495884773662	1594752	256	0.008690269079428012	2488	32.0	1.0
		3071.186641187422	1625728	1623040	2536	37.49354338842975	1050.71484375	1625728	256	0.014571379469998647	2536	32.0	1.0
		3060.70692677814	1657088	1653760	2584	60.297193877551024	1172.479974489796	1657088	256	0.04404333659234302	2584	32.0	1.0
		3062.003873292103	1688704	1684480	2632	84.49645748987854	1295.4498355263158	1688704	256	0.03253286886805048	2632	32.0	1.0
		3070.5305860061094	1719936	1715200	2680	113.66803278688525	1418.21484375	1719936	256	0.03190694446190415	2680	32.0	1.0
