local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3316.1298429940284	36352	33280	51	6.855745789007092	72.0	36352	0	2.328434600677414	51	32.0	1.0
58.5	277.0	3583.401955278231	72320	69120	108	42.70587744661922	212.5504337188612	72320	6	0.3836789619046868	108	32.0	1.0
64.97076023391813	349.94736842105266	3518.512164789326	108032	104320	163	68.08089717741936	301.2463877688172	108032	76	0.17320819812064822	163	32.0	1.0
112.39341085271316	489.66279069767444	3512.081391500677	143744	139520	217	81.99736783154121	296.4795306899642	143744	172	0.2870689464939965	217	32.0	1.0
199.484126984127	583.6746031746031	3644.0311262629048	179584	176000	274	77.28794642857143	260.0849888392857	179584	241	0.31908877782131495	274	32.0	1.0
170.0	522.3191489361702	3581.065856237043	215552	211840	330	81.28586521352314	279.81881116548044	215552	291	0.30153057258576155	330	32.0	1.0
146.8939393939394	507.1969696969697	3697.305466018335	251520	248960	388	101.33173932384342	332.2177491103203	251520	329	0.4384129949170968	388	32.0	1.0
215.80188679245282	621.7735849056604	3701.661604277851	287616	286080	446	124.95664339539007	370.2911679964539	287616	386	0.7194940012333721	446	32.0	1.0
254.44444444444446	669.3851851851852	3639.893622798937	323584	322560	503	130.199621886121	369.50469862099646	323584	436	0.6106593919950619	503	32.0	1.0
293.75	700.8863636363636	3579.0218169022064	360320	358400	560	134.97604529616726	383.8290777439024	360320	485	0.5233801920947275	560	32.0	1.0
276.7142857142857	721.0142857142857	3583.825777512542	396544	394240	616	137.7785446113074	405.6648354681979	396544	524	0.4270804859697819	616	32.0	1.0
287.15909090909093	790.0454545454545	3579.261704774913	432896	430080	672	146.4700704225352	416.4422865316901	432896	574	0.5184280201792717	672	32.0	1.0
293.54545454545456	746.3181818181819	3581.2168601805106	468864	465920	728	140.46318950177937	386.4590191281139	468864	632	0.6210725687976394	728	32.0	1.0
282.9432624113475	733.5851063829788	3582.77166136526	504960	501760	784	131.97459552304966	373.00376773049646	504960	685	0.47822189836629797	784	32.0	1.0
276.875	764.7083333333334	3579.090925172942	541312	537600	840	125.72458186619718	364.5255281690141	541312	726	0.40617893263697624	840	32.0	1.0
291.6304347826087	753.0978260869565	3582.7530462987456	577792	573440	896	143.6125274122807	394.52404057017543	577792	775	0.5327606900994267	896	32.0	1.0
280.1530612244898	704.6530612244898	3576.294641245967	614400	609280	952	134.587385270979	371.2568564248252	614400	832	0.6734930533649666	952	32.0	1.0
260.6730769230769	673.2756410256411	3705.957712217569	650496	646400	1009	131.42481161347519	359.4209884751773	650496	888	0.6266936589228479	1009	32.0	1.0
273.7837837837838	724.6891891891892	3830.719808584445	686848	684800	1069	136.81640625	376.15561729753523	686848	926	0.513317703952392	1069	32.0	1.0
