local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3773.692851881962	41472	37760	59	21.045225155279503	82.0	41472	0	0.08726059301298554	59	32.0	1.0
300.0	290.0	4215.48280918166	82560	80000	124	106.18915498442368	242.52492211838006	82560	1	0.14691646905759206	124	32.0	1.0
554.1666666666666	400.5833333333333	4275.494219367156	123904	122880	191	162.1202592879257	393.3516350619195	123904	14	0.1315460548277444	191	32.0	1.0
491.6666666666667	566.625	4095.5108982541715	165888	163840	256	190.4368330792683	518.6394578887196	165888	39	0.10996779401141864	256	32.0	1.0
522.9166666666667	712.28125	4087.885443538234	207104	204800	320	208.51853649068323	598.4810267857143	207104	78	0.10823509472538717	320	32.0	1.0
496.42857142857144	861.7142857142857	4095.60042960744	249216	245760	384	218.33206686930092	639.8131174012158	249216	124	0.14450466954440344	384	32.0	1.0
462.1951219512195	890.609756097561	4089.4144140101835	290688	286720	448	222.2583912037037	639.6935763888889	290688	167	0.09148340518004261	448	32.0	1.0
564.8148148148148	1054.3148148148148	4093.76264855402	332032	327680	512	254.83988003095976	675.3101780185758	332032	199	0.14185936778085306	512	32.0	1.0
585.2272727272727	1101.246212121212	4092.9964423775687	373120	368640	576	286.1565420560748	657.3892133956386	373120	248	0.15981997089693323	576	32.0	1.0
554.5454545454545	1148.1464646464647	4093.0385684624403	414592	409600	640	302.0182291666667	625.0109953703703	414592	287	0.09884609194705263	640	32.0	1.0
585.1851851851852	1048.5925925925926	4089.4878115553474	455680	450560	704	303.80889797507785	642.8473033489097	455680	315	0.056539882643846795	704	32.0	1.0
574.1379310344828	1016.7068965517242	4218.115983725172	496896	492800	769	285.67303959627327	668.4082637810559	496896	345	0.07466561616613315	769	32.0	1.0
575.8064516129032	1171.1451612903227	4214.777802038092	538112	535040	835	279.75300854037266	685.8207492236024	538112	381	0.09924512585117058	835	32.0	1.0
666.3636363636364	1197.2636363636364	4091.890747781103	579072	576000	899	301.83837890625	610.1388916015625	579072	441	0.2563960514671635	899	32.0	1.0
661.5384615384615	1001.0865384615385	4213.566603024237	620288	618240	965	281.9730201863354	535.2052358307453	620288	496	0.18324535362648242	965	32.0	1.0
767.3913043478261	1040.891304347826	4205.65828170286	661504	660480	1031	326.17672748447205	502.91214576863354	661504	543	0.141247073216646	1031	32.0	1.0
779.2517006802722	863.0850340136054	4094.2751407209266	703360	701440	1096	372.3408830275229	480.89917813455656	703360	600	0.20463878214359282	1096	32.0	1.0
892.3076923076923	857.9846153846154	4095.2717115474597	744832	742400	1160	398.6279899691358	415.3270158179012	744832	673	0.20125528424978256	1160	32.0	1.0
880.5555555555555	732.2685185185185	4087.692372300815	786432	783360	1224	404.5625	361.26730769230767	786432	731	0.21196928445715457	1224	32.0	1.0
958.3333333333334	631.5963541666667	4095.2313942543133	827904	824320	1288	458.6636766975309	373.5760513117284	827904	803	0.17518870491767302	1288	32.0	1.0
1071.311475409836	666.3319672131148	4089.829232379391	869376	865280	1352	455.931712962963	352.60445601851853	869376	871	0.19017187412828207	1352	32.0	1.0
1049.1525423728813	626.5	4090.2855226741394	911232	906240	1416	468.82884174311926	355.1759365443425	911232	935	0.19373633223585784	1416	32.0	1.0
1039.0625	610.1484375	4151.38911481857	952448	947840	1480	488.2448563664596	343.5689538043478	952448	1008	0.24530422617681324	1480	32.0	1.0
1046.5277777777778	584.4791666666666	4206.547403192312	993664	990080	1546	449.8253105590062	325.9872379658385	993664	1090	0.2367072877558795	1546	32.0	1.0
978.4313725490198	560.7009803921568	4283.3991008688845	1035136	1032960	1614	425.6534529320988	310.6248553240741	1035136	1167	0.2413013038389823	1614	32.0	1.0
1027.9569892473116	560.0591397849462	4208.633380370852	1076224	1075200	1679	460.7817367601246	308.24376947040497	1076224	1240	0.21697709606244014	1679	32.0	1.0
1035.6807511737088	548.5070422535211	4030.6624052520106	1117184	1115520	1742	463.71337890625	301.1035888671875	1117184	1319	0.27931980256523403	1742	32.0	1.0
1020.1086956521739	481.5	4153.531002694344	1159040	1157120	1808	435.97811544342505	258.2432626146789	1159040	1423	0.2393961577027133	1808	32.0	1.0
1039.873417721519	464.824894514768	4094.4049182804893	1200512	1198080	1872	493.51851851851853	267.51089891975306	1200512	1508	0.21977695339592174	1872	32.0	1.0
1035.472972972973	474.7286036036037	4089.2277196624063	1242112	1239040	1936	501.28125	285.7169230769231	1242112	1596	0.19836326106451452	1936	32.0	1.0
1026.0416666666665	421.7104166666666	4093.7815732627228	1284224	1280000	2000	477.69519376899694	267.0880271656535	1284224	1691	0.2177394813625142	2000	32.0	1.0
1075.2008032128513	461.70983935742976	4158.405861667401	1326208	1321600	2064	533.2698170731708	273.6473418445122	1326208	1788	0.24052124668378383	2064	32.0	1.0
1109.659090909091	460.27272727272725	4216.74589300371	1367424	1363840	2130	517.0370729813665	267.16755628881987	1367424	1881	0.21952191243569055	2130	32.0	1.0
1121.1538461538462	458.2350427350428	4273.778032092349	1408768	1406720	2197	523.563273993808	264.12894253095976	1408768	1968	0.22824332562845145	2197	32.0	1.0
1118.5964912280701	450.6543859649123	4216.637705110113	1450368	1448960	2264	525.8485576923077	254.9251923076923	1450368	2080	0.2090173238026562	2264	32.0	1.0
1130.0813008130083	434.93495934959356	4087.1302838367064	1492608	1489920	2328	543.8423295454545	246.35099431818182	1492608	2171	0.2480266032507643	2328	32.0	1.0
1115.1960784313726	396.59477124183013	4095.7274595418075	1535232	1530880	2392	528.9179804804805	235.32610735735736	1535232	2293	0.23962625965941697	2392	32.0	1.0
1231.967213114754	470.40983606557376	4089.440696647954	1577088	1571840	2456	547.1354166666666	240.47730313455656	1577088	2361	0.26922235637903214	2456	32.0	1.0
1185.7777777777776	455.07555555555564	4286.521900981572	1618304	1614720	2522	558.3729619565217	263.1282026397516	1618304	2443	0.23497817586317207	2522	32.0	1.0
1206.9651741293533	462.2139303482587	4154.46102107145	1659392	1656320	2587	603.5046728971963	288.26199863707166	1659392	2519	0.2639590499492792	2587	32.0	1.0
1236.1538461538462	532.1923076923077	4331.33090820458	1700864	1699840	2655	571.9931520061729	295.29292052469134	1700864	2594	0.25836831144988537	2655	32.0	1.0
1143.835616438356	503.527397260274	4090.4548803795933	1742592	1740800	2720	588.1326687116565	308.73188266871165	1742592	2675	0.21458335077533355	2720	32.0	1.0
1232.3293172690765	554.8072289156627	4084.404598399405	1784320	1781760	2784	549.444018404908	290.23353623466255	1784320	2767	0.23521814332343638	2784	32.0	1.0
1257.7519379844962	566.2945736434109	4093.7960107870204	1825792	1822720	2848	570.5198688271605	294.41114486882714	1825792	2815	0.25811356608755887	2848	32.0	1.0
1263.6986301369861	542.6575342465752	4094.8450523145466	1867520	1863680	2912	635.9398964723927	318.00376246165644	1867520	2898	0.24162424902897328	2912	32.0	1.0
1256.7099567099567	561.3896103896104	4090.759155673263	1908864	1904640	2976	566.2780572755418	289.37923277863774	1908864	2987	0.24120839650277048	2976	32.0	1.0
1326.923076923077	541.2596153846154	4208.295086740441	1950976	1946880	3041	647.2026975683891	301.13779920212767	1950976	3043	0.27932549864053724	3041	32.0	1.0
1464.7560975609756	539.8792682926829	4209.145522846288	1992192	1989120	3107	712.3301630434783	298.06611510093165	1992192	3139	0.33030390536243265	3107	32.0	1.0
1532.6470588235295	529.4441176470589	4275.514038953701	2033536	2032000	3174	625.5272832817337	251.97114454334366	2033536	3243	0.3128691460214444	3174	32.0	1.0
1534.4827586206898	498.4310344827586	4159.53062394993	2074880	2073600	3240	646.5363777089783	254.14717976006193	2074880	3304	0.33241241165634355	3240	32.0	1.0
1566.2337662337663	486.8354978354978	4089.0747169847245	2117120	2114560	3304	700.1515151515151	270.68461174242424	2117120	3390	0.32511752552818507	3304	32.0	1.0
1531.6455696202531	494.9894514767932	4087.041414106162	2158976	2155520	3368	672.7064220183486	258.35545680428135	2158976	3487	0.38223812635987997	3368	32.0	1.0
1636.6161616161617	505.08585858585866	4091.79319224272	2200704	2196480	3432	645.0584739263803	244.6296251917178	2200704	3564	0.38152286573313177	3432	32.0	1.0
1593.4782608695652	488.6304347826087	4094.334076277119	2242560	2237440	3496	722.254873853211	269.0956613149847	2242560	3644	0.37160179030615836	3496	32.0	1.0
1608.8235294117646	499.87867647058823	4216.742380322564	2283776	2279680	3561	725.5507569875776	272.1298767468944	2283776	3726	0.34948569192336154	3561	32.0	1.0
1701.8987341772151	506.246835443038	4217.81261367067	2324992	2321920	3627	757.0191187888199	266.5314683618012	2324992	3816	0.42245176840912213	3627	32.0	1.0
1669.5121951219512	490.2682926829268	4223.5116226346545	2366336	2364160	3693	716.8150154798761	243.92335042569658	2366336	3909	0.3623197128375371	3693	32.0	1.0
1671.2328767123288	459.0890410958904	4218.518435638886	2407808	2406400	3760	700.9645061728395	238.28149112654322	2407808	3995	0.31473198644260864	3760	32.0	1.0
1720.4545454545455	471.88131313131316	4091.222473489546	2448384	2447360	3823	771.8454258675079	255.58034305993692	2448384	4070	0.3733605882005086	3823	32.0	1.0
1830.6513409961685	479.62835249042143	4093.0190655375723	2490240	2488320	3888	768.793004587156	248.12361429663608	2490240	4173	0.37895075862224287	3888	32.0	1.0
1729.2270531400966	474.61352657004835	4090.695355406271	2532224	2529280	3952	732.0526867378048	240.4306164253049	2532224	4249	0.412380134453997	3952	32.0	1.0
1853.6764705882354	482.2279411764706	4090.3549586110307	2573952	2570240	4016	882.2349501533743	272.60474980828224	2573952	4328	0.4010324324481189	4016	32.0	1.0
1937.3015873015875	495.2202380952382	4094.321586481143	2615424	2611200	4080	780.4084683641976	248.02247299382717	2615424	4432	0.3642902697902173	4080	32.0	1.0
1732.142857142857	464.4	4149.5063878761375	2657408	2652800	4144	711.375762195122	229.03896722560975	2657408	4510	0.39448047359474003	4144	32.0	1.0
1788.55421686747	453.9899598393575	4031.791504007049	2698368	2693120	4208	796.43798828125	246.654296875	2698368	4609	0.4490175375249237	4208	32.0	1.0
1821.8468468468468	464.87612612612617	4092.9655309641157	2739200	2734080	4272	800.8228840125391	247.88793103448276	2739200	4695	0.41168476175516844	4272	32.0	1.0
1970.5479452054794	481.6894977168949	4268.399351390001	2780544	2776960	4338	776.2867647058823	241.2688660990712	2780544	4777	0.48842571314537164	4338	32.0	1.0
1883.974358974359	470.9166666666667	4209.73831187041	2821760	2819200	4404	854.0396933229814	254.42325795807454	2821760	4861	0.472608193980925	4404	32.0	1.0
1837.5	461.68201754385956	4204.467783270591	2862976	2861440	4470	817.4179930124224	245.61036975931677	2862976	4952	0.43478603864257986	4470	32.0	1.0
2055.8201058201057	491.38359788359793	4156.325179029962	2904448	2903040	4536	793.6246141975308	244.72309027777777	2904448	5024	0.49590425306197367	4536	32.0	1.0
1980.128205128205	481.61752136752136	4093.2899778033825	2946048	2944000	4600	861.8125	260.2484855769231	2946048	5122	0.4663644549436867	4600	32.0	1.0
1838.971193415638	466.18353909465026	4090.670322868019	2988032	2984960	4664	805.0733612804878	243.03908631859755	2988032	5222	0.4142158303875476	4664	32.0	1.0
2083.846153846154	494.54615384615386	4086.783383202541	3029632	3025920	4728	838.7668269230769	247.36490384615385	3029632	5293	0.48643318261019886	4728	32.0	1.0
1858.4415584415585	466.4004329004329	4093.3122140958685	3070592	3066880	4792	919.7802734375	262.23759765625	3070592	5386	0.4590973327867687	4792	32.0	1.0
2073.5714285714284	479.76428571428573	4089.8873584547173	3112320	3107840	4856	856.5591449386503	246.82663918711657	3112320	5464	0.4113168427720666	4856	32.0	1.0
2212.5	497.34375	4095.870609556254	3153536	3148800	4920	897.1540178571429	252.6773583074534	3153536	5551	0.4199811995495111	4920	32.0	1.0
1953.4722222222222	462.7886904761905	4156.30646679552	3195008	3190400	4984	870.8453896604939	246.0609085648148	3195008	5654	0.4726263331249356	4984	32.0	1.0
2062.328767123288	477.513698630137	4210.902672530406	3236224	3232640	5050	790.0912267080745	236.7552406832298	3236224	5737	0.4256932478059422	5050	32.0	1.0
1892.4444444444441	455.3666666666667	4159.708127474328	3277440	3274240	5116	804.3720885093168	242.0821525621118	3277440	5824	0.40588433927658835	5116	32.0	1.0
1981.4102564102564	473.1367521367522	4152.353550644133	3318528	3315840	5181	852.3583528037383	250.2570823598131	3318528	5912	0.41001631709245534	5181	32.0	1.0
2062.206572769953	492.9178403755868	4095.6324548587777	3359488	3356800	5245	856.82373046875	252.20849609375	3359488	5993	0.45515651418827474	5245	32.0	1.0
2015.5701754385966	481.24342105263156	4286.092653289469	3400704	3399680	5311	856.3058035714286	252.0858161878882	3400704	6080	0.4493849990945874	5311	32.0	1.0
1946.7105263157894	471.0131578947368	4087.869491369509	3442432	3440640	5376	849.3553489263803	246.24094133435582	3442432	6170	0.44269429766214813	5376	32.0	1.0
2001.7857142857142	463.8333333333333	4086.3686964458334	3483904	3481600	5440	855.7267554012345	244.00761959876544	3483904	6265	0.46481354138813913	5440	32.0	1.0
1933.4375	459.75625	4092.6185165717175	3526016	3522560	5504	794.813829787234	230.38119775835867	3526016	6358	0.4902697941288352	5504	32.0	1.0
1943.5714285714287	456.6857142857143	4090.746395460656	3566848	3563520	5568	827.9903017241379	237.8678487460815	3566848	6444	0.43316368316300213	5568	32.0	1.0
1923.4741784037562	453.59859154929575	4091.6064755333646	3608704	3604480	5632	835.1204128440367	241.0350248470948	3608704	6528	0.4313792916946113	5632	32.0	1.0
2057.2368421052633	475.94517543859644	4092.4155418929454	3649920	3645440	5696	846.4309976708074	246.4322350543478	3649920	6617	0.46849215775728226	5696	32.0	1.0
2031.223628691983	476.0189873417722	4207.748573537583	3691776	3687680	5761	896.7913799694189	254.75714353975536	3691776	6710	0.508287271628013	5761	32.0	1.0
2196.474358974359	496.301282051282	4212.600188275103	3732992	3729920	5827	932.2035131987577	260.23869371118013	3732992	6773	0.5019236118956045	5827	32.0	1.0
2272.7272727272725	500.5	4215.371576881646	3774208	3772160	5893	1021.4673913043479	271.17012810559004	3774208	6871	0.5400229319930077	5893	32.0	1.0
2321.729957805907	501.9472573839662	4089.920170720948	3815168	3813120	5957	928.63525390625	248.72783203125	3815168	6957	0.47304352233186364	5957	32.0	1.0
2269.8529411764707	486.31617647058823	4221.3570624242	3856896	3855360	6024	935.2377300613497	249.30619727760737	3856896	7036	0.5068488948380769	6024	32.0	1.0
2206.751054852321	476.5864978902953	4095.835065235491	3898624	3896320	6088	969.3251533742331	258.7321702453988	3898624	7126	0.5105727761983871	6088	32.0	1.0
2236.3821138211383	486.8495934959349	4088.3154208386404	3939968	3937280	6152	901.5020317337461	245.77435661764707	3939968	7222	0.5355092694517225	6152	32.0	1.0
2270.714285714286	497.8857142857143	4090.9972310310172	3981824	3978240	6216	904.9264143730887	248.04735282874617	3981824	7295	0.4653734681196511	6216	32.0	1.0
2131.455399061033	466.4553990610329	4095.9277356499583	4023296	4019200	6280	987.8616898148148	265.1117862654321	4023296	7381	0.4610556492116302	6280	32.0	1.0
2325.462962962963	499.99305555555554	4089.151411552255	4064128	4060160	6344	897.5362460815047	250.7042025862069	4064128	7465	0.5459722315426916	6344	32.0	1.0
2332.8125	516.4921875	4092.9506117423452	4105472	4101120	6408	929.6318691950464	268.9336784055728	4105472	7532	0.5223660375922918	6408	32.0	1.0
2353.731343283582	521.7462686567164	4094.5753004089793	4146560	4142080	6472	1022.6465147975077	284.89551693925233	4146560	7604	0.4832178435754031	6472	32.0	1.0
2420.299145299145	530.6794871794872	4086.836172857644	4187776	4183040	6536	1044.1842973602484	281.140018439441	4187776	7691	0.48878303077071905	6536	32.0	1.0
2584.246575342466	543.5410958904109	4158.865368451805	4229248	4224640	6600	1041.333912037037	276.6819540895062	4229248	7771	0.4906400872860104	6600	32.0	1.0
2255.6338028169016	497.88732394366195	4093.3354259220614	4270336	4265600	6665	1038.6876947040498	276.0952832943925	4270336	7849	0.5729421931963701	6665	32.0	1.0
2324.603174603175	501.8095238095238	4157.51350340288	4311424	4307200	6730	893.4044003115265	247.58031542056074	4311424	7954	0.4682814238163141	6730	32.0	1.0
2220.3389830508477	501.04237288135596	4213.728349979236	4352512	4349440	6795	856.4252336448598	252.87368574766356	4352512	8016	0.4885247886180878	6795	32.0	1.0
2241.830065359477	504.8954248366013	4203.867300491751	4393728	4391680	6861	1052.6688664596272	296.22328707298135	4393728	8071	0.48562060996438516	6861	32.0	1.0
2300.5555555555557	518.8722222222223	4156.721541754656	4434816	4433280	6926	1080.5953076323988	286.88539232866043	4434816	8173	0.5721308607321519	6926	32.0	1.0
2868.8524590163934	583.4262295081967	4139.5705189907785	4475904	4474880	6991	1063.8020833333333	281.03553348909657	4475904	8235	0.546802465732281	6991	32.0	1.0
2541.5384615384614	530.748717948718	4089.687477891	4517760	4515840	7056	1170.0879204892967	298.86534785932724	4517760	8309	0.5811331817736992	7056	32.0	1.0
2848.4375	566.125	4089.8656461763153	4558848	4556800	7120	1221.7727803738317	301.65637169003116	4558848	8382	0.6150066731497645	7120	32.0	1.0
2785.9154929577467	558.6032863849765	4094.786297243897	4599808	4597760	7184	1138.80859375	287.666552734375	4599808	8465	0.5901685480494052	7184	32.0	1.0
2743.532338308458	547.6766169154229	4095.8202227346883	4641152	4638720	7248	1089.2318111455108	286.02259094427245	4641152	8544	0.5677206912077963	7248	32.0	1.0
2513.846153846154	530.5307692307692	4092.0121870483017	4683008	4679680	7312	1089.3324732415902	282.7092412079511	4683008	8614	0.6035252928268164	7312	32.0	1.0
2681.3253012048194	538.5301204819277	4092.0444486111523	4724608	4720640	7376	1056.1899038461538	270.8661778846154	4724608	8707	0.58480428555049	7376	32.0	1.0
2474.6478873239435	504.4154929577465	4092.6769169549034	4766720	4761600	7440	1008.9523176291793	261.5686027735562	4766720	8784	0.5194815022405237	7440	32.0	1.0
2338.961038961039	500.57142857142856	4153.582714389375	4807808	4803200	7504	1006.1721183800623	268.8802083333333	4807808	8875	0.5306199963670224	7504	32.0	1.0
2367.1641791044776	510.1890547263681	4219.38948918155	4849152	4845440	7571	997.3563273993808	263.1129789086687	4849152	8954	0.5771783701519468	7571	32.0	1.0
