local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3826.421748785401	41472	38400	59	18.11432453416149	82.0	41472	0	0.04421496102033909	59	32.0	1.0
		4159.134915041952	82560	80000	124	113.60494548286604	242.7507788161994	82560	0	0.07024977628428203	124	32.0	1.0
470.0	426.0	4217.668425264435	123776	122240	190	181.931774068323	398.02991556677017	123776	10	0.049674543890763416	190	32.0	1.0
484.2105263157895	571.9473684210526	4152.147426835564	165248	163840	256	231.79253472222223	530.3350453317901	165248	29	0.05640248144327691	256	32.0	1.0
516.6666666666666	726.5	4090.1970025770106	206848	204800	320	247.4903846153846	610.053798076923	206848	71	0.09235899613122456	320	32.0	1.0
458.57142857142856	869.2	4088.8391035749387	249216	245760	384	246.84667673716012	646.8915691087614	249216	108	0.1134808091155719	384	32.0	1.0
476.8292682926829	927.3658536585366	4091.840361372752	291200	286720	448	229.1134717987805	648.9069883765244	291200	150	0.08184046662063338	448	32.0	1.0
515.7142857142857	1043.6571428571428	4157.024285861046	333056	328320	513	244.02714067278288	693.4715930810397	333056	188	0.17504515599172848	513	32.0	1.0
663.8888888888889	1060.827380952381	4398.952201758878	374528	372480	581	313.9226466049383	559.4333043981482	374528	288	0.3331403815844918	581	32.0	1.0
814.5833333333334	873.0104166666666	4209.576871085406	415744	414720	647	340.7924107142857	414.5463412267081	415744	342	0.25484924266735715	647	32.0	1.0
880.4878048780488	733.545731707317	4093.392578851481	458112	455680	712	387.13651812688823	345.51364237160124	458112	437	0.29190661259568657	712	32.0	1.0
964.1975308641976	524.8333333333334	4092.4827104390642	500736	496640	776	399.2328265765766	293.6735876501501	500736	527	0.23944605694850907	776	32.0	1.0
941.9753086419753	511.55555555555554	4268.444633592196	543104	539520	842	409.455249244713	265.92716200906347	543104	619	0.2785773283491532	842	32.0	1.0
954.9382716049382	470.32716049382714	4287.962378259774	584576	582400	910	406.29340277777777	252.8009018132716	584576	710	0.25498701506020394	910	32.0	1.0
