local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3576.01423232387	36864	35840	55	12.423513986013987	73.0	36864	0	0.047989803776991635	55	32.0	1.0
		3583.4175019138324	73984	71680	112	99.14870689655173	217.0	73984	0	0.08407657019990056	112	32.0	1.0
466.6666666666667	389.0	3566.0023455969717	108544	107520	167	165.05208333333334	355.84111689814813	108544	3	0.07618902176618576	167	32.0	1.0
561.5384615384615	501.3076923076923	3376.155756312346	144000	141440	220	212.5451263537906	477.296395532491	144000	17	0.05325247551191528	220	32.0	1.0
540.0	620.84	3382.176191832486	179456	175360	273	232.3443140794224	566.1944381768953	179456	42	0.08188071544721441	273	32.0	1.0
482.7586206896552	759.5862068965517	3515.428597770224	215168	210560	328	243.04155465949822	633.2223902329749	215168	72	0.061121692102063786	328	32.0	1.0
534.8039215686274	890.5882352941177	4028.1895359032987	252928	250880	392	245.64618644067798	671.8951006355932	252928	109	0.1070641367114149	392	32.0	1.0
502.4390243902439	970.4024390243902	3582.1300654939655	291456	286720	448	226.28997093023256	666.1281924833887	291456	155	0.10817796550691128	448	32.0	1.0
508.06451612903226	1163.6451612903227	3580.312306595868	327552	322560	504	230.72639627659575	663.0697307180851	327552	187	0.13359714738492454	504	32.0	1.0
544.4444444444445	1067.9444444444443	3583.3033824972895	363008	358400	560	269.37330776173286	673.5113944043321	363008	215	0.11355773366189428	560	32.0	1.0
611.9565217391304	971.6413043478261	3579.528985404578	398464	394240	616	306.72100631768956	666.8925428700361	398464	263	0.14329838679571236	616	32.0	1.0
675.6410256410256	1133.8333333333333	3580.714416145807	433536	430080	672	327.36085766423355	617.2850421989051	433536	307	0.25733982152970775	672	32.0	1.0
754.0322580645161	1012.8951612903226	3580.936361303591	469376	465920	728	363.42354910714283	502.76305803571427	469376	375	0.33613221773079466	728	32.0	1.0
831.25	836.0535714285714	3967.7767459602246	507648	505600	789	355.2675585284281	392.7205790133779	507648	440	0.1748130050350408	789	32.0	1.0
891.304347826087	737.7608695652174	3704.4307555053633	545664	542720	848	382.06544612794613	351.12936658249157	545664	515	0.27122659280391065	848	32.0	1.0
903.5211267605633	554.8028169014085	3579.5538745355207	581120	578560	904	387.72563176895306	288.27752707581226	581120	592	0.25316922732495833	904	32.0	1.0
919.4915254237288	523.457627118644	3519.8472661489395	615296	613760	958	407.94124531835206	285.2937148876405	615296	654	0.22661050726418142	958	32.0	1.0
1022.1311475409836	545.8142076502731	3518.8154012330674	651136	648960	1013	422.94363839285717	288.1364955357143	651136	721	0.2458801796490496	1013	32.0	1.0
993.5714285714286	527.3357142857143	3702.881718744307	687104	686080	1071	436.27669039145906	282.644934386121	687104	801	0.30937743687938	1071	32.0	1.0
1033.3333333333333	491.280303030303	3576.941467966541	725632	721920	1128	403.4338662790698	261.475939576412	725632	877	0.2750257186983761	1128	32.0	1.0
965.4929577464789	457.1056338028169	4092.839647348912	764416	762880	1192	427.743399339934	278.355198019802	764416	957	0.3252012728480622	1192	32.0	1.0
1009.375	506.4083333333333	3583.702490518761	802944	798720	1248	417.0836794019934	261.9098318106312	802944	1050	0.2699621253247772	1248	32.0	1.0
992.3728813559322	486.03389830508473	3576.9771306578505	839040	834560	1304	404.78723404255317	251.6565824468085	839040	1119	0.29356997965701986	1304	32.0	1.0
960.2150537634409	450.5376344086021	3579.9040637941976	872704	870400	1360	416.10325570342206	248.56656962927758	872704	1192	0.2301979372277856	1360	32.0	1.0
1024.6376811594203	455.768115942029	3576.7708245965596	907904	906240	1416	445.99147727272725	257.0047443181818	907904	1270	0.2631762740867479	1416	32.0	1.0
1019.21568627451	452.9666666666667	3583.6172283844194	945024	942080	1472	452.82327586206895	247.96015625	945024	1369	0.2676511496039374	1472	32.0	1.0
1042.8571428571431	422.80952380952385	3955.6456804941254	983808	981760	1533	427.01371699669966	215.753300330033	983808	1479	0.253318259584122	1533	32.0	1.0
1022.0930232558139	381.88953488372096	3948.909901445942	1024512	1021440	1595	442.22435141509436	202.11006289308176	1024512	1581	0.2668975962386016	1595	32.0	1.0
997.7941176470588	369.5735294117647	3645.05366481785	1060480	1057920	1652	415.17459964412814	215.24594083629893	1060480	1661	0.21594445681885668	1652	32.0	1.0
995.0980392156864	383.56862745098044	3514.7462792878164	1096320	1093120	1707	433.04408482142856	221.38239397321428	1096320	1763	0.22627763165669007	1707	32.0	1.0
1005.2631578947369	396.0	3444.7049953150586	1131776	1127680	1761	441.51906588447656	215.9190828068592	1131776	1849	0.1906430468791061	1761	32.0	1.0
1012.0634920634922	363.20952380952383	3448.7752819026855	1166336	1162240	1816	445.02893518518516	202.73151041666668	1166336	1972	0.22696170996535908	1816	32.0	1.0
1023.8532110091743	345.2737003058104	3709.163235229023	1203584	1199360	1873	387.75773195876286	165.47366301546393	1203584	2100	0.24987552942414032	1873	32.0	1.0
980.6737588652481	284.1524822695036	3967.514454562777	1242496	1239040	1936	404.6849300986842	158.53230365953948	1242496	2216	0.21692782167404417	1936	32.0	1.0
1024.1741741741744	310.1171171171171	4092.8187812545852	1283968	1280000	2000	419.11168981481484	165.36906828703704	1283968	2352	0.20771021849941462	2000	32.0	1.0
1032.936507936508	323.875	3760.043653251421	1321344	1317760	2058	440.27985873287673	177.0452964469178	1321344	2452	0.25587403761415645	2058	32.0	1.0
1062.2916666666665	336.49375	3627.6626900449473	1357312	1354240	2115	462.9142571174377	190.5132339857651	1357312	2548	0.22803921853764014	2115	32.0	1.0
1064.6520146520145	349.2399267399267	3320.544674574153	1392768	1387520	2168	496.89192238267145	199.70171480144404	1392768	2656	0.2330236758263606	2168	32.0	1.0
1082.7309236947792	359.21084337349396	3581.8887688125947	1426304	1423360	2224	436.96326335877865	178.65234375	1426304	2760	0.21813977456518582	2224	32.0	1.0
1090.0	347.5755555555556	3581.0536570393856	1461888	1459200	2280	485.14500899280574	188.06921650179856	1461888	2849	0.2572619958913752	2280	32.0	1.0
1115.5555555555557	350.96666666666664	3818.8985184943863	1500672	1497600	2339	493.9872112211221	197.050175330033	1500672	2955	0.276959133476524	2339	32.0	1.0
1161.0544217687075	378.1819727891156	4073.1982495925527	1541632	1538560	2403	502.16552734375	200.609716796875	1541632	3067	0.2768517764052376	2403	32.0	1.0
1185.2564102564102	381.13675213675214	3831.7724269682703	1580288	1576960	2464	467.7643832781457	198.78293149834437	1580288	3162	0.3234877780568404	2464	32.0	1.0
1162.5	395.28125	3581.899096020193	1615104	1612800	2520	524.0808823529412	227.68043428308823	1615104	3233	0.3242081559396216	2520	32.0	1.0
1241.7695473251028	417.1152263374486	3502.822298761241	1649536	1648000	2574	531.389405204461	228.13731412639405	1649536	3331	0.3379291519522667	2574	32.0	1.0
1190.2777777777778	436.03472222222223	3391.1378046620152	1685120	1681920	2628	510.6930080935252	216.11021807553956	1685120	3404	0.3364299741332178	2628	32.0	1.0
1186.0655737704917	420.155737704918	3447.9744633927908	1720576	1716480	2681	566.5162454873646	234.1046649368231	1720576	3469	0.3197429523153125	2681	32.0	1.0
1218.75	437.3541666666667	3581.9171047643376	1756416	1752320	2737	617.8766741071429	288.6869419642857	1756416	3521	0.3879817660365786	2737	32.0	1.0
1223.8095238095239	510.2202380952381	3965.8944650185817	1796480	1792000	2800	582.1735223642172	310.1997553913738	1796480	3618	0.32686425355218707	2800	32.0	1.0
1250.0	544.1575342465753	4008.465590145557	1833856	1832320	2862	507.5904323630137	254.99919734589042	1833856	3702	0.34284469473265833	2862	32.0	1.0
1258.59375	474.40625	3647.8717162422786	1869824	1868800	2919	551.6681494661922	237.7386009786477	1869824	3774	0.3543183480699857	2919	32.0	1.0
1323.5042735042734	442.9508547008547	3254.9508216272	1905024	1901440	2970	600.0994318181819	240.73389204545455	1905024	3860	0.3663008446786918	2970	32.0	1.0
1389.84375	474.66015625	3383.3890358733793	1939328	1935360	3024	617.0009328358209	239.07007929104478	1939328	3937	0.4107048035495811	3024	32.0	1.0
1410.5263157894738	443.32894736842104	3578.81629734763	1973376	1971200	3080	634.187030075188	230.95256696428572	1973376	4022	0.3856009220970528	3080	32.0	1.0
1397.0588235294117	423.4632352941176	3583.5687896804448	2009984	2007040	3136	596.9405594405595	222.4104840472028	2009984	4099	0.39854745247534346	3136	32.0	1.0
1413.125	432.2125	4095.828913396447	2049152	2048000	3199	595.9201388888889	224.43938929738562	2049152	4192	0.41036136353772784	3199	32.0	1.0
1461.6438356164383	440.6392694063927	3639.870590274688	2089088	2084480	3256	622.4008413461538	233.06720753205127	2089088	4278	0.40336339959972783	3256	32.0	1.0
1444.927536231884	445.67391304347825	3769.543170463115	2125312	2122240	3315	649.845406360424	242.20301457597174	2125312	4353	0.44883885373503474	3315	32.0	1.0
1621.875	486.8229166666667	3324.9470415005144	2159488	2155520	3368	726.3401217228464	263.36575374531833	2159488	4406	0.431439073018308	3368	32.0	1.0
1756.084656084656	507.3783068783069	3582.6212093457875	2193024	2191360	3424	785.6214217557252	278.51001908396944	2193024	4478	0.4088933502456972	3424	32.0	1.0
1675.0	479.55882352941177	3519.3430028983903	2228096	2226560	3478	751.5396897810219	258.53475707116786	2228096	4555	0.41421640250417924	3478	32.0	1.0
1687.6623376623377	478.90909090909093	3578.584647508573	2264064	2262400	3534	707.2870329181495	243.59355538256227	2264064	4643	0.44998523832431864	3534	32.0	1.0
1710.7692307692307	483.16153846153844	3647.7244837006483	2304128	2298880	3592	677.6083266773163	232.66156649361022	2304128	4715	0.4672606834049883	3592	32.0	1.0
1646.1538461538462	456.10769230769233	4031.155191084632	2340864	2339200	3654	797.2152656794425	261.94425087108016	2340864	4789	0.483537855407884	3654	32.0	1.0
1728.2894736842106	477.30263157894734	3643.11160085449	2377856	2375680	3712	785.5617430795847	254.77711397058823	2377856	4880	0.4920221163794912	3712	32.0	1.0
1834.126984126984	487.9232804232804	3582.651008430096	2412672	2411520	3767	730.4170496323529	239.27093864889707	2412672	4948	0.4101931219751185	3767	32.0	1.0
1728.3898305084747	471.71610169491527	3192.067290735661	2447616	2443520	3817	722.1897893772893	243.87362637362637	2447616	5023	0.4780940780043602	3817	32.0	1.0
1767.5	480.125	3453.8427810827247	2483200	2478080	3872	734.029339028777	251.6658048561151	2483200	5091	0.42195501869375057	3872	32.0	1.0
1584.8214285714287	480.0357142857143	3581.542031112538	2518272	2513920	3928	731.5921532846716	259.3086792883212	2518272	5153	0.42162447928317953	3928	32.0	1.0
1838.0597014925372	519.2636815920398	4093.212640299029	2555904	2554880	3991	819.0901360544218	272.8311809098639	2555904	5235	0.42451446326006026	3991	32.0	1.0
1821.875	493.484375	3510.1572916691184	2591616	2590080	4046	776.3412858422939	257.9896673387097	2591616	5306	0.4901305496692657	4046	32.0	1.0
1909.7222222222222	508.4791666666667	3645.1395463221634	2628992	2626560	4104	761.5448416095891	259.21548587328766	2628992	5384	0.5126221783716103	4104	32.0	1.0
1713.888888888889	484.97222222222223	3577.905547048965	2663424	2662400	4159	768.2824117100372	258.91449814126395	2663424	5443	0.6157250743020665	4159	32.0	1.0
1814.1552511415523	490.83333333333326	3519.2178404639053	2699264	2697600	4214	844.3833705357143	266.74921875	2699264	5527	0.5574791829694401	4214	32.0	1.0
1954.3859649122808	495.9181286549708	3448.4664608635317	2734848	2732160	4268	819.8825314748201	256.5691602967626	2734848	5596	0.5353883019200077	4268	32.0	1.0
2063.970588235294	521.2132352941177	3569.9390853206146	2770560	2768000	4324	794.668458781362	260.0314180107527	2770560	5669	0.517127747248326	4324	32.0	1.0
1741.2162162162163	464.8783783783784	3772.962778204839	2810624	2805760	4384	796.1636381789137	257.24613119009587	2810624	5746	0.5088901206851005	4384	32.0	1.0
1918.6666666666667	491.94666666666666	3577.1918878640977	2846848	2841600	4440	853.5722173144876	258.02387919611306	2846848	5826	0.597609320389373	4440	32.0	1.0
1891.6666666666667	477.8958333333333	3580.1259937679015	2880896	2877440	4496	859.172344924812	252.9636101973684	2880896	5906	0.4696710389107466	4496	32.0	1.0
2113.793103448276	500.44827586206895	3577.7710011104323	2914944	2913280	4552	793.4915413533835	243.67457706766916	2914944	5968	0.47625014106077806	4552	32.0	1.0
1930.30303030303	472.13939393939387	3519.8767209314574	2950016	2948480	4606	810.9859717153284	251.39912180656935	2950016	6036	0.5824670463248536	4606	32.0	1.0
1980.9895833333333	482.4479166666667	3643.453310258097	2986112	2984960	4663	889.8188164893617	269.4134807180851	2986112	6106	0.5149874153890108	4663	32.0	1.0
2074.3055555555557	506.8888888888889	3577.3040008591784	3021952	3020800	4719	875.9430803571429	263.13800223214287	3021952	6183	0.6012445414172751	4719	32.0	1.0
1872.0164609053495	481.24485596707814	3707.4057664366646	3062144	3057920	4777	833.6833200636943	253.46352507961782	3062144	6273	0.4771593619009544	4777	32.0	1.0
2041.9117647058824	481.875	3643.712736433608	3098112	3094400	4834	816.909475088968	243.93866770462634	3098112	6348	0.5745934867545178	4834	32.0	1.0
1779.2307692307693	456.4769230769231	3454.3887276394953	3133696	3128960	4888	757.492131294964	234.5728417266187	3133696	6426	0.5388739600225732	4888	32.0	1.0
1910.5263157894738	476.4736842105263	3519.683637444659	3167232	3164160	4944	841.4897423664122	253.37273377862596	3167232	6489	0.6112201208514827	4944	32.0	1.0
1936.0759493670887	463.05696202531647	3578.2723638607854	3201920	3200000	5000	881.0020756457565	254.03018334870848	3201920	6577	0.5466215791446822	5000	32.0	1.0
2022.2222222222222	478.63888888888886	3583.231122014567	3240576	3235840	5056	815.7103683774834	241.25077607615893	3240576	6647	0.47558908483811785	5056	32.0	1.0
1925.3246753246754	465.09090909090907	3769.875250596966	3277184	3273600	5114	798.7379807692307	235.81758085664336	3277184	6737	0.4527902662240226	5114	32.0	1.0
1926.4285714285713	463.45714285714286	3899.138608112987	3315456	3312640	5176	802.0380434782609	238.22865280100334	3315456	6818	0.6207947658915673	5176	32.0	1.0
1785.3846153846155	441.66923076923075	3578.8137412828764	3351680	3348480	5232	843.123343639576	248.4198597614841	3351680	6892	0.5338145326822996	5232	32.0	1.0
1883.3333333333335	455.2230392156863	3578.8704867796123	3386496	3384320	5288	828.7884880514706	238.28529986213235	3386496	6968	0.6191132965364626	5288	32.0	1.0
2093.2291666666665	477.71614583333337	3309.587198657524	3420672	3417600	5339	863.8723080524345	247.0034527153558	3420672	7043	0.5050134056923437	5339	32.0	1.0
1972.7513227513227	464.39947089947094	3324.1282339903087	3455744	3450880	5392	857.0283987226277	249.98266423357666	3455744	7116	0.6056469709805723	5392	32.0	1.0
2001.5873015873017	480.73809523809524	3882.242505732358	3492480	3489920	5452	840.791049651568	245.33389590592336	3492480	7190	0.6100005944569905	5452	32.0	1.0
1997.7168949771687	464.26484018264836	3771.0899364347783	3530112	3527680	5512	889.8410926870748	249.86216517857142	3530112	7272	0.6124183885753155	5512	32.0	1.0
2027.6470588235295	460.44117647058823	3903.1721482412636	3569408	3566720	5573	879.3312296416938	245.32456229641693	3569408	7368	0.6101275254957012	5573	32.0	1.0
2145.689655172414	480.63793103448273	3691.904433110049	3605376	3603840	5630	815.2441058718862	234.42223643238435	3605376	7437	0.5548352201779684	5630	32.0	1.0
1777.8606965174129	431.94278606965173	3500.4333780680936	3641088	3639040	5685	845.1612903225806	240.43419578853047	3641088	7518	0.5157794277776372	5685	32.0	1.0
2148.4848484848485	470.7348484848485	3312.564677998938	3676416	3672320	5737	879.8601675724638	243.67037477355072	3676416	7592	0.5748893801982586	5737	32.0	1.0
1989.855072463768	452.1666666666667	3449.7822880304825	3709696	3706880	5792	865.6700721153846	240.32890625	3709696	7671	0.5604798558083448	5792	32.0	1.0
1933.0882352941176	456.66911764705884	3582.4286799329584	3746816	3742720	5848	854.7898706896551	239.66134159482758	3746816	7745	0.627017187752894	5848	32.0	1.0
2234.6774193548385	486.2741935483871	3902.9021673257325	3784448	3781760	5909	904.3314200680272	251.08984375	3784448	7813	0.6124529518553468	5909	32.0	1.0
2120.0	473.3285714285714	4006.8737358449225	3825152	3822080	5971	996.4229559748428	267.2964327830189	3825152	7894	0.5489250551308354	5971	32.0	1.0
2222.7272727272725	488.5194805194805	3642.1332386524714	3861120	3858560	6028	1007.4816503558719	264.70868549822063	3861120	7983	0.6062588916535963	6028	32.0	1.0
2210.0746268656717	480.76616915422886	3452.1423418149743	3896832	3893120	6082	807.2860663082437	229.83658154121864	3896832	8060	0.6635151248839166	6082	32.0	1.0
2051.041666666667	471.1536458333333	3388.559334637081	3931136	3927040	6136	857.5413945895523	242.1424032182836	3931136	8134	0.482046397195922	6136	32.0	1.0
1875.1461988304093	440.36842105263156	3583.126580091599	3965056	3962880	6192	885.7134433962265	250.32564858490565	3965056	8195	0.46549363248050213	6192	32.0	1.0
2179.8611111111113	482.40972222222223	3582.3597841907595	3999872	3998720	6247	928.4754136029412	253.22837201286765	3999872	8276	0.5435914822600104	6247	32.0	1.0
2199.777777777778	484.54666666666674	3582.3817246785766	4038272	4034560	6304	874.5911458333334	244.84057291666667	4038272	8362	0.5605607134731192	6304	32.0	1.0
2094.7488584474886	467.9246575342466	4094.716125207839	4077696	4075520	6368	850.8497362012987	239.52057122564935	4077696	8445	0.5442156919743866	6368	32.0	1.0
2004.6666666666667	448.81777777777774	3643.647052133362	4116608	4112000	6424	865.8305921052631	239.99162212171052	4116608	8536	0.6890228265630347	6424	32.0	1.0
2144.1176470588234	477.1029411764706	3515.0825096031194	4152448	4147200	6480	849.1880580357143	238.87053571428572	4152448	8608	0.5573170754526343	6480	32.0	1.0
1998.4126984126983	449.515873015873	3575.111369402108	4185856	4183040	6536	914.044540229885	250.20297533524905	4185856	8676	0.5133888527218785	6536	32.0	1.0
2076.190476190476	467.6190476190476	3326.78494695181	4219520	4216320	6587	933.6561311787073	253.739276378327	4219520	8743	0.5254459483366386	6587	32.0	1.0
2283.0729166666665	485.625	3451.99230848642	4255104	4250880	6641	940.0826214028777	255.70053956834533	4255104	8819	0.6942524526406217	6641	32.0	1.0
2258.4615384615386	480.83076923076925	3623.2352456990006	4290944	4287360	6698	954.9358258928571	257.04921875	4290944	8893	0.5523548662139658	6698	32.0	1.0
2246.987951807229	479.7831325301205	3900.153317869815	4331264	4326400	6760	876.1954365079365	236.8985615079365	4331264	8989	0.5529518677823005	6760	32.0	1.0
2047.857142857143	453.87142857142857	3834.010181780302	4368000	4364800	6819	894.9667900696865	239.05604856271776	4368000	9067	0.6637374763771638	6819	32.0	1.0
2113.888888888889	455.10277777777776	3772.9594525705256	4404096	4402560	6878	950.7757092198582	252.45293107269504	4404096	9134	0.5837342256711702	6878	32.0	1.0
2425.956284153005	494.5218579234973	3254.9036150682577	4439296	4435200	6929	1037.9289772727273	267.5890056818182	4439296	9202	0.7245380358368743	6929	32.0	1.0
2452.873563218391	507.4626436781609	3450.7612125642004	4473600	4469760	6984	995.1696595149253	266.8467234141791	4473600	9267	0.6464526563882828	6984	32.0	1.0
2482.7586206896553	524.4310344827586	3583.6364504552675	4509056	4505600	7040	1000.3863944043321	275.80841042418774	4509056	9330	0.590948972851038	7040	32.0	1.0
2528.688524590164	533.8852459016393	3582.098141109839	4544768	4541440	7096	1016.1206317204301	278.7772457437276	4544768	9402	0.5950505028345755	7096	32.0	1.0
2242.5925925925926	497.1358024691358	3882.8199837943957	4583040	4580480	7156	962.0976170568562	255.25164611204013	4583040	9493	0.6600253554681937	7156	32.0	1.0
2446.7661691542285	511.74626865671644	3773.7127236161286	4620672	4618240	7216	911.5619685374149	246.4383237670068	4620672	9573	0.6336589463055133	7216	32.0	1.0
1947.3856209150324	455.875816993464	3577.2519870468345	4658176	4654080	7272	902.658383105802	248.3689739761092	4658176	9628	0.6191545873880386	7272	32.0	1.0
2660.333333333333	527.6166666666667	3578.2010726996496	4692736	4689920	7328	1150.2430555555557	296.2940972222222	4692736	9685	0.7129372219954219	7328	32.0	1.0
2650.0	532.0350877192982	3435.8089994094266	4726528	4724480	7381	1232.1614583333333	304.31389086174244	4726528	9749	0.6819557603800072	7381	32.0	1.0
2877.4509803921574	555.0441176470588	3643.5885716713283	4762496	4760960	7438	1240.608318505338	293.5823231761566	4762496	9828	0.6668633165066702	7438	32.0	1.0
3043.3333333333335	570.8	3517.8860664267963	4798336	4796160	7493	1079.2661830357142	268.78939732142857	4798336	9882	0.6840900922363454	7493	32.0	1.0
