local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2557.0955231709627	30208	25600	40	-0.5803619123931624	60.0	30208	0	0.15391976125538348	40	32.0	1.0
		2555.02403406566	54912	51200	80	-1.553675518134715	166.75129533678756	54912	0	0.15239288602024317	80	32.0	1.0
		2554.55974245369	78464	76800	120	-2.3356827445652173	261.0	78464	0	0.14327123742550613	120	32.0	1.0
		2558.8110382956183	104704	102400	160	-3.0525914634146343	358.2487804878049	104704	0	0.17652386166155337	160	32.0	1.0
		2550.7986335169676	131584	128000	200	-3.751599702380952	462.0	131584	0	0.15530898673459886	200	32.0	1.0
		2558.1478254041226	158208	153600	240	-4.5404522235576925	566.5	158208	0	0.15853688907809554	240	32.0	1.0
		2673.0081495495715	184576	180480	281	-5.275561286407767	670.0	184576	0	0.12899046845552398	281	32.0	1.0
		2740.220063699114	210560	208000	324	-6.006927339901478	772.2512315270936	210560	0	0.17312015783648158	324	32.0	1.0
		2237.714111832724	235392	230400	360	-6.757973582474227	871.5	235392	0	0.12056631481068002	360	32.0	1.0
-10.0	985.8333333333334	2555.5036388030912	259456	256000	400	-7.364652593085107	960.2980385638298	259456	6	0.1159480986185372	400	32.0	1.0
-10.0	1079.05	2416.1850433143068	282368	280320	437	-7.654853351955308	1013.3959497206704	282368	26	0.1525928090150292	437	32.0	1.0
-10.0	1156.1803278688524	2364.2843291729428	307584	304000	474	-6.525578997461929	903.2170447335026	307584	95	0.14797189640435013	474	32.0	1.0
-9.972727272727273	1257.8181818181818	2557.4432908385243	333312	329600	514	-4.719410758706467	698.6932913557214	333312	159	0.15234822360798717	514	32.0	1.0
-9.9375	1345.75	2813.391127716984	359424	357760	558	-2.880859375	455.88848039215685	359424	213	0.15297569842501121	558	32.0	1.0
-9.846153846153847	1448.1923076923076	2621.990640517279	386816	384000	600	-2.172970210280374	345.85054030373834	386816	241	0.11895577432144255	600	32.0	1.0
-9.5	1561.125	2557.777078388657	413824	409600	640	-2.2589232819905214	363.59449052132703	413824	249	0.159946252964437	640	32.0	1.0
-9.833333333333334	1637.0	2551.458404531149	437632	435200	680	-2.576108870967742	409.65696404569894	437632	255	0.15481541994959117	680	32.0	1.0
		2097.9567631020964	460928	456320	712	-3.1122081043956045	493.0546875	460928	255	0.15607284870930016	712	32.0	1.0
-9.0	1864.0	2492.0688888099116	484096	481280	752	-3.7020459254143647	581.6660479972376	484096	256	0.1295947556383908	752	32.0	1.0
		2555.353115839852	510848	506880	792	-4.33126495215311	674.0291193181819	510848	256	0.12137472070753574	792	32.0	1.0
		2554.593230479809	537344	532480	832	-4.982789855072464	778.0177007850242	537344	256	0.1413272486999631	832	32.0	1.0
		2547.523687286933	563072	558080	872	-5.624300373134329	880.029345460199	563072	256	0.13117279009893537	872	32.0	1.0
-10.0	1245.5	2746.3044177036672	589184	585600	914	-6.231579350490196	979.5298713235294	589184	258	0.1613108626611176	914	32.0	1.0
-10.0	1268.0	2429.2143089810997	614528	609920	952	-6.612255366161616	1051.7622316919192	614528	268	0.14886845481631003	952	32.0	1.0
-10.0	1317.25	2494.2369746306686	637952	634880	992	-6.789318647540983	1089.8927595628415	637952	280	0.1576483253389597	992	32.0	1.0
