local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3179.2849050862455	36096	32000	49	-0.6874441964285715	71.5	36096	0	0.16776104408259296	49	32.0	1.0
		3449.475831312604	70272	66560	104	-1.9651802434456929	208.25093632958803	70272	0	0.12441684447906234	104	32.0	1.0
		3451.325660575041	103168	101120	157	-3.1525109435797667	339.2490272373541	103168	0	0.12504793956594648	157	32.0	1.0
		3197.4480206980493	137344	133120	208	-4.259655898876405	470.250936329588	137344	0	0.08546080381846895	208	32.0	1.0
		3504.6967653182164	169856	168320	262	-5.23625123031496	600.5	169856	0	0.10872401172916095	262	32.0	1.0
		3195.187683078581	204928	200320	312	-6.119069343065694	732.5	204928	0	0.12138467818498612	312	32.0	1.0
-10.0	896.3333333333334	3517.142465977356	237440	235520	368	-6.880874753937008	862.0277128444882	237440	3	0.14741063144590175	368	32.0	1.0
-10.0	1020.0769230769231	3185.7272446287357	271616	267520	417	-7.460381554307116	968.7212956460675	271616	16	0.1357845389569292	417	32.0	1.0
-10.0	1132.842105263158	3455.49036447061	304000	302080	472	-7.218317687747035	990.8006731719368	304000	54	0.10523507446050644	472	32.0	1.0
-9.992957746478874	1252.9577464788733	3127.065546182207	338048	333440	520	-5.609609962406015	830.0228794642857	338048	136	0.11982501371918867	520	32.0	1.0
-10.0	1376.5507246376812	3453.9453232345577	369536	368000	574	-3.208904979674797	527.5806656504066	369536	212	0.14297380408755056	574	32.0	1.0
-9.897058823529411	1500.1764705882354	3132.0358051112667	403456	399360	624	-1.8874705188679246	350.1640035377358	403456	248	0.1347984017431736	624	32.0	1.0
-9.875	1598.375	3578.1298695487108	436736	435200	680	-1.9112379807692308	348.40165264423075	436736	256	0.2895546762405762	680	32.0	1.0
		3133.3471572184567	471296	466560	728	-2.8310185185185186	472.2109375	471296	256	0.1896307017110909	728	32.0	1.0
		3516.488963965584	503424	501760	784	-3.559574203187251	602.5294447211155	503424	256	0.15522137081383594	784	32.0	1.0
		3134.9748164514913	537856	533120	833	-4.327050418215613	732.3970144052045	537856	256	0.17819976966295922	833	32.0	1.0
		3519.295268989462	570496	568320	888	-5.143658088235294	863.5283700980392	570496	256	0.12398774774575776	888	32.0	1.0
-10.0	1331.0	3244.787361818957	604544	600960	938	-6.189203477443609	990.4982377819549	604544	258	0.13731703702360393	938	32.0	1.0
-10.0	1406.75	3389.5453033783406	637824	634880	992	-6.826622596153846	1090.7587439903846	637824	266	0.11407248993162755	992	32.0	1.0
-10.0	1446.0294117647059	3323.8785783475846	671232	668160	1043	-7.261164990421456	1166.8203723659003	671232	284	0.11607617961571497	1043	32.0	1.0
-10.0	1499.8958333333333	3319.4157298710907	704128	701440	1096	-6.7173820525291825	1104.456012889105	704128	337	0.11051774341261612	1096	32.0	1.0
-9.983333333333333	1528.0083333333334	3071.3550182580752	737280	732160	1144	-5.137819739382239	868.5413248069498	737280	410	0.10619724875626464	1144	32.0	1.0
-9.981132075471699	1564.0691823899372	3449.4924128972216	768896	766720	1197	-3.0951733299595143	541.9580275809717	768896	470	0.11663357323070742	1197	32.0	1.0
