local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3070.4839028923775	33664	30720	48	-0.6598120210727969	66.75095785440612	33664	0	0.18572421558201313	48	32.0	1.0
		3509.7988905061234	67456	65920	102	-1.756954308712121	198.0	67456	0	0.15986266677026395	102	32.0	1.0
		3132.9751875348275	101760	97280	152	-2.598064365671642	331.0	101760	0	0.1498012244515121	152	32.0	1.0
		3453.3104169037583	133888	131840	205	-3.383621762948207	460.74900398406373	133888	0	0.15625187009572983	205	32.0	1.0
		3197.674268454707	168192	163840	256	-4.12558302238806	590.5	168192	0	0.22792833174268404	256	32.0	1.0
		3507.1148374239874	200576	199040	310	-5.000247035573122	720.7509881422925	200576	0	0.12557930802857434	310	32.0	1.0
		3194.880259350021	235648	231040	360	-5.724538093065694	852.5	235648	0	0.16615042485296727	360	32.0	1.0
		3512.0944247524803	268672	266240	416	-6.5080547480620154	985.5	268672	0	0.14064442965068988	416	32.0	1.0
-10.0	1134.3333333333333	3326.1881756484736	302592	299520	467	-7.176680424528302	1111.5453714622643	302592	3	0.12817723599865155	467	32.0	1.0
-10.0	1257.2692307692307	3319.35171327888	335360	332800	520	-7.323211669921875	1178.8727722167969	335360	32	0.13570332969978172	520	32.0	1.0
-9.964912280701755	1378.701754385965	3199.645348758069	369024	364800	569	-6.226027804182509	1061.3442252851712	369024	97	0.14155490278285376	569	32.0	1.0
-9.946428571428571	1502.0892857142858	3452.45930440476	401536	399360	624	-4.499507874015748	821.8217273622047	401536	156	0.1248092569410801	624	32.0	1.0
-9.754901960784315	1636.3333333333333	3196.6092789930726	435456	431360	673	-3.126356132075472	616.0979363207547	435456	210	0.11584488021171822	673	32.0	1.0
-9.58	1758.76	3454.128284748655	468352	465920	728	-2.21440296692607	460.8684946498054	468352	238	0.13221102025021206	728	32.0	1.0
-9.214285714285714	1892.0714285714287	3259.930201407997	502272	498560	778	-2.1745872641509436	452.12520636792453	502272	252	0.18025099642574788	778	32.0	1.0
-9.333333333333334	1995.6666666666667	3386.940710155645	536064	532480	832	-2.7301432291666665	517.1505385890151	536064	255	0.16809629507500817	832	32.0	1.0
-8.0	2181.0	3387.1310088654154	569088	566400	884	-3.5520530523255816	638.898074127907	569088	256	0.12689985972470963	884	32.0	1.0
		3262.5109747031033	602880	599040	936	-4.3278586647727275	763.65234375	602880	256	0.13390325518468252	936	32.0	1.0
		3452.0614455124487	635776	633600	989	-5.145367217898833	893.8145975194552	635776	256	0.1394326870312106	989	32.0	1.0
-10.0	1308.8333333333333	3198.8824552388996	670208	665600	1040	-5.82214219330855	1012.205593633829	670208	262	0.14833174598421536	1040	32.0	1.0
-10.0	1354.6153846153845	3566.397947181606	702464	701440	1095	-6.151382688492063	1092.8905009920634	702464	275	0.12608178549192167	1095	32.0	1.0
-10.0	1468.1666666666667	3070.8058842665578	737152	732160	1144	-6.419626383763838	1173.2819130535056	737152	281	0.1287941005917228	1144	32.0	1.0
-9.96875	1596.890625	3455.940922030423	768896	766720	1198	-6.402154737903226	1201.6100680443549	768896	316	0.227893046638066	1198	32.0	1.0
-9.893617021276595	1608.9255319148936	3194.2463561961504	802688	798720	1248	-5.3729876893939394	1016.2162642045455	802688	369	0.19400398166850208	1248	32.0	1.0
-9.833333333333334	1661.25	3263.6503151770494	835072	831360	1298	-4.285820158102767	830.7067378952569	835072	412	0.12086746163666248	1298	32.0	1.0
-9.8125	1729.34375	3387.399963209522	867200	865280	1352	-3.5759462151394423	730.8428784860557	867200	445	0.10353580669120506	1352	32.0	1.0
-9.875	1756.0833333333333	3133.730712820518	901376	896640	1401	-3.0291432584269664	648.467111423221	901376	469	0.13115908737693513	1401	32.0	1.0
-9.416666666666666	1923.5833333333333	3515.39796182423	934144	931840	1456	-2.9635009765625	657.2599487304688	934144	481	0.15548144348643042	1456	32.0	1.0
-9.0	2041.3076923076924	3242.2204898539344	968064	964480	1506	-3.166951650943396	691.5322228773584	968064	494	0.13818674340844153	1506	32.0	1.0
-9.375	2027.2916666666667	3386.4532076033984	1001344	998400	1560	-3.358683894230769	708.9588040865384	1001344	507	0.13098096819939437	1560	32.0	1.0
-8.5	2263.75	3370.641134689805	1034880	1032320	1612	-3.7885257633587788	788.2420384064885	1034880	511	0.11971489949008593	1612	32.0	1.0
-10.0	1117.0	3259.8987632289395	1068928	1064960	1664	-4.35047579887218	896.5801221804511	1068928	512	0.12348005032310119	1664	32.0	1.0
-10.0	1621.3333333333333	3449.2967275248225	1101568	1099520	1717	-4.878523284313726	1014.5779105392157	1101568	515	0.11764759232975402	1717	32.0	1.0
-9.714285714285714	1775.0	3193.3526890295393	1136128	1131520	1768	-5.433998842592593	1115.784230324074	1136128	522	0.1843806326243223	1768	32.0	1.0
-9.928571428571429	1554.7142857142858	3496.411436846897	1168256	1166720	1822	-5.669167081673307	1183.675516683267	1168256	536	0.1073217122229161	1822	32.0	1.0
-9.928571428571429	1713.2142857142858	3135.327082290774	1202432	1198080	1872	-5.487886235955056	1174.6355922284645	1202432	564	0.15465594060719012	1872	32.0	1.0
-9.9375	1712.28125	3508.2295468682305	1234816	1233280	1926	-5.193737648221344	1138.5751914525692	1234816	581	0.11544212291914004	1926	32.0	1.0
-9.724137931034482	1801.103448275862	3130.8680327387137	1268736	1264640	1976	-4.916745283018868	1103.7255896226416	1268736	612	0.11658920228481293	1976	32.0	1.0
-9.62962962962963	1871.851851851852	3503.4180224937095	1301376	1299840	2030	-4.507444852941177	1036.1392463235295	1301376	639	0.11869068768013406	2030	32.0	1.0
-9.703703703703704	1935.4074074074074	3131.735056247405	1335936	1331200	2080	-4.092216435185185	964.4718460648148	1335936	666	0.1263838506117463	2080	32.0	1.0
-9.38888888888889	1932.388888888889	3575.893608760791	1368064	1367040	2135	-3.835003735059761	918.3494770916335	1368064	684	0.11090372970158403	2135	32.0	1.0
-9.444444444444445	2057.5555555555557	3191.060352955033	1403136	1399040	2185	-3.6366046989051095	910.1939153740876	1403136	702	0.12071908056735993	2185	32.0	1.0
-9.294117647058824	2126.294117647059	3455.763123536583	1435520	1433600	2240	-3.55762104743083	910.8378829051384	1435520	719	0.11372252282771197	2240	32.0	1.0
-8.9375	2217.375	3131.2104313934587	1469568	1464960	2288	-3.5787711466165413	916.1913475093985	1469568	735	0.1417343266075477	2288	32.0	1.0
-9.55	2065.45	3516.353116975107	1501824	1500160	2344	-3.6419580853174605	910.7015128968254	1501824	746	0.10701081635696548	2344	32.0	1.0
-9.2	2258.3	3263.462275796222	1536384	1532800	2394	-3.7050636574074076	940.955931712963	1536384	757	0.12482991710305213	2394	32.0	1.0
-8.0	2585.5	3389.6884872886317	1569280	1566720	2448	-3.9120865758754864	1023.3034411478599	1569280	759	0.14468656601039348	2448	32.0	1.0
-8.954545454545455	2154.1363636363635	3194.394981892291	1602816	1598720	2497	-4.311814169847328	1103.7055104961833	1602816	771	0.12094404738472432	2497	32.0	1.0
-8.0	2463.25	3450.6540950989834	1635712	1633280	2552	-4.33587670233463	1159.9369832198443	1635712	775	0.13515483980829066	2552	32.0	1.0
		3326.6278852840564	1669632	1666560	2603	-4.481073113207547	1263.6851120283018	1669632	775	0.13602697754315302	2603	32.0	1.0
-9.0	2241.5	3319.1101143302	1703424	1699840	2656	-4.621626420454546	1375.641512784091	1703424	781	0.14732204774781218	2656	32.0	1.0
-9.25	2222.25	3382.121839720457	1736320	1733760	2708	-4.685250486381323	1458.3530520428017	1736320	785	0.15006761059451562	2708	32.0	1.0
-9.333333333333334	2218.3333333333335	3259.9353247242666	1769856	1766400	2760	-4.735418654580153	1560.6804329675572	1769856	788	0.1349412058838285	2760	32.0	1.0
-9.26923076923077	2311.423076923077	3386.747933564406	1802880	1800320	2812	-4.565104166666667	1629.6574006782946	1802880	802	0.13876609149603888	2812	32.0	1.0
-9.333333333333334	2467.6666666666665	3257.5685159864347	1836928	1832960	2864	-4.478618421052632	1636.9499823778197	1836928	808	0.1412329151510046	2864	32.0	1.0
-8.6	2577.4	3500.2445793500947	1869696	1868160	2918	-4.439788818359375	1727.303466796875	1869696	813	0.1935701317809246	2918	32.0	1.0
-9.25	2594.5	3134.505650163158	1903744	1899520	2968	-4.228853383458647	1731.8847509398497	1903744	831	0.16762894429266453	2968	32.0	1.0
-9.142857142857142	2628.0	3557.4063708125227	1936384	1935360	3023	-4.12015931372549	1749.9763174019608	1936384	838	0.10597539500079371	3023	32.0	1.0
-9.333333333333334	2711.5	3071.1397185193805	1970688	1966080	3072	-3.9137126865671643	1805.3475687966418	1970688	844	0.20006183797151458	3072	32.0	1.0
-8.891304347826088	2757.5	3505.444683449487	2002816	2001280	3126	-3.5647099103585655	1760.816079432271	2002816	868	0.18635772258319236	3126	32.0	1.0
-8.5	2842.0625	3135.6704569965736	2037632	2032640	3176	-3.362362132352941	1639.5295266544117	2037632	884	0.09626012172549964	3176	32.0	1.0
-8.25	2921.3333333333335	3573.8677031948564	2069504	2068480	3231	-3.239144076305221	1693.2955258534137	2069504	896	0.1615782382305373	3231	32.0	1.0
-8.285714285714286	3015.095238095238	3069.152056740562	2104192	2099200	3280	-2.8193899907749076	1597.7235355166051	2104192	917	0.16250183501717996	3280	32.0	1.0
-7.666666666666667	3058.5	3583.525990433814	2136448	2135040	3336	-2.5731956845238093	1544.8121589781747	2136448	923	0.1219792420909341	3336	32.0	1.0
-7.739130434782608	3210.0434782608695	3129.7350141575653	2171008	2166400	3384	-2.5001736111111112	1540.3636284722222	2171008	946	0.14980217985187969	3384	32.0	1.0
-7.5	3375.25	3513.4776688039683	2203520	2201600	3440	-2.3788447342519685	1463.9949249507874	2203520	950	0.11777837534568139	3440	32.0	1.0
-8.125	3191.6666666666665	3194.434592404238	2237696	2233600	3489	-2.490431882022472	1534.4236306179776	2237696	963	0.12190830517484218	3489	32.0	1.0
-7.666666666666667	3424.1666666666665	3451.4005233704142	2269952	2268160	3544	-2.5007750496031744	1499.6202256944443	2269952	969	0.11158312484622002	3544	32.0	1.0
-7.8	3363.4	3192.7547076742376	2304256	2300160	3593	-2.640683302238806	1566.8934235074628	2304256	975	0.09908823938850238	3593	32.0	1.0
-7.4	3396.6	3452.054046649633	2336256	2334720	3648	-2.75796875	1611.51621875	2336256	980	0.12417586127465421	3648	32.0	1.0
-7.0	3542.0	3129.568955700592	2370688	2366080	3696	-2.862685873605948	1680.7205796933085	2370688	983	0.10596401356936742	3696	32.0	1.0
-7.0	3537.875	3517.122776110318	2403200	2401280	3752	-2.9702571358267718	1739.310746801181	2403200	991	0.13167238435042755	3752	32.0	1.0
-6.285714285714286	3791.0	3124.7969175226103	2437248	2432640	3800	-3.0580650845864663	1772.92851268797	2437248	998	0.13184614444617182	3800	32.0	1.0
-6.769230769230769	3736.230769230769	3509.8936781998586	2469504	2467840	3856	-3.042813740079365	1752.7122085813492	2469504	1011	0.1949751698412001	3856	32.0	1.0
-7.5	3410.0	3193.8787665717687	2503936	2499840	3905	-3.246224442379182	1770.0257028345725	2503936	1013	0.10289886498785748	3905	32.0	1.0
-7.142857142857143	3744.714285714286	3455.644491529919	2536192	2534400	3960	-3.3501054067460316	1856.545386904762	2536192	1020	0.12061034776270389	3960	32.0	1.0
-8.6	3189.0	3193.937441457172	2570496	2566400	4009	-3.523816464552239	1889.6890450093283	2570496	1025	0.1572059752913762	4009	32.0	1.0
-6.7	3787.3	3452.587585964771	2602624	2600960	4064	-3.5102402888446216	1918.1692604581674	2602624	1035	0.1409565068442713	4064	32.0	1.0
-8.88888888888889	3276.1111111111113	3116.5855400584583	2636928	2632320	4112	-3.5477786847014925	1906.482130363806	2636928	1044	0.10595183485808472	4112	32.0	1.0
-7.571428571428571	3494.8571428571427	3519.9044139116418	2669056	2667520	4168	-3.542361802788845	1958.0076568725099	2669056	1051	0.1551946659040238	4168	32.0	1.0
-7.375	3503.25	3068.3258108175205	2703488	2698240	4216	-3.6280494888475836	1950.3878078531598	2703488	1060	0.10362371290102601	4216	32.0	1.0
-7.75	3472.25	3579.4710257562197	2735616	2734080	4272	-3.6673929282868527	2007.7518052788844	2735616	1064	0.1324042960602258	4272	32.0	1.0
-7.823529411764706	3492.705882352941	3179.998847580374	2770176	2766080	4321	-3.6109375	1990.1524305555556	2770176	1081	0.11106932319092508	4321	32.0	1.0
-8.5	3267.375	3451.459774932334	2802560	2800640	4376	-3.508368330039526	1947.7957015810277	2802560	1089	0.08907507918775082	4376	32.0	1.0
-8.454545454545455	3203.909090909091	3186.345970147787	2836736	2832640	4425	-3.557642790262172	1979.9079470973784	2836736	1100	0.1217376604980352	4425	32.0	1.0
-8.666666666666666	3293.0	3454.24376706284	2868992	2867200	4480	-3.4089161706349205	1984.4808407738096	2868992	1106	0.13294044556942852	4480	32.0	1.0
-7.666666666666667	3493.8888888888887	3133.9004986259724	2903296	2898560	4528	-3.2673157649253732	2018.7060692630596	2903296	1115	0.1305447838579615	4528	32.0	1.0
-7.777777777777778	3573.4444444444443	3509.232440515409	2936064	2933760	4584	-3.12451171875	2008.9088745117188	2936064	1124	0.1328998764843813	4584	32.0	1.0
