local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2551.1010493414856	29440	25600	40	-0.7447916666666666	58.5	29440	0	0.294072296039667	40	32.0	1.0
		3069.0013917437777	57856	56320	88	-2.224591779279279	171.0	57856	0	0.303975118479381	88	32.0	1.0
		2751.411513502893	87552	83840	131	-3.7172683189655173	284.5	87552	0	0.40960590619333953	131	32.0	1.0
		2878.925594751009	116608	112640	176	-5.399366740088106	399.2511013215859	116608	0	0.35017780404951837	176	32.0	1.0
		3007.130834410058	144256	142720	222	-7.0620298032407405	510.0	144256	0	0.34300742290266184	222	32.0	1.0
		2622.4800846963194	174080	168960	264	-8.635796673819742	622.2489270386266	174080	0	0.21920428726644742	264	32.0	1.0
		3065.334805149326	202240	199680	312	-10.154474431818182	735.5	202240	0	0.1679830205782006	312	32.0	1.0
		2929.0003314686423	231168	229120	357	-11.654245022123893	847.0	231168	0	0.1990281956891219	357	32.0	1.0
		2685.710971931824	261248	256000	400	-13.218151595744681	962.2510638297872	261248	0	0.22085834376860497	400	32.0	1.0
		3069.682023786131	289920	286720	448	-14.798723493303571	1077.0	289920	0	0.18252183947091302	448	32.0	1.0
		3002.0128713443764	318336	316800	494	-16.33199605855856	1188.5	318336	0	0.18125701104493244	494	32.0	1.0
		2680.4874462896896	348288	343680	536	-17.845319177350426	1302.5	348288	0	0.23843896424486524	536	32.0	1.0
		3006.0538752811103	376320	373760	584	-19.251141552511417	1415.7488584474886	376320	0	0.2356781049941977	584	32.0	1.0
-24.0	1560.7916666666667	2750.488586879959	404864	401280	626	-20.13270739910314	1492.1176779708521	404864	31	0.2508581991174391	626	32.0	1.0
-23.94315476190476	1634.25	2879.3209990501023	432256	430080	672	-13.201445677570094	1038.8724445093458	432256	161	0.14312712078833062	672	32.0	1.0
-23.64607843137255	1723.8529411764705	2620.3052250952105	461056	456320	713	-5.142604166666667	474.9198263888889	461056	211	0.16592691611589455	713	32.0	1.0
-22.75	1855.25	3005.3612920060295	489472	486400	760	-5.09547438063063	487.42827984234236	489472	215	0.15641169733506569	760	32.0	1.0
-23.0	1967.5	3071.733421572339	518272	517120	807	-6.084236111111111	577.4177083333333	518272	217	0.15927393290590733	807	32.0	1.0
		2749.5164370600114	548352	544640	850	-7.289727393617022	684.4506981382979	548352	217	0.1827715702874716	850	32.0	1.0
		2873.2944880088744	577792	573440	896	-8.591202445652174	800.80859375	577792	217	0.23528337089911752	896	32.0	1.0
		3066.63983774698	606080	604160	944	-9.659148755656108	913.6733243778281	606080	217	0.16676040785387158	944	32.0	1.0
		2814.845352785714	635392	632320	987	-10.623430676855895	1025.9478711790393	635392	217	0.17880747727183408	987	32.0	1.0
		2810.7762487271243	664448	660480	1032	-11.618839482378855	1140.1702918502203	664448	217	0.14386875496970283	1032	32.0	1.0
		3060.720595319321	693120	691200	1080	-12.612095424107142	1252.80859375	693120	217	0.14491820234494904	1080	32.0	1.0
		2867.2434006569433	722560	720000	1124	-13.598709239130434	1366.30859375	722560	217	0.1464257086203857	1124	32.0	1.0
-24.0	2852.0	2748.916115310435	751872	747520	1168	-14.368722707423581	1464.4074781659388	751872	219	0.14015473738651385	1168	32.0	1.0
-24.0	2946.0	3063.0801741487853	780928	778240	1216	-15.087486233480176	1562.3445071585902	780928	220	0.1528759557598581	1216	32.0	1.0
-24.0	1564.4	2929.9532406926583	809728	807680	1261	-15.655729166666667	1659.5818055555555	809728	231	0.1413952313363552	1261	32.0	1.0
-23.934782608695652	1588.7173913043478	2682.558714681412	838784	834560	1304	-13.693798182819384	1590.418984030837	838784	284	0.14437896281827328	1304	32.0	1.0
-23.805555555555557	1650.6666666666667	3066.551964136134	867840	865280	1352	-9.53775468061674	1364.893825715859	867840	322	0.142890373012051	1352	32.0	1.0
-23.714285714285715	1683.5714285714287	2996.5048715985995	896896	895360	1398	-8.261632709251101	1345.890556167401	896896	329	0.10603500194037738	1398	32.0	1.0
-24.0	1688.6666666666667	2675.22122733838	926848	922240	1440	-8.33633814102564	1431.0493456196582	926848	332	0.1283711443344752	1440	32.0	1.0
		3007.223441193305	954880	952320	1488	-8.647973744292237	1535.0127711187215	954880	332	0.13380179010952511	1488	32.0	1.0
		3068.0134807895893	984064	983040	1535	-9.006167763157896	1647.109375	984064	332	0.1059117160658253	1535	32.0	1.0
		2810.383994710049	1014272	1011200	1579	-9.190744173728813	1763.109375	1014272	332	0.0685898470057344	1579	32.0	1.0
		2808.14152289887	1044480	1039360	1624	-9.26612155720339	1881.109375	1044480	332	0.038160512337668075	1624	32.0	1.0
		3063.0134019802217	1073408	1070080	1672	-9.284015486725664	1996.609375	1073408	332	0.016577853957035888	1672	32.0	1.0
		3071.127859975334	1102208	1100800	1720	-9.298854166666667	2109.696736111111	1102208	332	0.013958699855720624	1720	32.0	1.0
		2814.95148308229	1132160	1128960	1763	-9.309862446581196	2224.109375	1132160	332	0.01145344291986941	1763	32.0	1.0
		2807.694539144974	1162368	1157120	1808	-9.317300052966102	2341.609375	1162368	332	0.012323801421249907	1808	32.0	1.0
		3069.849870213574	1191168	1187840	1856	-9.323506944444444	2456.522013888889	1191168	332	0.008370400935139818	1856	32.0	1.0
		3069.4117528230227	1219840	1218560	1904	-9.330880301339286	2569.109375	1219840	332	0.007521329728964095	1904	32.0	1.0
-24.0	1509.0	2866.500676165606	1249920	1247360	1948	-9.293251329787234	2681.272739361702	1249920	333	0.007683993359519677	1948	32.0	1.0
