local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2872.033253172074	31488	28800	44	-0.7528816598360656	62.5	31488	0	0.34551158461148257	44	32.0	1.0
		3242.9970465250476	62464	61440	95	-2.3832644628099175	184.0	62464	0	0.301722150149883	95	32.0	1.0
		3067.363380772963	94336	92160	144	-4.052804969879518	306.75100401606426	94336	0	0.446588183772199	144	32.0	1.0
		3062.9700780845806	125824	122880	192	-5.893324441056911	430.5	125824	0	0.31893720004397136	192	32.0	1.0
		3065.9025562374327	157696	153600	240	-7.706074297188755	554.2489959839357	157696	0	0.3606621506623924	240	32.0	1.0
		3062.4868266904473	188672	184320	288	-9.370932334710744	677.0	188672	0	0.2179934624582529	288	32.0	1.0
		3065.732077530754	219648	215040	336	-10.968911415289256	798.0	219648	0	0.2029429121563832	336	32.0	1.0
		3181.011330346485	251136	247040	385	-12.657329776422765	920.0	251136	0	0.20685402539615727	385	32.0	1.0
		3260.1407363962458	282368	279680	436	-14.392610143442623	1042.5	282368	0	0.1983546747588644	436	32.0	1.0
		3252.773625914722	313344	312320	487	-16.079577737603305	1164.0	313344	0	0.1975317820906639	487	32.0	1.0
		3069.9963028719158	345088	343040	536	-17.639144405241936	1286.5	345088	0	0.2188747234034295	536	32.0	1.0
		3071.6164053265784	376960	373760	584	-19.232837600401606	1410.7510040160641	376960	0	0.2610691653098911	584	32.0	1.0
-24.0	1566.55	3066.3082215096033	408064	404480	632	-20.43624614197531	1500.6511702674898	408064	24	0.27627206066002447	632	32.0	1.0
-23.93642611683849	1657.2268041237114	3058.459894562204	437760	435200	680	-13.497642780172415	1028.294012661638	437760	183	0.2075989304576069	680	32.0	1.0
-23.654166666666665	1761.75	3066.4362910227032	468608	465920	728	-4.470792271784233	373.03611255186723	468608	235	0.20660542091354728	728	32.0	1.0
