local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3577.998628104073	36864	35840	55	23.36374562937063	73.0	36864	0	0.08127602630464191	55	32.0	1.0
		3579.5417708738164	75392	71680	112	141.99024086378736	219.75083056478405	75392	0	0.11431156687046352	112	32.0	1.0
		3773.136977733294	113024	109440	170	254.3500212585034	368.5	113024	0	0.10197079730830316	170	32.0	1.0
		3892.5278979277055	149504	148480	231	361.75712719298247	513.2491228070176	149504	0	0.11492691796700485	231	32.0	1.0
		3579.720180316873	188800	184320	288	509.56331433224756	661.2508143322475	188800	0	0.11156690637009185	288	32.0	1.0
666.6666666666666	830.3333333333334	3902.41886267299	226048	223360	349	725.0751718213058	807.2926331615121	226048	3	0.11717852473747535	349	32.0	1.0
1153.8461538461538	981.7692307692307	3775.783857892923	263936	261120	408	1108.5092905405406	931.6289590371622	263936	16	0.12012572062470145	408	32.0	1.0
1486.9565217391305	1117.695652173913	3839.243008144442	302592	299520	467	1501.6116514900662	1003.2757139900663	302592	41	0.09668056430074118	467	32.0	1.0
2500.0	1260.4848484848485	3834.624326806262	340480	337920	528	1893.2669974662163	1012.6490709459459	340480	74	0.09997503285403134	528	32.0	1.0
3040.2298850574716	1410.0	3577.2657777957156	378368	373760	584	1949.9868032094594	990.985377956081	378368	105	0.09197596573669996	584	32.0	1.0
3155.4054054054054	1556.837837837838	3830.240899224819	415360	412160	643	1858.7883866782006	939.8955720155709	415360	144	0.11514389597005763	643	32.0	1.0
4109.523809523809	1681.7142857142858	3831.7532832888965	452608	450560	704	1691.2290592783504	876.264900128866	452608	165	0.11315835001649427	704	32.0	1.0
4411.111111111111	1845.148148148148	3578.0682078655786	491392	486400	760	1524.5565181518152	865.5183323019802	491392	194	0.11716341370317553	760	32.0	1.0
3907.1428571428573	1850.857142857143	3893.991199749199	528000	525440	820	1305.998688811189	820.6507867132867	528000	224	0.16364679988473654	820	32.0	1.0
2628.125	1630.0	3771.907947365547	565760	563200	880	1159.3961864406779	777.2275158898306	565760	241	0.15045305130382378	880	32.0	1.0
3322.0	1506.34	3583.952918098977	604160	599040	936	1393.1822916666667	814.8251302083333	604160	267	0.14337892903547203	936	32.0	1.0
2782.0	1396.56	3963.68345143768	640896	638720	997	1444.1038763066201	792.630743684669	640896	293	0.14416585783245134	997	32.0	1.0
2883.7837837837837	1380.9864864864865	3708.6991079711993	679552	675840	1056	1468.346440397351	773.5261020281457	679552	332	0.13586563746429095	1056	32.0	1.0
2617.1875	1303.828125	3758.3294259046056	717184	713600	1114	1407.421875	733.5021789965987	717184	365	0.1318402467616673	1114	32.0	1.0
3579.032258064516	1433.225806451613	3896.414248031342	753664	752640	1175	1277.2313596491229	703.9325932017543	753664	397	0.15763020222304297	1175	32.0	1.0
2934.4827586206898	1304.4137931034484	3578.1555057634273	792960	788480	1232	1137.797740228013	685.9684191775244	792960	426	0.1389240696372693	1232	32.0	1.0
2676.785714285714	1329.0357142857142	3883.7078472441776	830080	827520	1292	1057.901400862069	669.0958782327587	830080	457	0.2008318105712533	1292	32.0	1.0
3234.782608695652	1386.1739130434783	3771.3465819440994	867584	865280	1352	1110.404223549488	690.7536262798635	867584	480	0.13240514248609542	1352	32.0	1.0
3284.4827586206898	1373.9137931034484	3583.784766344394	906112	901120	1408	1145.6473214285713	698.0524813122923	906112	510	0.2325360791624657	1408	32.0	1.0
2757.1428571428573	1328.7142857142858	3958.2926935017995	942848	940800	1469	1172.5718641114984	687.8018292682926	942848	539	0.1825496994691794	1469	32.0	1.0
2851.785714285714	1176.5892857142858	3708.8184640803906	980352	977920	1528	1159.6123080204777	674.2569059300341	980352	568	0.17067721353496534	1528	32.0	1.0
3238.095238095238	1386.3333333333333	3580.914523818712	1018624	1013760	1584	1257.6896948160536	728.8766722408027	1018624	589	0.16852633412262158	1584	32.0	1.0
2604.5454545454545	1356.6818181818182	3891.0320392686544	1055360	1052800	1644	1358.5556402439024	746.2158373257839	1055360	611	0.19368800471226374	1644	32.0	1.0
3027.5862068965516	1334.9827586206898	3773.9218840638555	1092480	1090560	1704	1452.467672413793	749.1154903017241	1092480	642	0.15335646104067563	1704	32.0	1.0
2995.945945945946	1310.8243243243244	3575.428884314747	1130368	1126400	1760	1325.7126266891892	710.403346706081	1130368	681	0.16053761382188117	1760	32.0	1.0
2739.0243902439024	1233.121951219512	3899.904281528067	1168000	1165440	1820	1163.562925170068	644.5129145408164	1168000	723	0.18900813547273476	1820	32.0	1.0
2702.0833333333335	1226.6875	3771.646285377673	1205504	1203200	1880	1189.8570819112629	641.0741787542662	1205504	748	0.14891505098591248	1880	32.0	1.0
3580.0	1264.44	3582.2837202225237	1244032	1239040	1936	1267.65728820598	671.9238216362127	1244032	774	0.14174949171553766	1936	32.0	1.0
3016.0	1289.72	3880.8809159417383	1280640	1278080	1996	1366.7176573426573	699.9272563374126	1280640	801	0.16922718696296216	1996	32.0	1.0
2674.0	1219.22	3775.280192477721	1317632	1315840	2056	1342.92009083045	699.5057850346021	1317632	828	0.14218134929736456	2056	32.0	1.0
2136.3636363636365	1136.030303030303	3578.196643712873	1355136	1351680	2112	1327.186433447099	701.5173314846417	1355136	866	0.16719603458685534	2112	32.0	1.0
2355.3571428571427	1206.125	3626.4707523169714	1392768	1388160	2168	1362.6328656462586	691.5443771258504	1392768	895	0.20634044334292412	2168	32.0	1.0
2748.6486486486488	1243.6891891891892	3709.825036105208	1428992	1425280	2226	1339.5041961130742	658.1807365282685	1428992	934	0.19121023877684412	2226	32.0	1.0
4259.090909090909	1380.8939393939395	3902.1097444108264	1465344	1464320	2287	1211.0805457746478	628.7960497359155	1465344	970	0.18527912391258067	2287	32.0	1.0
2611.3636363636365	1132.5	3576.559351542071	1503360	1500160	2344	1102.5568181818182	613.5201494107744	1503360	993	0.22543032140585414	2344	32.0	1.0
3193.0555555555557	1261.361111111111	3578.205161004867	1541248	1536000	2400	1162.9302153716217	629.5740076013514	1541248	1031	0.18815142501677787	2400	32.0	1.0
3036.0	1137.7	3896.1469625422164	1577728	1575040	2460	1182.486293859649	624.4866502192982	1577728	1058	0.18701391965150832	2460	32.0	1.0
3019.6969696969695	1099.4242424242425	3769.14943388002	1614592	1612800	2520	1267.2743055555557	614.816162109375	1614592	1094	0.18037218501170477	2520	32.0	1.0
2693.939393939394	1123.2272727272727	3573.048811344034	1652736	1648640	2576	1314.5789639261745	619.9677537751678	1652736	1128	0.20653612100120103	2576	32.0	1.0
3092.6470588235293	1156.5367647058824	3647.077949176477	1689728	1685120	2632	1319.7015570934257	599.4346615484429	1689728	1167	0.19098053220659494	2632	32.0	1.0
2675.0	1079.328947368421	3837.805728455208	1726208	1723520	2693	1215.389254385965	570.6392543859649	1726208	1209	0.18965008488444032	2693	32.0	1.0
2398.4848484848485	1018.969696969697	3770.29328276976	1762944	1761280	2752	1106.941419860627	544.4612913763066	1762944	1244	0.18293935805559158	2752	32.0	1.0
2412.162162162162	984.472972972973	3583.442188881607	1801088	1797120	2808	1132.8806627516778	541.0074979026846	1801088	1285	0.20783569331147841	2808	32.0	1.0
2589.0243902439024	999.9146341463414	3708.672428381508	1838336	1834240	2865	1192.896262886598	540.832393685567	1838336	1327	0.20126900678141074	2865	32.0	1.0
2771.7391304347825	976.1739130434783	3827.0355564576425	1874688	1872640	2925	1111.7517605633802	506.2323943661972	1874688	1375	0.2234553179393212	2925	32.0	1.0
2046.969696969697	897.6818181818181	3711.8707930717974	1912704	1909760	2984	1127.7593644781145	501.776936026936	1912704	1413	0.21319721980115114	2984	32.0	1.0
2938.6363636363635	1064.0454545454545	3581.021325302192	1950464	1945600	3040	1168.821504237288	491.3360963983051	1950464	1458	0.22326922330207058	3040	32.0	1.0
3254.8387096774195	961.2258064516129	3950.7697134242435	1987328	1985280	3101	1200.021701388889	483.00531684027777	1987328	1490	0.20616327665868353	3101	32.0	1.0
2947.1428571428573	937.3285714285714	3711.9002620793494	2024704	2022400	3160	1252.2527825342465	490.50280928938355	2024704	1529	0.2125764740473133	3160	32.0	1.0
3104.6511627906975	921.953488372093	3581.80069124693	2063360	2058240	3216	1259.1576986754967	485.10735720198676	2063360	1575	0.2153015032942806	3216	32.0	1.0
3140.277777777778	900.125	3833.400156685958	2099712	2096640	3275	1310.777948943662	499.6145741637324	2099712	1612	0.24107761062302832	3275	32.0	1.0
2660.5072463768115	920.2355072463769	3833.076379309348	2136576	2135040	3336	1263.5199652777778	469.77313910590277	2136576	1662	0.22927294659321426	3336	32.0	1.0
3175.8064516129034	930.5	3580.9754305933902	2175360	2170880	3392	1310.6951320132014	466.37221534653463	2175360	1695	0.21745869969683035	3392	32.0	1.0
3490.7894736842104	896.578947368421	3702.412470682187	2212096	2208000	3449	1339.3782665505225	490.7673399390244	2212096	1734	0.23091048459734834	3449	32.0	1.0
2815.8536585365855	889.6341463414634	3818.0813048603345	2248448	2246400	3509	1311.6774867957747	487.45210717429575	2248448	1776	0.2156942958633105	3509	32.0	1.0
2822.7272727272725	924.7121212121212	3706.4651834051083	2286208	2283520	3568	1478.675847457627	508.81541313559325	2286208	1812	0.22961361782025483	3568	32.0	1.0
3176.25	892.15	3643.1770923601794	2324736	2320000	3624	1542.3717815614618	518.2066029900333	2324736	1855	0.20445020656500543	3624	32.0	1.0
3050.0	893.2142857142857	3944.839619723394	2361216	2359680	3686	1522.9934210526317	512.9933936403509	2361216	1892	0.20322531161289062	3686	32.0	1.0
3159.0	905.3	3641.205139011611	2399360	2396160	3744	1405.1672609060402	503.1602348993289	2399360	1944	0.20778454159354343	3744	32.0	1.0
3434.782608695652	958.75	3703.708321300266	2437376	2433280	3801	1208.2833543771044	448.33096590909093	2437376	1993	0.24600794493106373	3801	32.0	1.0
2889.3939393939395	871.6212121212121	3772.9964842888376	2473600	2471040	3860	1200.2815812720848	441.8238736749117	2473600	2031	0.24411996845471656	3860	32.0	1.0
2651.785714285714	895.3511904761905	3774.5177497421264	2510848	2508800	3920	1335.9804553264605	463.73469716494844	2510848	2066	0.22052502272029717	3920	32.0	1.0
3187.1794871794873	872.1025641025641	3583.596127059636	2548480	2544640	3976	1437.0535714285713	489.0984268707483	2548480	2106	0.17719496028231724	3976	32.0	1.0
3073.2558139534885	865.9069767441861	3619.7598931542066	2585728	2581120	4032	1492.7298109965636	485.2193943298969	2585728	2152	0.19394901966942207	4032	32.0	1.0
3164.6341463414633	879.3048780487804	3895.855892071323	2622208	2620160	4093	1407.6014254385964	468.9039199561403	2622208	2195	0.20098372536604522	4093	32.0	1.0
3311.6279069767443	925.1976744186046	3701.956544896201	2660352	2657280	4152	1337.7202181208054	469.3840184563758	2660352	2242	0.21882265465239348	4152	32.0	1.0
3223.8636363636365	851.1022727272727	3632.281173804824	2698368	2693760	4208	1244.4733796296296	455.59298716329965	2698368	2289	0.220429560834808	4208	32.0	1.0
2898.611111111111	885.0972222222223	3884.506174987738	2734848	2732800	4269	1037.4780701754387	429.802110745614	2734848	2343	0.26578098303470454	4269	32.0	1.0
2723.529411764706	832.5147058823529	3707.183573854207	2772608	2769920	4328	1071.488347457627	421.8773834745763	2772608	2378	0.27360187205722775	4328	32.0	1.0
2669.512195121951	835.1585365853658	3580.773951385618	2810368	2805760	4384	1160.6408898305085	430.7948622881356	2810368	2421	0.22748389347855533	4384	32.0	1.0
2739.0243902439024	823.7926829268292	3770.875792582654	2847232	2843520	4442	1277.0806206597222	443.3747829861111	2847232	2465	0.21704774709611102	4442	32.0	1.0
3317.5675675675675	870.7432432432432	3888.321854027954	2883584	2882560	4503	1312.5385123239437	447.9022062059859	2883584	2506	0.21669780011059808	4503	32.0	1.0
2818.2926829268295	804.0487804878048	3579.4116190645545	2921088	2918400	4560	1286.2174701365188	446.58796395051195	2921088	2550	0.23401396917669395	4560	32.0	1.0
