local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3573.541120830303	36864	35840	55	25.196678321678323	73.0	36864	0	0.11701273175210437	55	32.0	1.0
		3581.4074675195498	75264	71680	112	141.21875	219.5	75264	0	0.1071131366974952	112	32.0	1.0
		3774.866722064871	113152	109440	170	255.12827280405406	368.5	113152	0	0.13265816931580676	170	32.0	1.0
		3894.55337484606	150656	148480	232	379.64217150170646	515.7508532423208	150656	0	0.12306534078332686	232	32.0	1.0
		3583.7249600733167	189184	184320	288	509.88631644518273	664.2491694352159	189184	0	0.14131444353344186	288	32.0	1.0
1425.0	826.5	4023.4194376778537	226176	224640	350	733.0882352941177	806.7338884083046	226176	4	0.138479579480425	350	32.0	1.0
2200.0	976.0769230769231	3645.674117238446	265088	261120	408	1077.9708059210527	928.1237664473684	265088	17	0.13762043365116777	408	32.0	1.0
1390.909090909091	1114.2272727272727	3964.8074931272176	302848	300800	469	1518.207097457627	1003.4240995762711	302848	39	0.13655286615134263	469	32.0	1.0
2520.2702702702704	1265.7027027027027	3702.9746314621034	341376	337920	528	1854.8068936877075	1017.562188538206	341376	77	0.1162431514743021	528	32.0	1.0
3306.5789473684213	1414.3947368421052	3711.1314776757986	379136	375040	585	1906.9041313559321	954.6966631355932	379136	118	0.12292671219952274	585	32.0	1.0
3462.5	1548.6944444444443	3902.879282997026	415744	414080	646	1666.8323863636363	852.5706676136364	415744	159	0.14105689690494147	646	32.0	1.0
3710.8695652173915	1690.7826086956522	3646.4747468719693	453632	450560	704	1422.0016891891892	795.9757706925676	453632	183	0.12543162231429897	704	32.0	1.0
4083.3333333333335	1765.625	3580.3756659025457	491520	486400	760	1220.874683277027	777.1154191300676	491520	207	0.12754416159753287	760	32.0	1.0
4042.1052631578946	1833.2631578947369	4030.3415683477374	528256	526720	822	1093.2736280487804	785.9567726480836	528256	226	0.14901431782111044	822	32.0	1.0
3530.0	1758.6666666666667	3646.9184375180175	566400	563200	880	998.3483640939597	797.5730390100671	566400	242	0.10407413850570547	880	32.0	1.0
2729.4117647058824	1514.1764705882354	3771.289017753692	604544	600960	938	1025.7602768456377	846.6133336828859	604544	259	0.11944957825772722	938	32.0	1.0
2687.5	1534.625	3900.7786962580135	642432	640000	1000	1056.471706081081	890.2535367398649	642432	280	0.12211953932719846	1000	32.0	1.0
2124.390243902439	1347.1951219512196	3578.258394998508	680960	675840	1056	1109.0194144518273	850.5512614202657	680960	324	0.12257978286860245	1056	32.0	1.0
2513.793103448276	1472.6206896551723	4030.2399486270187	717824	716160	1118	1188.0425347222222	794.7855360243055	717824	353	0.11492388377026204	1118	32.0	1.0
2412.5	1350.1666666666667	3645.316879684696	756096	752640	1176	1339.2845944816054	801.4088106187291	756096	378	0.10603339411318302	1176	32.0	1.0
2779.310344827586	1392.344827586207	3775.9676806355155	793984	790400	1234	1374.1606841216217	797.0883129222973	793984	409	0.10538115191819339	1234	32.0	1.0
3618.181818181818	1614.1818181818182	3901.5971661472618	830592	829440	1295	1217.616368006993	760.8967165646853	830592	431	0.11481383565019389	1295	32.0	1.0
3140.909090909091	1549.159090909091	3578.0472570039337	868352	865280	1352	1189.417372881356	799.6021980932203	868352	454	0.12317901287685361	1352	32.0	1.0
3430.769230769231	1542.1923076923076	3695.034817457868	906496	902400	1409	1147.2498951342282	804.1560402684564	906496	480	0.14347467845992037	1409	32.0	1.0
1972.4137931034484	1341.551724137931	3956.468588374747	944000	942080	1472	1095.7497866894198	790.7752239761093	944000	509	0.12303166121007904	1472	32.0	1.0
2681.25	1482.46875	3578.892640164621	982784	977920	1528	1188.5958127062706	775.1290480610561	982784	542	0.16357570600562862	1528	32.0	1.0
2457.1428571428573	1337.3392857142858	3965.711418988785	1019648	1017600	1589	1135.837131076389	735.9861382378472	1019648	571	0.1339147504358018	1589	32.0	1.0
2845.4545454545455	1396.090909090909	3703.5642735273495	1057920	1054720	1648	1149.0489130434783	748.6746185200669	1057920	593	0.132972347534309	1648	32.0	1.0
2565.277777777778	1357.9583333333333	3578.818256999747	1095808	1090560	1704	1142.335304054054	745.8568676097973	1095808	632	0.1354438991818045	1704	32.0	1.0
2830.769230769231	1422.576923076923	4079.5169891092687	1132544	1131520	1767	1098.1870644599303	707.968368902439	1132544	658	0.13192131819706115	1767	32.0	1.0
2940.0	1489.2	3582.302757253834	1171072	1167360	1824	1070.7459509966777	696.055102782392	1171072	688	0.11894215146700542	1824	32.0	1.0
2607.1428571428573	1240.9285714285713	3774.792495944069	1208832	1205120	1883	1107.4020127118645	675.4811705508474	1208832	716	0.12587047153610295	1883	32.0	1.0
2682.8125	1214.25	3900.4298867277776	1245952	1244160	1944	1122.610452586207	678.5096982758621	1245952	751	0.10137850949998761	1944	32.0	1.0
2831.818181818182	1365.8636363636363	3581.5882816829785	1284480	1280000	2000	1113.1774294019933	692.7205928156146	1284480	773	0.1228478904813528	2000	32.0	1.0
2462.5	1272.875	3963.647108242515	1321728	1319680	2061	1239.782001718213	729.0799237542956	1321728	789	0.12417505968545305	2061	32.0	1.0
3044.8275862068967	1358.7931034482758	3709.2693655443213	1360000	1356800	2120	1382.713210702341	761.4006845735786	1360000	818	0.12763287070191512	2120	32.0	1.0
3265.3846153846152	1386.1923076923076	3775.8962018890197	1398144	1394560	2178	1455.6575083892617	770.8516935822148	1398144	844	0.12846528764428763	2178	32.0	1.0
3180.9523809523807	1302.7380952380952	3896.882990102581	1436032	1433600	2240	1546.5398015202702	792.758815456081	1436032	866	0.12722706956969154	2240	32.0	1.0
3538.7096774193546	1427.0483870967741	3633.8290074049423	1474688	1470080	2296	1596.3653766556292	796.0343025662252	1474688	901	0.12679383850523404	2296	32.0	1.0
3559.259259259259	1466.2592592592594	4026.041909042926	1511552	1510400	2359	1533.761935763889	770.5006239149305	1511552	928	0.12293322685928572	2359	32.0	1.0
2753.030303030303	1283.3636363636363	3574.8592003664567	1550464	1546240	2416	1518.5495476973683	744.6528577302631	1550464	962	0.14475033981235405	2416	32.0	1.0
3621.4285714285716	1413.9642857142858	3895.0485382390516	1587840	1585280	2476	1374.109053938356	715.1962756849315	1587840	992	0.13035068120807408	2476	32.0	1.0
2795.6521739130435	1298.7391304347825	3767.6250525914834	1625856	1623040	2536	1359.6617213804714	726.6046927609427	1625856	1015	0.11681522869815429	2536	32.0	1.0
2667.1875	1211.0	3583.902334204483	1663872	1658880	2592	1488.3154461279462	762.5900673400673	1663872	1048	0.11276530760473438	2592	32.0	1.0
3177.777777777778	1325.5555555555557	4023.0337163970758	1700736	1699200	2654	1395.2256944444443	727.9097222222222	1700736	1077	0.1330908423349742	2654	32.0	1.0
3113.953488372093	1314.3372093023256	3643.3472077885153	1739520	1735680	2712	1376.5573432343235	690.0761396452145	1739520	1122	0.15224665101489115	2712	32.0	1.0
2730.8823529411766	1207.4411764705883	3774.9875594364144	1777152	1773440	2771	1248.8972151360545	637.1945950255102	1777152	1159	0.12536740132560165	2771	32.0	1.0
3682.1428571428573	1313.2142857142858	3897.753916407026	1814912	1812480	2832	1206.5625	624.0711334745763	1814912	1187	0.14365731704919066	2832	32.0	1.0
3350.0	1208.25	3574.9653858906354	1853312	1848320	2888	1098.1145833333333	620.3365364583333	1853312	1218	0.14084995271904127	2888	32.0	1.0
2329.6296296296296	1182.6296296296296	4084.5039383310336	1890304	1889280	2951	1051.6652249134947	642.8298010380623	1890304	1245	0.12707110228283064	2951	32.0	1.0
2159.4594594594596	1118.6756756756756	3574.590066599287	1928960	1925120	3008	1160.5779180463576	646.4034043874173	1928960	1282	0.12272531075174348	3008	32.0	1.0
2653.409090909091	1122.215909090909	3710.774666091791	1966336	1962240	3065	1022.3057577054794	612.8747859589041	1966336	1330	0.11723272888022557	3065	32.0	1.0
2662.0689655172414	1179.3275862068965	3967.030446312305	2003328	2001920	3128	908.7640570934255	585.8820826124568	2003328	1362	0.1200437904113815	3128	32.0	1.0
2593.548387096774	1163.9354838709678	3580.4171960321746	2041728	2037760	3184	917.2447916666666	575.31890625	2041728	1393	0.13178382448053785	3184	32.0	1.0
2531.6666666666665	1157.15	3839.484261171164	2079232	2076160	3243	944.931207337884	591.7897290955632	2079232	1424	0.13226649954409922	3243	32.0	1.0
1885.7142857142858	1096.4285714285713	3831.734413277861	2117632	2114560	3304	984.2239583333334	612.3554166666667	2117632	1452	0.1434806612182836	3304	32.0	1.0
1958.0645161290322	1110.516129032258	3577.0541610933283	2155648	2150400	3360	1123.0902777777778	618.2583385942761	2155648	1484	0.12746811285614967	3360	32.0	1.0
2400.0	1107.72	4084.61483964234	2192768	2191360	3424	1249.3561422413793	653.8726293103448	2192768	1509	0.13021630141884089	3424	32.0	1.0
2471.7948717948716	1071.871794871795	3577.95800567565	2231168	2227200	3480	1297.6354166666667	662.9711197916666	2231168	1549	0.14924115301775082	3480	32.0	1.0
3232.5581395348836	1203.4186046511627	3775.131620648479	2268672	2264960	3538	1215.3077005119453	606.5600735921502	2268672	1596	0.15634450123741708	3538	32.0	1.0
2728.5714285714284	1108.0	3899.0597826473895	2306304	2304000	3600	1160.3794642857142	559.1362670068028	2306304	1640	0.15381227181323112	3600	32.0	1.0
3093.103448275862	1171.551724137931	3577.2495183437495	2344448	2339840	3656	1234.382864932886	544.6366138842282	2344448	1669	0.14687377793182219	3656	32.0	1.0
3280.9523809523807	1131.3095238095239	3964.363144753365	2381568	2379520	3717	1322.9822198275863	578.5567618534483	2381568	1691	0.16534692598659484	3717	32.0	1.0
3293.939393939394	1111.1666666666667	3709.5965431675772	2419456	2416640	3776	1373.7964527027027	601.4844541807432	2419456	1726	0.1487256805017843	3776	32.0	1.0
3132.2580645161293	1064.6451612903227	3696.6268836483714	2457856	2453760	3833	1361.5026041666667	580.5118489583333	2457856	1761	0.1803405428664726	3833	32.0	1.0
2088.8888888888887	954.5185185185185	3966.4666755038115	2494976	2493440	3896	1588.3054956896551	622.4604525862069	2494976	1788	0.1531740026105018	3896	32.0	1.0
2870.9302325581393	1066.639534883721	3580.1779206573183	2533504	2529280	3952	1692.890884551495	621.9389794435216	2533504	1834	0.1836373025019254	3952	32.0	1.0
4012.5	1176.1477272727273	3903.3849403602876	2571008	2568320	4013	1559.6816339590443	559.4529383532423	2571008	1880	0.1905269819449206	4013	32.0	1.0
