local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3324.571516600155	36352	33280	51	0.24897495567375885	72.0	36352	0	0.04823373381377143	51	32.0	1.0
		3762.662891988401	72576	71040	110	2.2803390017667846	213.25088339222614	72576	0	0.21162271679584252	110	32.0	1.0
		3643.169198557211	109312	107520	168	5.075892857142857	355.74912891986065	109312	0	0.432217533411137	168	32.0	1.0
		3580.5511735103173	146432	143360	224	8.287338362068965	500.0	146432	0	0.2926647760240095	224	32.0	1.0
		3571.8127749003997	183296	179200	280	11.447319878472221	644.5	183296	0	0.3384761658630201	280	32.0	1.0
		3575.826580284156	220288	215040	336	15.430011894463668	788.7508650519031	220288	0	0.37257006179009167	336	32.0	1.0
22.333333333333332	981.3333333333334	3825.784691784956	256512	253440	395	19.136953401060072	930.1127981448764	256512	3	0.49065935706435626	395	32.0	1.0
18.8	1059.6	3764.477351764403	292736	291200	454	21.72965437279152	1049.7061892667843	292736	8	0.33299753170902446	454	32.0	1.0
24.25	1255.5	3642.303430015907	329344	327680	512	22.653518356643357	1170.7381719842658	329344	20	0.1272459605443773	512	32.0	1.0
22.75	1380.875	3577.905717366693	366464	363520	568	24.436557112068964	1238.7755387931034	366464	36	0.4469952146256609	568	32.0	1.0
27.4375	1506.8125	3581.051268395029	403200	399360	624	26.687227787456447	1278.022756968641	403200	53	0.5128547455450254	624	32.0	1.0
33.5	1638.388888888889	3580.867693547998	439296	435200	680	27.782829122340427	1280.568484042553	439296	93	0.23767858570707695	680	32.0	1.0
35.75	1761.9166666666667	3633.3018730019694	476288	471680	736	25.01630082179931	1199.1167549740485	476288	105	0.2931513538184975	736	32.0	1.0
39.10606060606061	1894.8636363636363	3647.5918715321277	512384	508160	793	24.53487921099291	1207.2216866134752	512384	131	0.33467912020390495	793	32.0	1.0
42.00735294117647	2066.235294117647	3646.9458186362945	548224	544640	850	18.979994419642857	881.4288783482143	548224	216	0.49407947344476716	850	32.0	1.0
39.375	1893.875	3898.6333076647607	584704	583680	911	14.49438048245614	684.3868421052632	584704	224	0.44769034995773777	911	32.0	1.0
42.4	2147.2	3573.400617023361	621440	619520	968	15.047664416376307	779.8840918989547	621440	234	0.31806813905897896	968	32.0	1.0
70.0	2521.0	3581.4430486657075	658304	655360	1024	19.77899848090278	862.0142686631945	658304	235	0.654660847703261	1024	32.0	1.0
		3577.762060124996	695424	691200	1080	26.77777478448276	1000.0859375	695424	235	0.6073280603491834	1080	32.0	1.0
		3573.8788338745762	732160	727040	1136	33.66942508710802	1144.3392584930314	732160	235	0.4836320962224688	1136	32.0	1.0
61.0	2012.0	3773.974132833463	768512	764800	1195	39.698806117957744	1284.8166813380283	768512	236	0.37606741045996295	1195	32.0	1.0
56.666666666666664	2420.0	3829.595103292917	804736	803200	1254	45.581962234982335	1409.5787323321554	804736	239	0.3934914635147079	1254	32.0	1.0
70.75	2078.5	3640.3630822275827	841472	839680	1312	51.23377613240418	1523.5911095383276	841472	243	0.5644214813565386	1312	32.0	1.0
66.83333333333333	2181.8333333333335	3574.6966611662806	878592	875520	1368	55.97750538793103	1599.9606950431034	878592	255	0.695298355604921	1368	32.0	1.0
72.125	2181.5833333333335	3582.707277966863	915456	911360	1424	57.794596354166664	1580.9559733072917	915456	280	0.49540164414793253	1424	32.0	1.0
71.1	2228.2	3630.206784701212	952448	947840	1480	59.12700043252595	1582.1101048875432	952448	290	0.4259033777884075	1480	32.0	1.0
79.93055555555556	2132.5138888888887	3706.379948179144	988544	984960	1538	56.82998116134752	1507.111452792553	988544	329	0.48836153482311756	1538	32.0	1.0
93.0	2119.0	3839.539911089107	1024896	1023360	1598	53.39205545774648	1467.686894806338	1024896	332	0.2369820978647719	1598	32.0	1.0
50.0	4102.333333333333	3635.972253744833	1060864	1059840	1655	53.23501445729537	1592.323231761566	1060864	335	0.028677303482892744	1655	32.0	1.0
79.33333333333333	2987.6666666666665	3578.321766809617	1097856	1095680	1712	53.51870674740484	1693.172848183391	1097856	338	0.02042554628528785	1712	32.0	1.0
81.95	2508.05	3578.793037292938	1134720	1131520	1768	50.26744249131944	1712.4005533854167	1134720	358	0.07680496432086718	1768	32.0	1.0
81.48571428571428	2357.942857142857	3579.518330916649	1170944	1167360	1824	43.14741607773852	1587.854074646643	1170944	393	0.09949044224673084	1824	32.0	1.0
83.0	2544.9895833333335	3573.2754980849995	1207424	1203200	1880	29.434375	1226.9819901315789	1207424	445	0.39359801329140154	1880	32.0	1.0
62.0	2435.5833333333335	3581.5245381269383	1244032	1239040	1936	27.787723994755243	1159.978256118881	1244032	452	0.3142206085030921	1936	32.0	1.0
51.22222222222222	1929.111111111111	3640.113398911969	1280128	1275520	1992	28.55856604609929	1249.0360704787233	1280128	461	0.40517114628372447	1992	32.0	1.0
59.5	2459.3333333333335	3774.693532323629	1316480	1313280	2051	29.808318661971832	1316.1259352992959	1316480	471	0.3984000653154769	2051	32.0	1.0
79.22222222222223	3076.777777777778	3759.6928642926728	1352576	1351040	2110	32.542331560283685	1345.3694315159576	1352576	480	0.5407051755967787	2110	32.0	1.0
60.23809523809524	3742.0	3644.444274220713	1389184	1387520	2168	35.44706075174825	1348.5923841783217	1389184	498	0.4333705846862546	2168	32.0	1.0
63.57142857142857	2078.6428571428573	3581.190753503519	1425792	1423360	2224	37.36401879370629	1239.6800152972028	1425792	513	0.46899199499083416	2224	32.0	1.0
62.0	2070.2	3573.9295600639307	1462784	1459200	2280	39.51576016435986	1252.3176362456747	1462784	523	0.40549277647265364	2280	32.0	1.0
59.27272727272727	2070.2727272727275	3579.118620358491	1499136	1495040	2336	43.93777508802817	1333.8250715228874	1499136	534	0.47950314610664335	2336	32.0	1.0
59.333333333333336	2259.4583333333335	3576.464643549559	1535488	1530880	2392	45.70859925176056	1300.0405204665492	1535488	558	0.5196593040600419	2392	32.0	1.0
40.25	2726.25	3646.868457171878	1571968	1567360	2448	49.6328399122807	1326.5216282894737	1571968	562	0.4387715943157673	2448	32.0	1.0
56.25	2103.5	3704.637808912128	1608064	1604480	2506	55.911264406028366	1436.444065824468	1608064	566	0.5034300636114746	2506	32.0	1.0
77.28571428571429	2445.285714285714	3821.6795909330813	1644416	1642880	2566	61.082443882042256	1521.8076859595071	1644416	573	0.4619021813074748	2566	32.0	1.0
85.8695652173913	2319.717391304348	3643.428931302476	1681024	1679360	2624	60.85243662587413	1517.4145268793707	1681024	597	0.3968388106802414	2624	32.0	1.0
80.77941176470588	2179.235294117647	3581.5620842574704	1717760	1715200	2680	56.773301393728225	1410.953288327526	1717760	635	0.43742331622966696	2680	32.0	1.0
