local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3322.157655933873	36352	33280	51	0.15541888297872342	72.0	36352	0	0.03471137486471265	51	32.0	1.0
		3703.3405151124084	72448	70400	109	1.6380208333333333	213.0	72448	0	0.07315297647989516	109	32.0	1.0
		3647.235736015228	108544	106880	166	4.418716755319149	354.0	108544	0	0.18575697388957468	166	32.0	1.0
1.0	475.0	3644.94321447446	144384	143360	223	7.517550223214286	493.32045200892856	144384	1	0.3296348062719692	223	32.0	1.0
4.5	654.5	3574.6508434242737	180992	179200	280	10.580665428321678	632.412177666084	180992	3	0.23062338722510295	280	32.0	1.0
24.75	812.5	3577.8062545741886	217216	215040	336	14.029676457597173	768.2981448763251	217216	7	0.4360164876894227	336	32.0	1.0
16.46875	900.8125	3574.75089592988	253440	250880	392	16.00151833038869	863.0395870141343	253440	25	0.30688122220869574	392	32.0	1.0
15.333333333333334	1052.6666666666667	3576.4679620736624	289408	286720	448	18.220696174377224	964.1615324733096	289408	31	0.34174015978351235	448	32.0	1.0
18.444444444444443	1169.111111111111	3579.6769614903837	325888	322560	504	21.076617324561404	1064.344846491228	325888	40	0.6560767798551491	504	32.0	1.0
29.0	1415.0	3577.866885344446	362240	358400	560	27.31142715669014	1195.4296875	362240	41	0.6939648709126881	560	32.0	1.0
39.714285714285715	1458.0	3583.8110817360466	398336	394240	616	31.770445478723403	1303.8102559840424	398336	48	0.7828909248512771	616	32.0	1.0
39.0	1607.0	3577.3677645356584	435200	430080	672	36.53447808159722	1426.031955295139	435200	50	0.49736901665372507	672	32.0	1.0
		3710.6369661393805	471424	467200	729	42.12811947879859	1564.3000496908128	471424	50	0.5514149579562639	729	32.0	1.0
45.666666666666664	1931.0	3645.7237173864623	507392	503680	786	47.386176601423486	1697.137399911032	507392	53	0.46966803753585146	786	32.0	1.0
60.50877192982457	2065.2736842105264	3440.438353485311	542848	538240	840	37.680815658844764	1411.6774311823106	542848	176	0.39123813062906265	840	32.0	1.0
61.44	2143.56	3570.5291672590874	578688	574080	896	15.850948660714286	764.9275669642857	578688	205	0.15076816005499236	896	32.0	1.0
36.0	2332.5	3579.3946582619405	614656	609920	952	16.348476423487543	850.3597364323844	614656	209	0.1555191974621266	952	32.0	1.0
19.75	2497.0	3646.50811769248	650624	646400	1010	22.575511565836297	962.424043594306	650624	212	0.7093501066596344	1010	32.0	1.0
38.75	1582.75	3694.9458103317706	686592	683520	1067	28.44592415480427	1069.649799822064	686592	216	0.5149492007075694	1067	32.0	1.0
66.0	2294.3333333333335	3709.6580611276486	722688	720640	1125	33.48099512411348	1190.489140070922	722688	219	0.37489637449897567	1125	32.0	1.0
65.88888888888889	2263.8888888888887	3632.268412226955	758656	757120	1182	37.453152802491104	1294.7840302491104	758656	228	0.35025817744041743	1182	32.0	1.0
71.46153846153847	2265.0	3644.4764793940567	795136	793600	1240	39.027467105263156	1316.239692982456	795136	241	0.4690446680219009	1240	32.0	1.0
68.4	2327.0	3578.8318894216923	831104	829440	1296	41.501251112099645	1350.5036421263346	831104	251	0.45984846260398626	1296	32.0	1.0
60.0	2677.5454545454545	3581.3405734657963	867328	865280	1352	45.25082818021201	1393.7924304328621	867328	262	0.3793796564319304	1352	32.0	1.0
69.14285714285714	2675.8571428571427	3578.969582705278	903296	901120	1408	51.76195507117438	1456.458546485765	903296	269	0.6313272711953947	1408	32.0	1.0
60.166666666666664	2684.6666666666665	3582.885149143184	939264	936960	1464	57.206294483985765	1512.8800878558718	939264	275	0.4115036068750279	1464	32.0	1.0
66.5	2587.75	3574.536771699678	975360	972800	1520	62.41353612588652	1609.964261968085	975360	279	0.3491907385843141	1520	32.0	1.0
32.0	3830.5	3576.962916564388	1012096	1008640	1576	67.42552264808363	1698.628293771777	1012096	281	0.42772423742072924	1576	32.0	1.0
35.5	3992.5	3577.6941952448447	1048064	1044480	1632	71.33554826512456	1814.440196841637	1048064	283	0.3106059559753963	1632	32.0	1.0
90.95024875621891	2134.894278606965	3580.8896157626755	1082624	1080320	1688	63.54719328703704	1712.218431712963	1082624	371	0.31797056339148966	1688	32.0	1.0
88.13120567375886	2193.751773049645	3583.7217135042933	1118592	1116160	1744	31.14098643238434	974.2901745996442	1118592	429	0.5412698114024741	1744	32.0	1.0
97.0	2208.25	3582.6673170213658	1155456	1152000	1800	32.08721245659722	979.73828125	1155456	433	0.34727085408355507	1800	32.0	1.0
85.14285714285714	2852.714285714286	3581.945867920849	1191552	1187840	1856	38.69896941489362	1065.4297429078015	1191552	440	0.5707311664841005	1856	32.0	1.0
102.25	2131.0	3583.4189540789916	1227776	1223680	1912	44.11536550353357	1149.7244368374559	1227776	444	0.4066536894866398	1912	32.0	1.0
103.0	2141.0	3576.7933775246656	1263744	1259520	1968	49.1067337633452	1267.6390958629893	1263744	446	0.41352521907538176	1968	32.0	1.0
102.14285714285714	2139.714285714286	3578.748136870369	1299968	1295360	2024	53.284590326855124	1383.990558745583	1299968	453	0.3578323437167065	2024	32.0	1.0
102.57142857142857	2143.75	3580.868205347615	1335936	1331200	2080	53.92179159252669	1420.199065836299	1335936	468	0.41498112997838427	2080	32.0	1.0
103.66666666666667	2148.3333333333335	3582.956883275469	1371648	1367040	2136	54.883848566308245	1458.5172771057348	1371648	477	0.35082784933703287	2136	32.0	1.0
67.77916666666667	3894.525	3582.8130763126524	1407360	1402880	2192	55.24627576164875	1230.07176859319	1407360	506	0.41041496741984573	2192	32.0	1.0
