local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3575.548711106261	36864	35840	55	0.4319820804195804	73.0	36864	0	0.0774198094975542	55	32.0	1.0
		3583.964624372614	74240	71680	112	3.8579569777397262	217.5	74240	0	0.14418513749382997	112	32.0	1.0
		3576.14813571058	111616	107520	168	6.953874143835616	363.5	111616	0	0.19538493787071534	168	32.0	1.0
		3632.3927552039186	148608	144000	224	10.172145328719724	508.75086505190313	148608	0	0.24531721909131324	224	32.0	1.0
12.4	668.6	3760.1934502604195	184832	181760	283	13.74469964664311	647.0776556978799	184832	5	0.2628136238051673	283	32.0	1.0
16.666666666666668	809.6666666666666	3769.294305741648	221056	219520	342	16.59085136925795	773.1974105565371	221056	11	0.23728153785153971	342	32.0	1.0
20.642857142857142	913.9285714285714	3645.40911374853	257920	256000	400	18.90090603298611	872.3079969618055	257920	25	0.25525149580990447	400	32.0	1.0
43.0	1037.0	3571.897051879975	295040	291840	456	21.927316810344827	995.2716864224138	295040	26	0.3183457512142403	456	32.0	1.0
35.0	1198.0	3571.331207837569	331904	327680	512	25.42917209201389	1132.559597439236	331904	28	0.34171358070203234	512	32.0	1.0
40.5	1346.75	3581.8433639451723	368512	363520	568	28.861560314685313	1259.4519777097903	368512	32	0.49628162623516153	568	32.0	1.0
29.875	1097.5	3644.5849915801505	404608	400000	624	31.52637411347518	1370.0588984929077	404608	40	0.3510997414455882	624	32.0	1.0
19.25	773.25	3766.8901571490665	440832	437760	683	34.2736859540636	1492.7616221289752	440832	48	0.41396106729062937	683	32.0	1.0
4.0	405.0	3761.14437715432	477056	475520	742	37.08734540636043	1618.3056261042402	477056	49	0.34963186047339845	742	32.0	1.0
32.25	1153.75	3635.5352823429744	513920	512000	800	39.31049262152778	1741.1089680989583	513920	57	0.22020655176762877	800	32.0	1.0
31.8	1551.8	3583.298770038975	551168	547840	856	39.73552942439863	1851.0566473367699	551168	62	0.19542983161019428	856	32.0	1.0
65.5	2196.3333333333335	3583.404005376303	587904	583680	912	39.82643728222997	1946.4837216898954	587904	68	0.22815664591533796	912	32.0	1.0
7.5	2397.25	3579.4439217412473	624640	619520	968	42.66477025261324	2063.563343858885	624640	72	0.21405892945559962	968	32.0	1.0
69.78571428571429	2544.3571428571427	3826.248398100774	660992	657920	1027	45.558043573943664	2142.4208846830984	660992	87	0.21966935997292147	1027	32.0	1.0
62.95238095238095	2628.4285714285716	3694.7035397496115	697088	695040	1085	37.787843528368796	1822.1082668439717	697088	156	0.22145950254695168	1085	32.0	1.0
56.61	2753.0	3581.3427918509865	733056	730880	1142	27.99938834519573	1309.4950511565837	733056	210	0.3090707921145255	1142	32.0	1.0
39.416666666666664	2852.3333333333335	3711.4872076900347	769152	768000	1200	27.09297429078014	968.1695478723404	769152	243	0.402436923749488	1200	32.0	1.0
61.375	2722.2916666666665	3577.766062274857	806272	803840	1256	32.85705818965517	849.0061153017241	806272	256	0.49796898543302504	1256	32.0	1.0
27.666666666666668	3048.3333333333335	3580.855154503077	843392	839680	1312	40.30786637931035	899.5796875	843392	265	0.5568422792213303	1312	32.0	1.0
36.42857142857143	2939.4285714285716	3576.190248441785	880384	875520	1368	47.92028006055364	947.4652086937716	880384	272	0.4154165396466851	1368	32.0	1.0
80.5	2049.1	3775.2163888482733	916992	913280	1427	56.64600633741259	1015.0790264423077	916992	282	0.41777929385839885	1427	32.0	1.0
53.5	2407.75	3772.8169950917168	953216	951040	1486	63.23812941696113	1084.1047371908128	953216	286	0.3496918285549697	1486	32.0	1.0
33.2	3767.2	3704.0130170515017	989696	988160	1544	69.33895285087719	1161.7848684210526	989696	291	0.5149640458925017	1544	32.0	1.0
95.33333333333333	1668.6666666666667	3577.285016919325	1027200	1024000	1600	76.90566339590444	1271.581218003413	1027200	294	0.5864770250128848	1600	32.0	1.0
80.66666666666667	3389.0	3580.29960089448	1063808	1059840	1656	84.61806162587412	1387.5413843968531	1063808	297	0.5399142929485866	1656	32.0	1.0
116.33333333333333	2275.0	3581.594169756443	1100800	1095680	1712	90.99191717128028	1496.393490484429	1100800	300	0.3206112916980471	1712	32.0	1.0
121.0	2330.6	3837.384838861608	1137152	1134080	1771	96.69203895246478	1615.3424845950703	1137152	305	0.48126465650433203	1771	32.0	1.0
115.66666666666667	2362.0	3760.63085797976	1173376	1171840	1830	100.22474050353357	1709.9985092756183	1173376	308	0.33260643204389995	1830	32.0	1.0
		3643.814521407786	1210368	1208320	1888	104.19779952422145	1840.9508542387543	1210368	308	0.22606435225441537	1888	32.0	1.0
		3579.599988531858	1247360	1244160	1944	107.26881487889273	1985.4085207612457	1247360	308	0.18295226053201727	1944	32.0	1.0
122.81818181818181	2368.5454545454545	3581.77619757745	1283456	1280000	2000	108.8416167996454	2108.754571143617	1283456	319	0.18984690002564872	2000	32.0	1.0
122.77777777777777	2318.75	3582.006468367789	1320064	1315840	2056	102.57334462412588	2090.932309877622	1320064	341	0.17645419455532516	2056	32.0	1.0
121.09803921568627	2620.544117647059	3575.7277433842705	1356928	1351680	2112	90.00387912326389	1908.4718424479167	1356928	381	0.19384063833526202	2112	32.0	1.0
106.13333333333334	2965.8333333333335	3765.811676839803	1393024	1389440	2170	76.34712987588652	1640.1787732712767	1393024	412	0.26892263872613165	2170	32.0	1.0
123.45652173913044	2677.413043478261	3767.092020968825	1429248	1427200	2229	70.82227252650176	1501.747515459364	1429248	436	0.3405227101707863	2229	32.0	1.0
119.4	3003.133333333333	3708.359899391702	1465728	1464320	2288	67.0718201754386	1429.6442708333334	1465728	451	0.40042040320271155	2288	32.0	1.0
121.33333333333333	2851.703703703704	3573.3842228007825	1502080	1500160	2344	62.68983824823944	1332.2718419894366	1502080	478	0.46014588366129566	2344	32.0	1.0
122.94117647058823	3174.8823529411766	3579.721373750952	1539072	1536000	2400	56.46018057958477	1177.4649653979238	1539072	496	0.3303425701867257	2400	32.0	1.0
122.07142857142857	3209.285714285714	3576.88537939675	1575936	1571840	2456	56.14678276909722	1148.1310221354167	1575936	510	0.37281287860657486	2456	32.0	1.0
124.04545454545455	3131.4545454545455	3633.739256909796	1612928	1608320	2512	56.77003135813149	1125.2391057525952	1612928	522	0.48084505195064203	2512	32.0	1.0
116.07142857142857	3178.785714285714	3830.564653253042	1649280	1646720	2572	58.13842429577465	1116.0814810739437	1649280	537	0.2587239345535636	2572	32.0	1.0
121.25	3100.0	3766.942211394596	1685504	1684480	2631	61.00833701413428	1134.4820284893992	1685504	541	0.39630256599541436	2631	32.0	1.0
100.0	2775.8	3582.7037770791726	1722368	1720320	2688	67.43221028645833	1236.8709852430557	1722368	546	0.5167981992688095	2688	32.0	1.0
123.5	3305.8333333333335	3582.238134611156	1759488	1756160	2744	72.89894935344827	1306.8322737068966	1759488	552	0.3660349177994898	2744	32.0	1.0
113.85714285714286	3838.0	3578.409673360659	1796736	1792000	2800	78.46783719931271	1354.554580111684	1796736	559	0.2881528552222465	2800	32.0	1.0
100.75	3419.0	3711.850616363515	1833216	1829120	2857	85.0327576754386	1430.9600328947367	1833216	563	0.3561487948162514	2857	32.0	1.0
122.38461538461539	2222.6153846153848	3763.7840230367647	1869440	1866880	2916	90.07188604240282	1507.4493429770318	1869440	576	0.45019354557586927	2916	32.0	1.0
122.8409090909091	2382.840909090909	3768.918828026681	1905792	1904640	2976	86.40600242077464	1446.4042693661972	1905792	599	0.27904300168156626	2976	32.0	1.0
123.17441860465117	2273.0	3573.789450525896	1941888	1940480	3032	77.35073138297872	1318.5120789007092	1941888	643	0.35069403185376097	3032	32.0	1.0
123.47979797979798	2269.691919191919	3583.896609427991	1978240	1976320	3088	63.04715008802817	1069.9467429577464	1978240	679	0.42596864846668075	3088	32.0	1.0
122.53846153846153	2220.0	3574.8726326142782	2014976	2012160	3144	59.94520361498258	1005.9315113240418	2014976	692	0.4324816780697022	3144	32.0	1.0
124.8	2240.8	3577.5255234263723	2051584	2048000	3200	60.88816652097902	1019.0331894667833	2051584	717	0.5295254839584231	3200	32.0	1.0
124.06	2253.02	3573.7893655628627	2088064	2083840	3256	55.53760964912281	930.7375274122807	2088064	743	0.3525366465161954	3256	32.0	1.0
124.6	2377.1	3631.8606063201237	2124928	2120320	3312	53.05796983506944	887.4306911892361	2124928	754	0.3108978018696819	3312	32.0	1.0
125.18181818181819	2241.2272727272725	3711.734427570888	2161024	2157440	3370	56.006150265957444	928.4317652925532	2161024	766	0.3460244270491189	3370	32.0	1.0
125.625	2288.5	3771.9304952914017	2197248	2195200	3429	59.671019213780916	985.4189211572439	2197248	774	0.4275997142796799	3429	32.0	1.0
124.66666666666667	2331.5	3711.6228471618983	2233984	2232320	3488	62.279153963414636	1025.3743466898954	2233984	784	0.34354471737297915	3488	32.0	1.0
125.0	2420.5	3581.6149915048427	2271104	2268160	3544	68.6915948275862	1113.4391702586206	2271104	792	0.43034518842718433	3544	32.0	1.0
125.25	2394.25	3583.6620802038383	2308096	2304000	3600	76.5814500432526	1183.2267517301038	2308096	800	0.4276297265397651	3600	32.0	1.0
124.9	2193.0	3645.2469690266166	2345216	2340480	3656	86.65290948275862	1242.4761853448276	2345216	811	0.3677007065021566	3656	32.0	1.0
118.16666666666667	2136.25	3821.094061253983	2381440	2378880	3716	88.0056316254417	1276.1658844964663	2381440	823	0.3385029086843133	3716	32.0	1.0
122.625	2121.375	3765.613262901031	2418432	2416640	3776	91.2318339100346	1348.7093425605535	2418432	831	0.34169574032227196	3776	32.0	1.0
123.5	2125.8333333333335	3580.190966565799	2455808	2452480	3832	94.85707405821918	1423.5092572773972	2455808	843	0.387330681750817	3832	32.0	1.0
121.8	2012.4	3578.4078845215117	2492160	2488320	3888	95.78793463908451	1477.6360035211267	2492160	848	0.23443138346608197	3888	32.0	1.0
126.2	2283.0	3575.0054302682897	2529024	2524160	3944	97.41246202256944	1555.781467013889	2529024	858	0.2669621511761631	3944	32.0	1.0
126.26086956521739	2359.782608695652	3702.301009830019	2565504	2561280	4002	93.94150219298245	1544.687308114035	2565504	881	0.28474887781615915	4002	32.0	1.0
125.73076923076923	2420.9615384615386	3710.315971251852	2601472	2598400	4059	87.28144461743773	1456.7721585854092	2601472	907	0.2752164051982394	4059	32.0	1.0
125.0	2435.48	3646.004231187252	2637440	2634880	4116	80.71166036476869	1366.9109764234875	2637440	932	0.3220223767454164	4116	32.0	1.0
124.67142857142858	2431.2571428571428	3768.866270703527	2673664	2672640	4175	70.74174580388693	1201.8653655035337	2673664	968	0.40863158389673393	4175	32.0	1.0
121.5909090909091	2559.5	3577.641574060993	2710272	2708480	4232	63.33591018356643	1056.1992460664335	2710272	990	0.5675881826563886	4232	32.0	1.0
124.52631578947368	2437.4736842105262	3581.071913212213	2746752	2744320	4288	61.625548245614034	1015.4149396929824	2746752	1010	0.4714682147439037	4288	32.0	1.0
116.53846153846153	2302.4615384615386	3577.1087227791136	2784000	2780160	4344	62.27966602233677	985.3267557989691	2784000	1023	0.32911990908905864	4344	32.0	1.0
125.81818181818181	2340.7272727272725	3582.1520885291216	2820608	2816000	4400	69.53796984265735	1046.34803868007	2820608	1034	0.3131863947824708	4400	32.0	1.0
124.9375	2799.59375	3707.4775411263313	2857344	2853120	4458	74.23647103658537	1050.6322408536585	2857344	1051	0.3273594930511096	4458	32.0	1.0
125.18181818181819	2363.2727272727275	3774.3167983123676	2893568	2890880	4517	74.8145152385159	1040.282105786219	2893568	1062	0.32214715218139905	4517	32.0	1.0
125.0	2183.5555555555557	3775.437325984842	2929664	2928640	4575	76.97742132092199	1077.2374501329787	2929664	1071	0.46570150181651115	4575	32.0	1.0
126.28571428571429	2422.285714285714	3579.13932811573	2966400	2964480	4632	81.36928353658537	1150.569468641115	2966400	1078	0.4118338896517168	4632	32.0	1.0
127.66666666666667	2201.8333333333335	3579.5974313475253	3003008	3000320	4688	86.43037041083916	1233.1043214597903	3003008	1084	0.4315100580986057	4688	32.0	1.0
125.0	2290.5	3581.194251434889	3039616	3036160	4744	92.78796984265735	1337.378086756993	3039616	1090	0.3884004796189921	4744	32.0	1.0
127.18181818181819	2246.4545454545455	3573.94706390732	3076864	3072000	4800	96.61052942439862	1407.2256765463917	3076864	1101	0.3401075896940061	4800	32.0	1.0
127.36363636363636	2234.818181818182	3696.345340706308	3113216	3109120	4857	98.68466659330986	1460.2149262764085	3113216	1112	0.2956859614504011	4857	32.0	1.0
126.61904761904762	2359.0	3708.4506139410482	3149312	3146240	4915	97.17154255319149	1456.3807070035461	3149312	1133	0.37213666069096535	4915	32.0	1.0
125.85	2261.8	3695.7023760252205	3185408	3183360	4973	92.75939162234043	1400.7641289893618	3185408	1153	0.28421131765534136	4973	32.0	1.0
126.57142857142857	2283.0	3705.8504482020066	3222144	3220480	5032	90.48429333623693	1380.0805476916375	3222144	1168	0.4070156418671042	5032	32.0	1.0
127.53846153846153	2319.5384615384614	3569.803866251106	3259264	3256320	5088	91.75086206896552	1420.5658135775861	3259264	1181	0.3833208116037505	5088	32.0	1.0
127.9090909090909	2610.5454545454545	3579.3811920105177	3295744	3292160	5144	91.94610745614035	1426.348985745614	3295744	1192	0.3214495751474585	5144	32.0	1.0
127.55555555555556	2679.777777777778	3577.688149690327	3332608	3328000	5200	94.47531467013889	1484.2857259114583	3332608	1201	0.3203459368752582	5200	32.0	1.0
124.0	2487.5	3699.394393759819	3369344	3365120	5257	97.1877449912892	1556.467225609756	3369344	1204	0.3219478573454054	5257	32.0	1.0
134.88888888888889	2536.5	3823.0813112832584	3405568	3403520	5317	99.38300574204948	1640.3217480123674	3405568	1214	0.30488822037974994	5317	32.0	1.0
133.3	2526.9	3709.4778440199907	3442176	3440640	5376	99.68179086538461	1681.4143356643356	3442176	1224	0.335219779257047	5376	32.0	1.0
132.27272727272728	2902.181818181818	3572.095326399562	3478528	3476480	5432	100.79756272007042	1717.161806778169	3478528	1235	0.3301662674971989	5432	32.0	1.0
131.43103448275863	2873.0862068965516	3573.2972424988593	3515392	3512320	5488	97.10533311631944	1607.2443033854167	3515392	1265	0.47894636914134026	5488	32.0	1.0
130.4090909090909	2918.7727272727275	3580.948559702103	3552384	3548160	5544	95.01989619377163	1518.9378784602077	3552384	1277	0.654947384393641	5544	32.0	1.0
143.45454545454547	3187.090909090909	3642.186557210789	3589248	3584640	5600	97.91132269965277	1540.908718532986	3589248	1289	0.5737852788131151	5600	32.0	1.0
141.72727272727272	2883.7272727272725	3836.408544028252	3625600	3623040	5660	96.6067616637324	1513.4739216549297	3625600	1312	0.5015571189423402	5660	32.0	1.0
129.74358974358975	2775.1923076923076	3774.473851631884	3661952	3660800	5719	84.61641725352112	1251.2078014964789	3661952	1353	0.473998599006968	5719	32.0	1.0
126.08333333333334	2455.208333333333	3576.1257610669713	3698816	3696640	5776	72.72702365451389	1002.7866753472222	3698816	1390	0.6817284395035944	5776	32.0	1.0
128.09677419354838	2004.2903225806451	3583.137853927092	3735808	3732480	5832	67.69139273356402	864.6869593425605	3735808	1422	0.8697273372007268	5832	32.0	1.0
113.16	1666.08	3581.468135078592	3772032	3768320	5888	62.503699204947	785.2474602473499	3772032	1447	0.5226331162931663	5888	32.0	1.0
121.8125	1777.25	3582.9024846286175	3808768	3804160	5944	61.7149662456446	785.6471853222996	3808768	1463	0.5271556231060198	5944	32.0	1.0
79.5	1348.675	3761.1901988097707	3845504	3841920	6002	62.15276567944251	822.0729801829268	3845504	1485	0.6718836544595402	6002	32.0	1.0
80.59615384615384	1313.9807692307693	3822.18502428205	3881856	3880320	6062	58.588248239436616	835.8877365757043	3881856	1512	0.4408911282196641	6062	32.0	1.0
117.66666666666667	1831.4333333333334	3639.1698828185954	3918592	3916800	6120	61.582752613240416	846.6756859756098	3918592	1529	0.8502653652224047	6120	32.0	1.0
105.75	1587.53125	3574.61267703682	3955840	3952640	6176	66.71630691580756	897.085883805842	3955840	1546	1.0257867952542645	6176	32.0	1.0
118.0	1616.1818181818182	3576.504040784424	3992832	3988480	6232	73.92633542387543	953.5376027249135	3992832	1557	1.0125278775979365	6232	32.0	1.0
94.89393939393939	1390.1969696969697	3575.4083895500667	4029184	4024320	6288	68.98319212147888	949.0230523767606	4029184	1594	0.16034085203760437	6288	32.0	1.0
110.4	1790.8	3631.096798659841	4065408	4060800	6344	63.187334363957596	991.5739564929329	4065408	1599	0.09601260404035981	6344	32.0	1.0
