local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2302.809916788189	26112	23040	35	46.88428217821782	52.0	26112	0	0.3768083635584584	35	32.0	1.0
		2810.7747102622207	52608	51200	80	274.6852355072464	154.2512077294686	52608	0	0.5841780069801542	80	32.0	1.0
		2557.817596951911	79232	76800	120	543.0900691105769	258.0	79232	0	0.6781051782891154	120	32.0	1.0
565.4225352112676	369.67605633802816	2555.377076692525	104192	102400	160	729.5404647435897	314.41073717948717	104192	88	0.7860830996185542	160	32.0	1.0
1107.8606965174129	454.7910447761194	2431.5197024170275	128768	126720	197	696.9026692708334	254.99658203125	128768	171	0.7942684973413879	197	32.0	1.0
1653.888888888889	542.1296296296297	2420.2395500494104	154112	151040	235	634.6405460858585	202.25011837121212	154112	232	0.7800537967368176	235	32.0	1.0
1598.409090909091	574.9772727272727	2676.2655473830346	179968	177920	277	685.9730816831683	222.6255801361386	179968	257	0.9356107461665358	277	32.0	1.0
1075.9375	430.265625	2557.9284354902093	205696	203520	318	830.5631996268656	273.5201337064677	205696	290	0.8939869636442603	318	32.0	1.0
1311.4035087719299	456.12280701754383	2430.453696801683	230912	227840	355	872.3810279187817	279.21728267766497	230912	356	0.8885705471038818	355	32.0	1.0
1399.9180327868853	472.6803278688525	2302.806514548939	256128	250880	392	749.4499524111675	236.38257455583755	256128	437	0.5785281041989455	392	32.0	1.0
1834.4573643410854	515.3953488372093	2559.812757836794	281600	276480	432	676.6465138190955	210.57792870603015	281600	488	0.765563466027379	432	32.0	1.0
2155.294117647059	533.4705882352941	2618.4368804147834	307456	302720	472	840.5403001237623	249.90257580445544	307456	505	0.8963484443724156	472	32.0	1.0
1600.8503401360545	462.71768707482994	2483.2663965944967	332800	327680	512	995.1152146464647	283.20494002525254	332800	561	0.7966476239264011	512	32.0	1.0
1632.7322404371582	469.4890710382514	2549.4155258652668	357376	353280	552	933.6234537760416	269.5695393880208	357376	632	0.6959545100107789	552	32.0	1.0
1811.5277777777778	494.875	2548.021461397721	382336	378880	592	735.6258012820513	219.2669871794872	382336	703	0.6873264968395233	592	32.0	1.0
1842.3214285714287	503.82142857142856	2557.8737766927625	408320	404480	632	685.1928109605911	223.6822660098522	408320	735	0.8228384699672461	632	32.0	1.0
1724.5	524.9666666666667	2552.981453289606	433920	430080	672	832.351171875	270.2087890625	433920	766	1.0782645329833032	672	32.0	1.0
1169.0	486.18333333333334	2549.533930963675	459904	455680	712	880.8663023399015	304.7236761083744	459904	798	1.050289487093687	712	32.0	1.0
1590.2173913043478	562.0217391304348	2555.2685266767544	486272	481280	752	863.4576001213592	344.9661331917476	486272	822	0.8403893146663904	752	32.0	1.0
1348.1818181818182	608.3333333333334	2550.5541472931945	512000	506880	792	851.7879353233831	384.93376865671644	512000	859	1.2300809763371945	792	32.0	1.0
1731.5116279069769	654.0	2552.277880487689	537472	532480	832	763.9498272613065	369.57141174623115	537472	909	1.0353765349835158	832	32.0	1.0
1779.8484848484848	716.439393939394	2555.743356617374	563328	558080	872	682.1430228960396	359.43471534653463	563328	944	1.074723806232214	872	32.0	1.0
1607.8947368421052	778.0	2680.0747996015602	589056	584960	913	670.4858519900497	371.4530861318408	589056	965	1.1333879108836011	913	32.0	1.0
1525.1724137931035	764.1724137931035	2559.6611776624113	614656	610560	953	756.26328125	398.8203125	614656	996	1.0491555117070674	953	32.0	1.0
1361.6666666666667	755.6	2681.2607681108525	640512	637440	995	811.9063273514852	433.6508353960396	640512	1012	1.0276248625346593	995	32.0	1.0
1572.2916666666667	831.5625	2622.9304547413008	666240	663680	1036	838.2291666666666	470.8710743159204	666240	1037	1.0409725998959891	1036	32.0	1.0
1452.6	814.88	2678.5770606072033	692096	690560	1078	883.9097308168317	493.5259900990099	692096	1065	1.003628285158248	1078	32.0	1.0
1704.8275862068965	861.6206896551724	2617.57573399407	718208	716800	1120	946.0880055147059	484.8512178308824	718208	1096	1.265621086671239	1120	32.0	1.0
1782.6785714285713	837.5178571428571	2554.838248538508	743680	742400	1160	1001.1498900753769	485.76232726130655	743680	1126	1.2305249594151975	1160	32.0	1.0
2181.7241379310344	911.3103448275862	2552.3124007576725	769664	768000	1200	1022.7351447044335	489.7132850985222	769664	1155	1.1100408770143986	1200	32.0	1.0
2263.0263157894738	965.671052631579	2555.2491285136016	795264	793600	1240	988.03125	458.726796875	795264	1197	1.0956733219325543	1240	32.0	1.0
2171.6666666666665	951.6666666666666	2553.2134126725523	821248	819200	1280	920.7700892857143	443.5943272783251	821248	1215	1.1503363005816936	1280	32.0	1.0
1982.2727272727273	939.6590909090909	2558.10400535549	847104	844800	1320	982.34375	473.4075262995049	847104	1240	1.0483641363680363	1320	32.0	1.0
