local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2362.6509044198106	26240	23680	36	42.882927955665025	52.251231527093594	26240	0	0.8954489301605564	36	32.0	1.0
		2737.4905243286253	52736	51200	80	128.07593599033817	154.7487922705314	52736	0	0.6559929485348138	80	32.0	1.0
		2549.935052451881	79360	76800	120	273.26021634615387	258.5	79360	0	0.749770001322031	120	32.0	1.0
146.0	378.4	2557.7044528383576	105856	102400	160	466.6443991545894	359.7630208333333	105856	5	0.7563432645052671	160	32.0	1.0
420.0	467.90909090909093	2554.2755246325623	131840	128000	200	600.1235375615763	439.1240378694581	131840	29	1.0853334840387105	200	32.0	1.0
657.2448979591836	559.8775510204082	2558.5150220466444	157056	153600	240	637.5103109137056	447.58942734771574	157056	85	1.103388922661543	240	32.0	1.0
892.2404371584701	660.1475409836065	2552.2075688012064	182144	179200	280	611.535794005102	396.2881855867347	182144	154	1.192726082354784	280	32.0	1.0
1276.031746031746	759.4047619047619	2558.3498192784605	207360	204800	320	508.7440513959391	329.4792592005076	207360	204	1.1128685615956784	320	32.0	1.0
1322.6923076923076	854.3461538461538	2554.8812880687647	233088	230400	360	467.5283737562189	310.54240516169153	233088	232	0.9115328593179584	360	32.0	1.0
1930.7142857142858	964.9285714285714	2555.573767272865	259584	256000	400	523.2959692028985	345.9417270531401	259584	246	0.793627904728055	400	32.0	1.0
1598.0	877.2	2550.6781114020205	285824	281600	440	692.4919969512196	402.65697408536585	285824	256	1.0645951427519322	440	32.0	1.0
1484.047619047619	775.8095238095239	2558.050862609907	311424	307200	480	877.608984375	461.0711328125	311424	278	1.234254263713956	480	32.0	1.0
1397.3584905660377	682.9622641509434	2554.914176596822	336512	332800	520	894.5623405612245	425.69698660714283	336512	341	0.6033473279327154	520	32.0	1.0
1251.7142857142858	689.8571428571429	2553.6416860618074	361728	358400	560	731.5835184010152	382.0737230329949	361728	380	0.6786152191460133	560	32.0	1.0
1345.8536585365853	758.560975609756	2548.324307667523	387072	384000	600	621.0538983585859	382.4380523989899	387072	425	1.0940631426870824	600	32.0	1.0
1233.0	777.05	2548.082532825901	412800	409600	640	476.6250777363184	360.06009017412936	412800	456	0.9139438197016716	640	32.0	1.0
1649.5833333333333	874.2916666666666	2558.053605014076	438400	435200	680	377.941796875	366.8430078125	438400	482	1.0622049227356911	680	32.0	1.0
1208.75	807.8125	2559.775105207856	464512	460800	720	346.11251531862746	404.4115732230392	464512	498	0.8704210355877876	720	32.0	1.0
982.6315789473684	819.0	2550.232357328525	490368	486400	760	358.81033415841586	445.38737623762376	490368	517	1.2227197509258985	760	32.0	1.0
939.1176470588235	783.1176470588235	2559.0196016793398	516608	512000	800	379.9923780487805	489.7717225609756	516608	535	0.8213044740259647	800	32.0	1.0
755.483870967742	833.758064516129	2551.8465468577374	542208	537600	840	396.092578125	520.570703125	542208	567	0.9991593662649393	840	32.0	1.0
775.0	874.8076923076923	2544.479737907705	568064	563200	880	384.82634591584156	500.586208230198	568064	610	1.0367539685219527	880	32.0	1.0
731.5	869.9166666666666	2558.579219136407	593664	588800	920	372.355859375	462.8400390625	593664	642	0.8162973940372467	920	32.0	1.0
774.3589743589744	869.025641025641	2558.739207668188	619520	614400	960	328.880724009901	425.2056389232673	619520	685	0.9462825726717711	960	32.0	1.0
827.6785714285714	880.9285714285714	2556.3234639093066	644992	640000	1000	285.06595477386935	413.5380417713568	644992	715	0.8017778664827346	1000	32.0	1.0
886.5217391304348	939.6521739130435	2554.634985382856	670848	665600	1040	290.4060952970297	412.967202970297	670848	739	0.9568345136940479	1040	32.0	1.0
798.2352941176471	883.4117647058823	2801.7970408195965	696832	693760	1083	300.88669950738915	442.49153325123154	696832	756	0.9573977191087811	1083	32.0	1.0
879.25	970.5	2750.7221283752588	722944	721280	1126	301.9443167892157	471.66846660539215	722944	778	1.1209998033767523	1126	32.0	1.0
729.0	901.975	2614.9169084019923	748928	747520	1168	315.09120997536945	495.9913023399015	748928	800	0.9874321658696447	1168	32.0	1.0
527.5	851.1923076923077	2555.6185347267706	774784	773120	1208	344.4388149752475	519.5983524133663	774784	830	0.7266022834926844	1208	32.0	1.0
701.7857142857143	883.8214285714286	2557.784450843725	800384	798720	1248	355.7203125	513.0790625	800384	858	0.8498451184481383	1248	32.0	1.0
690.0	893.3125	2544.128433841329	826240	824320	1288	364.0872524752475	523.3566290222773	826240	883	0.9562950950115919	1288	32.0	1.0
796.9444444444445	962.5555555555555	2554.043189978208	852096	849920	1328	342.8739944306931	511.42918471534654	852096	922	0.949330835416913	1328	32.0	1.0
774.3939393939394	994.4848484848485	2552.5321632793384	878208	875520	1368	279.69860600490193	446.9606694240196	878208	958	1.059533204138279	1368	32.0	1.0
745.5263157894736	924.8157894736842	2554.487421037189	903936	901120	1408	280.4123911691542	458.4922263681592	903936	978	0.8242303524166346	1408	32.0	1.0
758.0952380952381	1005.0238095238095	2559.5366439405097	929408	926720	1448	286.9013033919598	487.74301193467335	929408	1001	0.8387504324316979	1448	32.0	1.0
655.925925925926	973.2962962962963	2549.1265207539886	955648	952320	1488	264.7675304878049	476.43784298780486	955648	1028	0.7406302660703659	1488	32.0	1.0
660.5	980.25	2543.591446285146	981888	977920	1528	269.484756097561	496.4218368902439	981888	1049	0.9817719366401434	1528	32.0	1.0
626.4583333333334	934.2708333333334	2551.532616023438	1007744	1003520	1568	289.41715655940595	517.9677831064356	1007744	1075	0.9559754468500614	1568	32.0	1.0
543.90625	900.5	2549.7199145481727	1033600	1029120	1608	290.2107827970297	506.40064201732673	1033600	1113	0.7051353834569454	1608	32.0	1.0
702.9629629629629	941.5925925925926	2552.925731038673	1059456	1054720	1648	282.16081373762376	484.7812886757426	1059456	1142	0.672518502548337	1648	32.0	1.0
550.5172413793103	903.3448275862069	2552.85617268799	1085568	1080320	1688	285.0991881127451	470.91015625	1085568	1172	0.9721968725323678	1688	32.0	1.0
642.3809523809524	961.9047619047619	2684.6166297186155	1111296	1107200	1729	314.8915578358209	487.01970615671644	1111296	1193	0.8340996790949892	1729	32.0	1.0
821.2121212121212	955.8636363636364	2686.4046705357146	1137280	1134080	1771	336.1356988916256	492.6706434729064	1137280	1227	0.7360923971448626	1771	32.0	1.0
788.75	956.2708333333334	2615.9263296294957	1162880	1160320	1812	330.924609375	466.2378515625	1162880	1252	0.8838009405426863	1812	32.0	1.0
894.2307692307693	1054.076923076923	2613.825949414362	1188608	1186560	1853	363.0993470149254	491.58030161691545	1188608	1266	0.7479227933941818	1853	32.0	1.0
852.6470588235294	1016.6862745098038	2686.8152989831115	1214720	1213440	1896	393.7909773284314	537.3257506127451	1214720	1286	0.8668648351070493	1896	32.0	1.0
927.7586206896551	1020.551724137931	2554.7368560553814	1240576	1239040	1936	390.01740408415844	531.8804532797029	1240576	1317	1.1290760308504104	1936	32.0	1.0
763.0357142857143	926.7857142857143	2554.220778795993	1266304	1264640	1976	388.3931902985075	528.3295242537314	1266304	1347	0.9372383076697588	1976	32.0	1.0
711.6666666666666	918.3333333333334	2550.885714650893	1292032	1290240	2016	370.55775808457713	504.33574315920396	1292032	1380	0.7687893740832805	2016	32.0	1.0
878.7777777777777	999.2388888888889	2558.634944578294	1317632	1315840	2056	379.189453125	492.25640625	1317632	1413	0.7199240323156119	2056	32.0	1.0
742.9545454545455	950.4318181818181	2555.4570508113693	1343360	1341440	2096	373.12189054726366	469.85140702736317	1343360	1439	0.8648226350545883	2096	32.0	1.0
1028.888888888889	1030.3333333333333	2552.6267662528735	1368832	1367040	2136	352.1360709798995	462.2338646356784	1368832	1466	0.8178474891930818	2136	32.0	1.0
836.0526315789474	964.5263157894736	2554.1636657740723	1394816	1392640	2176	382.3479833743842	482.767164408867	1394816	1487	0.8134039312601089	2176	32.0	1.0
1030.25	1023.4	2552.3078505807825	1420928	1418240	2216	380.21407781862746	497.6786534926471	1420928	1508	0.6748247541487217	2216	32.0	1.0
856.4814814814815	946.1666666666666	2546.105306579141	1446912	1443840	2256	371.46898091133005	489.77978756157637	1446912	1537	0.7177222207188606	2256	32.0	1.0
775.0	933.5	2553.3987797906916	1473280	1469440	2296	393.97565230582524	506.5544599514563	1473280	1556	0.9365229435265064	2296	32.0	1.0
853.75	943.1041666666666	2559.7343415358373	1499008	1495040	2336	436.51391480099505	529.6665111940298	1499008	1583	0.8617239691317081	2336	32.0	1.0
965.3125	967.046875	2554.3385976620707	1524480	1520640	2376	423.50463253768845	533.7817211055276	1524480	1616	0.9393615383654833	2376	32.0	1.0
1059.642857142857	988.0178571428571	2556.7873619187394	1550080	1546240	2416	355.93828125	492.4444140625	1550080	1649	0.7996613457798958	2416	32.0	1.0
746.1538461538462	976.6153846153846	2555.0957778550096	1576192	1571840	2456	329.9938725490196	481.94734221813724	1576192	1675	0.9220965713262558	2456	32.0	1.0
