local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3198.517227912437	36224	32000	50	0.0	71.7508896797153	36224	0	0.005071027623489499	50	32.0	1.0
		3632.8660607086304	72064	68480	106	0.0	212.0	72064	0	0.002412506331373671	106	32.0	1.0
		3642.28626276895	108032	104960	163	0.0	352.2491103202847	108032	0	0.00042347747486864886	163	32.0	1.0
		3641.1502895047	144000	141440	220	0.0	492.7508896797153	144000	0	6.454661981255763e-05	220	32.0	1.0
		3583.061671509746	179968	177280	277	0.0	633.2491103202847	179968	0	3.000761804734091e-05	277	32.0	1.0
0.0	785.5	3631.9744896204334	215808	213760	333	0.0	771.0666294642857	215808	2	2.7310631480759184e-05	333	32.0	1.0
0.0	914.0	3698.5580298805025	251904	250880	391	0.0	902.571448359929	251904	5	3.2208289243938236e-05	391	32.0	1.0
0.0	1064.1818181818182	3580.1594177998427	287744	286720	447	0.0	1018.7127232142857	287744	16	2.4673836524665864e-05	447	32.0	1.0
0.0	1199.142857142857	3582.495529264153	324096	322560	504	0.0	1087.7036751760563	324096	37	2.0866047953747686e-05	504	32.0	1.0
0.0	1338.5652173913043	3583.6390988456365	359552	358400	560	0.0	1117.211868231047	359552	61	2.9126784649439026e-05	560	32.0	1.0
0.0	1486.0555555555557	3576.1368207417468	395904	394240	616	0.0	1145.567011443662	395904	79	2.3356136149946644e-05	616	32.0	1.0
0.0	1619.76	3581.501413515547	432128	430080	672	0.0	1148.9644710689047	432128	105	2.5673045310473492e-05	672	32.0	1.0
0.0	1736.7727272727273	3579.4631843008847	468096	465920	728	0.0	1106.3896797153025	468096	127	2.0318715590812125e-05	728	32.0	1.0
0.0	1782.0625	3573.1876737314547	504448	501760	784	0.0	1131.3595950704225	504448	144	2.1482446941588152e-05	784	32.0	1.0
0.0	1960.8461538461538	3577.3406072313305	540672	537600	840	0.0	1169.4098111749117	540672	158	2.2713997014177168e-05	840	32.0	1.0
0.0	2154.53125	3582.7426287771323	576640	573440	896	0.0	1192.1364268238435	576640	175	1.641045592545457e-05	896	32.0	1.0
0.0	2088.266666666667	3578.9143677893967	612480	609280	952	0.0	1167.9478515625	612480	190	2.6094777987444623e-05	952	32.0	1.0
0.0	2109.6	3574.452880077447	648448	645120	1008	0.0	1199.3513956850534	648448	205	1.832245860506581e-05	1008	32.0	1.0
0.0	1800.1333333333334	3581.9857274206415	684672	680960	1064	0.0	1218.694484319788	684672	220	2.1877769329746245e-05	1064	32.0	1.0
0.0	2239.8214285714284	3579.4521040421364	720640	716800	1120	0.0	1275.576762677936	720640	235	1.931828593017469e-05	1120	32.0	1.0
0.0	2326.5	3583.6208164886575	756480	752640	1176	0.0	1254.2279017857143	756480	255	2.169474605092806e-05	1176	32.0	1.0
0.0	1727.1538461538462	3575.988711850428	792192	788480	1232	0.0	1234.0189572132617	792192	268	1.8313626493896402e-05	1232	32.0	1.0
0.0	1781.7333333333333	3581.983081473466	828288	824320	1288	0.0	1283.9243129432625	828288	283	1.9452520673114903e-05	1288	32.0	1.0
0.0	1934.7045454545455	3582.262549232506	864640	860160	1344	0.0	1287.5930347711267	864640	307	1.2975792490773788e-05	1344	32.0	1.0
0.0	2068.5	3582.6009735740145	900352	896000	1400	0.0	1306.0287018369177	900352	313	1.765183467991197e-05	1400	32.0	1.0
0.0	2156.4333333333334	3579.7658723609966	936576	931840	1456	0.0	1356.2986969964663	936576	329	1.9026393926781437e-05	1456	32.0	1.0
0.0	1982.9565217391305	3578.5399226929508	972800	967680	1512	0.0	1345.1187334363958	972800	353	1.7480244561543907e-05	1512	32.0	1.0
0.0	2462.3125	3643.5657526530226	1008896	1004160	1568	0.0	1314.7581726507092	1008896	369	1.7164086459940465e-05	1568	32.0	1.0
0.0	2242.7894736842104	3519.4757250707094	1044608	1039360	1624	0.0	1256.9111783154121	1044608	389	1.3939701537830323e-05	1624	32.0	1.0
0.0	2266.3529411764707	3633.9020192509997	1080448	1075840	1680	0.0	1268.8996372767858	1080448	407	1.5734051138289423e-05	1680	32.0	1.0
0.0	1768.657894736842	3580.6234965197004	1116288	1111680	1736	0.0	1250.8136439732143	1116288	427	2.2120633218492003e-05	1736	32.0	1.0
0.0	2544.78125	3637.8152026268467	1152256	1148160	1793	0.0	1225.3225366992883	1152256	444	1.4186384201789143e-05	1793	32.0	1.0
0.0	2069.9411764705883	3577.3978168295066	1188096	1184000	1849	0.0	1205.9570591517856	1188096	461	1.5524874689682682e-05	1849	32.0	1.0
0.0	2326.0555555555557	3575.040119116749	1223936	1219840	1905	0.0	1209.7265625	1223936	479	1.1332914100746296e-05	1905	32.0	1.0
0.0	2150.0714285714284	3646.060877799962	1259904	1256320	1962	0.0	1205.0320840747331	1259904	493	1.0465262392787273e-05	1962	32.0	1.0
0.0	2183.5333333333333	3512.3195142458057	1295616	1291520	2017	0.0	1232.493671594982	1295616	508	1.1568355169153868e-05	2017	32.0	1.0
0.0	1906.111111111111	3705.6115081749886	1331712	1328640	2075	0.0	1249.3727836879432	1331712	526	2.0958381975137384e-05	2075	32.0	1.0
0.0	1876.0	3573.7849474906966	1367552	1364480	2131	0.0	1264.7374441964287	1367552	544	2.313096934715629e-05	2131	32.0	1.0
0.0	2525.25	3512.597532070702	1403264	1399680	2186	0.0	1218.380348342294	1403264	561	2.653716844013781e-05	2186	32.0	1.0
0.0	1854.0	3644.3694493038724	1439360	1436160	2244	0.0	1181.5515015514184	1439360	584	1.1531568161601547e-05	2244	32.0	1.0
0.0	2166.65	3513.893272675708	1474944	1471360	2298	0.0	1162.0748370053957	1474944	604	1.0692383259285836e-05	2298	32.0	1.0
