local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3197.253336138541	36224	32000	50	0.0	71.7508896797153	36224	0	0.007588216024450958	50	32.0	1.0
		3707.4642100697633	72192	69120	107	0.0	212.2491103202847	72192	0	0.1787558323336079	107	32.0	1.0
		3640.013639089175	108160	105600	164	0.0	352.7508896797153	108160	0	0.001985880466619212	164	32.0	1.0
		3646.531234296031	144256	142080	222	0.0	493.5	144256	0	0.0006694395342492498	222	32.0	1.0
		3577.3785764925756	179968	177920	277	0.0	633.7491039426524	179968	0	0.000379166081388989	277	32.0	1.0
		3707.0089811283756	216064	215040	335	0.0	774.0	216064	0	0.00021853390328409471	335	32.0	1.0
0.0	923.6666666666666	3573.6573378899307	252416	250880	392	0.0	910.9021511883802	252416	3	0.0001446556877150821	392	32.0	1.0
0.0	1069.5	3578.6418117099906	288384	286720	448	0.0	1035.3872330960853	288384	10	0.00010445933100657254	448	32.0	1.0
0.0	1196.4285714285713	3579.784456399191	324352	322560	504	0.0	1103.4554326067616	324352	33	9.787368513311126e-05	504	32.0	1.0
0.0	1335.0	3579.3349984243187	360192	358400	560	0.0	1129.3607142857143	360192	56	6.818101629895474e-05	560	32.0	1.0
0.0	1470.5	3582.2260127899253	395904	394240	616	0.0	1137.782482078853	395904	78	6.235587764941946e-05	616	32.0	1.0
0.0	1634.1333333333334	3580.0851524944505	431744	430080	672	0.0	1188.4495535714286	431744	93	5.994882378347809e-05	672	32.0	1.0
0.0	1747.5	3578.086433611442	467840	465920	728	0.0	1189.1955618351064	467840	114	7.928273365515841e-05	728	32.0	1.0
0.0	1889.4444444444443	3581.235032699968	503424	501760	784	0.0	1191.8128372302158	503424	132	5.2261562586863874e-05	784	32.0	1.0
0.0	1980.4705882352941	3576.7709948062725	539264	537600	840	0.0	1214.5735491071428	539264	149	3.939906105188129e-05	840	32.0	1.0
0.0	2087.4666666666667	3583.4133162679	575360	573440	896	0.0	1211.3025542996454	575360	164	4.547864809215493e-05	896	32.0	1.0
0.0	2148.0	3583.2367592523774	611200	609280	952	0.0	1249.3853794642857	611200	178	3.8318594744980927e-05	952	32.0	1.0
0.0	2286.0666666666666	3579.362867843797	647168	645120	1008	0.0	1222.8361599199288	647168	195	3.8767894953447725e-05	1008	32.0	1.0
0.0	1890.6818181818182	3574.0774984305563	683136	680960	1064	0.0	1249.1625055604982	683136	208	4.131806762026307e-05	1064	32.0	1.0
0.0	1950.235294117647	3580.0527529821	719360	716800	1120	0.0	1291.2135600706713	719360	225	4.620326114945783e-05	1120	32.0	1.0
