local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3130.5012707681344	36096	31360	48	0.0	71.5	36096	0	0.03297453086512784	48	32.0	1.0
		3646.4111354372203	72064	67840	105	0.0	211.7508896797153	72064	0	0.01677690421459837	105	32.0	1.0
		3630.349074923988	107904	104320	162	0.0	352.0	107904	0	0.00341801331970808	162	32.0	1.0
		3579.5081879030727	143744	140160	218	0.0	492.0	143744	0	0.0007550127402282669	218	32.0	1.0
		3581.612943453281	179584	176000	274	0.0	632.0	179584	0	0.0001047616768638753	274	32.0	1.0
0.0	839.0	3693.7619412132367	215680	213120	332	0.0	772.4070257092199	215680	1	3.745387180217598e-05	332	32.0	1.0
0.0	913.375	3647.623349744612	251648	249600	389	0.0	896.2932606761566	251648	9	3.8484053795017594e-05	389	32.0	1.0
0.0	1070.1	3631.113085043866	287616	286080	446	0.0	1006.273965747331	287616	19	2.6926137395907734e-05	446	32.0	1.0
0.0	1197.7222222222222	3642.6044033438934	323584	322560	503	0.0	1081.7964857651245	323584	37	2.9573511686689208e-05	503	32.0	1.0
0.0	1333.6785714285713	3569.3175861575005	359424	358400	559	0.0	1100.6356305803572	359424	67	3.2757261359555354e-05	559	32.0	1.0
0.0	1474.409090909091	3574.8474684857524	395264	394240	615	0.0	1091.1248046875	395264	91	2.713038337073418e-05	615	32.0	1.0
0.0	1623.2	3583.507367527934	431360	430080	672	0.0	1094.0830008865248	431360	116	2.543686788844194e-05	672	32.0	1.0
0.0	1768.0	3582.9792580806065	467456	465920	728	0.0	1116.9993905141844	467456	126	2.3258163334308586e-05	728	32.0	1.0
0.0	1895.909090909091	3576.5400351292305	502784	501760	783	0.0	1130.436084692029	502784	149	1.3548359063199976e-05	783	32.0	1.0
0.0	1960.9285714285713	3575.1296500643825	539520	537600	840	0.0	1128.8767966027874	539520	163	1.7305522122338164e-05	840	32.0	1.0
0.0	2120.95	3582.211586222279	575744	573440	896	0.0	1121.8719633392227	575744	183	1.832538849352464e-05	896	32.0	1.0
0.0	1865.35	3576.7892924448975	611456	609280	952	0.0	1124.4943156362008	611456	203	1.8870926242340958e-05	952	32.0	1.0
0.0	2058.9411764705883	3576.054725555901	647424	645120	1008	0.0	1128.8327680160141	647424	221	1.7680734320687668e-05	1008	32.0	1.0
0.0	1959.0666666666666	3576.9152533629326	683264	680960	1064	0.0	1121.3073939732142	683264	238	1.4073639834220688e-05	1064	32.0	1.0
0.0	2072.529411764706	3579.2833516566893	719488	716800	1120	0.0	1111.8072272526501	719488	255	1.5129189786681049e-05	1120	32.0	1.0
