local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2555.7706098018707	30080	25600	40	99.10914028969957	59.75107296137339	30080	0	0.4546741958358325	40	32.0	1.0
		3064.3637557090115	60288	56320	88	507.07262976694915	177.0	60288	0	0.8940860245687267	88	32.0	1.0
		3066.780489796064	90240	87040	136	895.719484508547	294.5	90240	0	0.7239093141009411	136	32.0	1.0
		3071.2403734294426	119552	117760	184	1450.7902906659388	410.2489082969432	119552	0	0.753922312365224	184	32.0	1.0
505.0	502.0	3067.2926978190917	149504	148480	231	1759.1928418803418	524.6256677350427	149504	1	0.8563931915671268	231	32.0	1.0
		2879.0034729857252	179968	177280	276	2223.8688944327732	642.0390625	179968	1	0.7565995501147376	276	32.0	1.0
3464.4	758.4	2931.9122259673313	210304	206720	322	2659.5495121308018	753.0608188291139	210304	6	0.8755297592800596	322	32.0	1.0
3661.5555555555557	893.1111111111111	2872.228084041069	240512	235520	368	3140.4066141419494	852.2667505296611	240512	15	0.9333746340935645	368	32.0	1.0
4827.2	971.0	3063.294272487628	270464	266240	416	3399.435062767094	936.5284455128206	270464	20	0.6681452047390243	416	32.0	1.0
3879.9285714285716	1114.9285714285713	3071.203331655302	299904	296960	464	3672.519429347826	1017.8000679347826	299904	34	0.7912098510811726	464	32.0	1.0
4267.0	1248.4	3069.800574849253	329856	327680	512	3991.6954794337607	1094.1351161858975	329856	39	0.8332424197190752	512	32.0	1.0
4252.555555555556	1356.0	3005.2504739359183	359424	357760	559	4324.959618506494	1174.7086038961038	359424	48	0.8669399867983575	559	32.0	1.0
4158.461538461538	1459.3076923076924	2805.404313114697	389504	385920	602	4617.008477393617	1219.272539893617	389504	62	0.7637349422587905	602	32.0	1.0
5343.833333333333	1585.0	2875.788721583643	419712	414720	648	4786.748146186441	1267.4705376059321	419712	74	0.7226305455779252	648	32.0	1.0
6778.6	1712.55	3062.809972337992	449280	445440	696	4991.871009199134	1289.7211174242425	449280	95	1.019359957582007	696	32.0	1.0
6048.315789473684	1784.7368421052631	3066.7781540054175	478848	476160	744	4882.858901515152	1251.266571969697	478848	114	1.0226290542632341	744	32.0	1.0
8517.85	1865.15	3064.1256800966125	507904	506880	791	4972.962176486784	1255.3941698788547	507904	125	0.7416361670227761	791	32.0	1.0
8831.736842105263	1990.6842105263158	2872.3190551389825	538240	535680	836	4890.950290084388	1263.214135021097	538240	144	0.870770101580355	836	32.0	1.0
8314.2	2080.9	2815.545007608853	568448	563840	880	4976.821305614407	1264.3195842161017	568448	154	0.7452811437912963	880	32.0	1.0
