local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2551.626659826473	30208	25600	40	90.1728766025641	60.0	30208	0	1.3111915578017943	40	32.0	1.0
		3067.8417446369085	59648	56320	88	496.10689538043476	176.0	59648	0	1.1122463506956894	88	32.0	1.0
		3070.2535812868514	89472	87040	136	951.4894380364807	291.7510729613734	89472	0	1.3299330087999504	136	32.0	1.0
		3066.179433044471	119552	117760	184	1544.0773271276596	408.74893617021274	119552	0	0.8702642042189837	184	32.0	1.0
		3000.5091430333778	149376	147840	230	1940.1943736587982	525.7510729613734	149376	0	1.0896895981353263	230	32.0	1.0
1756.0	668.0	2933.8835917839588	179840	177280	276	2712.2745207457983	642.0305278361344	179840	2	1.2014795451060585	276	32.0	1.0
1302.0	802.0	2930.141797103092	210304	206720	322	3230.85806197479	756.7810530462185	210304	3	1.1912447324265605	322	32.0	1.0
4158.0	874.5	2872.411193153008	240640	235520	368	3939.4816389767934	865.4663106540085	240640	7	1.2920410173094792	368	32.0	1.0
4329.05	994.6	3058.720325646878	270592	266240	416	4346.886485042735	954.118656517094	270592	18	1.1769976175079744	416	32.0	1.0
6008.333333333333	1142.6666666666667	3071.359410950494	300544	296960	464	4895.752437232906	1047.7359107905984	300544	21	1.5270080712313454	464	32.0	1.0
4911.0	1225.8	3062.532029492087	330624	327680	512	5451.288929521276	1142.033942819149	330624	26	1.415849502508839	512	32.0	1.0
5132.642857142857	1340.5714285714287	3069.290599716794	360704	358400	560	5884.588829787234	1226.4289561170212	360704	34	1.1978741502389312	560	32.0	1.0
7668.333333333333	1460.4444444444443	3067.2742244022056	390272	389120	608	6343.768364448052	1295.080357142857	390272	43	1.1617921693250537	608	32.0	1.0
6429.076923076923	1593.6923076923076	2874.921614113101	420480	417920	652	6544.871656514831	1355.6177502648304	420480	56	1.1066957817158916	652	32.0	1.0
10396.0	1698.6666666666667	2879.656168983119	450944	446720	697	6845.473772321428	1405.4840795693278	450944	62	1.4791360318660736	697	32.0	1.0
12714.666666666666	1820.0	2942.0499284253083	481152	476160	744	7170.625993114407	1494.207097457627	481152	65	1.0138868058615542	744	32.0	1.0
7129.571428571428	1959.4285714285713	3066.609329560554	510848	506880	792	7560.281452047414	1584.0627357219828	510848	72	1.10199050217246	792	32.0	1.0
9304.111111111111	2045.4444444444443	3070.1556245977167	540928	537600	840	7637.631748670213	1622.4988364361702	540928	81	0.7991841891780496	840	32.0	1.0
10531.857142857143	2168.285714285714	3061.206998564061	570624	568320	888	7971.913287984914	1677.6149649784484	570624	88	1.2695474311088522	888	32.0	1.0
9452.333333333334	2280.8888888888887	3069.160537112186	600192	599040	936	8295.961816829004	1720.9650974025974	600192	97	0.9912833456570903	936	32.0	1.0
15248.5	2407.375	2869.5779747574634	630400	627840	980	8434.468418961864	1766.7901218220338	630400	105	0.7928534377027642	980	32.0	1.0
14894.285714285714	2529.1428571428573	2804.0338472757876	660608	656000	1024	8413.426542637711	1784.5504502118645	660608	119	1.0258686146275564	1024	32.0	1.0
11920.0	2494.0	3000.6144734434984	690176	686080	1072	8223.580390963203	1776.3781452922078	690176	127	1.1290565623591344	1072	32.0	1.0
12977.25	2565.1666666666665	3068.4038484578455	719872	716800	1120	8305.526400862069	1798.3497440732758	719872	139	0.8988587432540953	1120	32.0	1.0
15958.90909090909	2749.909090909091	3060.9242565021323	750208	747520	1168	8065.705729166667	1791.7962816455697	750208	150	0.9889876035352548	1168	32.0	1.0
12999.75	2753.25	3064.4865609289855	780288	778240	1216	8066.976695478724	1838.156283244681	780288	154	0.9539078557863832	1216	32.0	1.0
13844.846153846154	2971.923076923077	3005.9182264175183	809984	808320	1263	7801.1678677262935	1847.4848464439656	809984	167	0.9794253936790406	1263	32.0	1.0
16723.4	2913.0	2931.347198497999	840320	837760	1308	7494.028052478903	1863.3430907172997	840320	172	0.7625752144389683	1308	32.0	1.0
14143.166666666666	3187.3333333333335	2867.1236923086853	870656	866560	1353	7455.576674578059	1927.1518987341772	870656	178	0.6946077234215207	1353	32.0	1.0
14366.666666666666	2996.0666666666666	2942.405505782582	900608	896000	1400	7295.875066773504	1910.7024572649573	900608	193	0.9371359901542359	1400	32.0	1.0
12239.125	2747.125	3068.648435953831	930432	926720	1448	7168.055928111588	1893.6638948497855	930432	201	1.0134273309571047	1448	32.0	1.0
16161.5	3185.9	3063.5734463266763	959744	957440	1496	7246.630526746725	1910.4123225982532	959744	211	1.1291503723089893	1496	32.0	1.0
18661.791666666668	3264.25	3066.1093883366216	989440	988160	1544	7071.451980064655	1885.231478987069	989440	224	0.9943751866618792	1544	32.0	1.0
14754.470588235294	3261.823529411765	2815.850020195362	1019520	1016320	1588	6409.371409574468	1790.438364361702	1019520	242	1.230354499749162	1588	32.0	1.0
10019.066666666668	2688.3333333333335	2805.086036791087	1049088	1044480	1632	6093.87371482684	1738.4751758658008	1049088	257	1.1210728389295666	1632	32.0	1.0
12385.772727272728	2900.818181818182	3056.2961919635236	1078784	1075200	1680	5592.449589170259	1632.293978987069	1078784	279	1.2056979307283957	1680	32.0	1.0
10826.25	2954.5	3069.224945602129	1108352	1105920	1728	5210.9214691558445	1551.9751082251082	1108352	291	1.0790723810593288	1728	32.0	1.0
11005.425	3039.8	3059.720206225525	1138048	1136640	1776	4915.844793911638	1458.4649784482758	1138048	313	1.2128628590144217	1776	32.0	1.0
5647.035714285715	2016.25	2814.5084320681567	1168000	1164800	1820	4763.70405982906	1397.1216613247864	1168000	329	1.4967129372737624	1820	32.0	1.0
8645.975	2448.375	2811.074608969375	1197824	1192960	1864	4735.577655579399	1353.5354747854078	1197824	350	1.5362156492403962	1864	32.0	1.0
7759.428571428572	2238.714285714286	3063.4858211952037	1227392	1223680	1912	4781.455086580087	1351.6610186688313	1227392	357	1.1251682365934055	1912	32.0	1.0
8663.923076923076	2476.0	3064.2938668065813	1257088	1254400	1960	4974.422346443966	1382.779330549569	1257088	370	1.188559386258324	1960	32.0	1.0
7548.2307692307695	2596.0	3064.6718441661133	1287168	1285120	2008	4968.765492021276	1354.355585106383	1287168	383	1.2486874231447775	2008	32.0	1.0
7076.1578947368425	2273.157894736842	3006.08897122553	1316864	1315200	2055	5013.055697737069	1321.8393386314656	1316864	402	1.2320899538537289	2055	32.0	1.0
8381.76923076923	2598.6923076923076	2748.185187387941	1346944	1342720	2097	4911.1724734042555	1272.5646276595744	1346944	416	1.3464906442733038	2097	32.0	1.0
11076.4	2772.2	2936.9107524818355	1376768	1372160	2144	5072.460300429185	1288.6958489806866	1376768	421	0.9531798397606992	2144	32.0	1.0
16981.535714285714	3517.1428571428573	3064.279729084693	1406336	1402880	2192	4467.82196969697	1196.6797213203463	1406336	439	1.1633814219385386	2192	32.0	1.0
4943.333333333333	1971.5	3067.3184733536195	1436416	1433600	2240	4570.995345744681	1210.4652260638297	1436416	445	1.2207183595746756	2240	32.0	1.0
4006.1363636363635	1541.2272727272727	3071.958838442154	1465856	1464320	2288	4891.630027173913	1262.430027173913	1465856	457	1.3030491778627038	2288	32.0	1.0
5152.0	1632.6	2870.642206740356	1495680	1493120	2332	5203.618931062232	1326.9308275214592	1495680	462	1.385001304474744	2332	32.0	1.0
7841.333333333333	1868.0666666666666	2749.167396111718	1525888	1520640	2376	5526.05366128178	1387.4230336334747	1525888	477	1.131487364796075	2376	32.0	1.0
7529.62	1956.28	3070.738262576646	1555328	1551360	2424	5353.233254076087	1346.452139945652	1555328	503	0.81072136759758	2424	32.0	1.0
7450.177777777778	2058.7722222222224	3060.446375381368	1584640	1582080	2472	4737.7133938318775	1192.185350709607	1584640	539	0.9233581991866231	2472	32.0	1.0
8704.421052631578	1935.3157894736842	3061.2781286322515	1614464	1612800	2520	4354.489303916309	1082.819910139485	1614464	558	1.1099526967542868	2520	32.0	1.0
6500.026315789473	1722.5526315789473	2940.0679266370603	1644288	1642240	2565	4329.9763277897	1077.094118830472	1644288	579	1.0309385372532738	2565	32.0	1.0
5212.0	1391.0	2741.0736853948865	1674368	1669760	2608	4579.185871010638	1095.1488364361703	1674368	587	1.231092116167379	2608	32.0	1.0
11596.29411764706	2079.0588235294117	3002.309768373321	1704320	1699840	2656	4865.082398504273	1129.561264690171	1704320	604	1.1073130313307047	2656	32.0	1.0
8410.0	1979.1875	3064.3636828304975	1733504	1730560	2704	4580.973787006579	1080.893434758772	1733504	623	1.0931850199898083	2704	32.0	1.0
8026.5	1964.8	3062.5519016773833	1762944	1761280	2752	4692.347724184782	1091.926222826087	1762944	633	1.1252393402780096	2752	32.0	1.0
13657.375	2359.875	2992.992450991798	1792896	1791360	2798	5003.924746260684	1136.312299679487	1792896	641	1.2128891808831173	2798	32.0	1.0
9108.0	2037.7857142857142	2809.7516697051906	1823104	1819520	2842	5209.064717955508	1154.0124139300847	1823104	655	1.4146929881112142	2842	32.0	1.0
10194.291666666666	2016.1458333333333	2871.7724957002206	1853056	1848320	2888	5368.146367521367	1149.3710269764956	1853056	673	1.2764038080754487	2888	32.0	1.0
7965.833333333333	1682.1666666666667	3071.344256214752	1882496	1879040	2936	5686.594327445652	1174.762703804348	1882496	679	1.184242564253509	2936	32.0	1.0
9670.846153846154	1828.8076923076924	3065.749802931579	1912448	1909760	2984	6160.472255608975	1231.4130275106838	1912448	694	1.0841447956239183	2984	32.0	1.0
10564.0	1999.3333333333333	3062.2050125861506	1942144	1940480	3032	6433.284987877155	1245.2177734375	1942144	706	1.1722461096942425	3032	32.0	1.0
12371.555555555555	2442.5555555555557	3001.4794472276703	1972096	1970560	3078	6705.682458600428	1252.5626001602564	1972096	715	1.1727961567432985	3078	32.0	1.0
12731.666666666666	2332.6666666666665	2873.3901744463137	2002432	1999360	3123	6999.214629483123	1274.0943103902953	2002432	731	1.4920669078826905	3123	32.0	1.0
10923.285714285714	1901.7857142857142	2813.122090916654	2032640	2027520	3168	7084.210341631356	1253.2054091631355	2032640	745	1.1178152448601193	3168	32.0	1.0
11926.916666666666	1885.5	3063.513790767334	2062464	2058240	3216	7260.368528701717	1274.4422277360516	2062464	757	1.3560227068761985	3216	32.0	1.0
10436.727272727272	1637.909090909091	3061.5573715627697	2092160	2088960	3264	7511.2930697737065	1305.9370622306035	2092160	768	1.4777877169350784	3264	32.0	1.0
11046.454545454546	1761.590909090909	3071.3094814202836	2121984	2119680	3312	7957.937801770387	1359.1163827789699	2121984	780	1.548532048240304	3312	32.0	1.0
10944.384615384615	1957.3846153846155	3060.6182296370484	2151808	2150400	3360	8214.107162017168	1390.3608167918455	2151808	793	1.3118536612018943	3360	32.0	1.0
10274.0	1783.7777777777778	2937.9852019947793	2182016	2179840	3406	8507.014896716102	1420.1672404661017	2182016	802	1.4158018723778103	3406	32.0	1.0
