local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3316.3460313260744	36352	33280	51	5.815048758865248	72.0	36352	0	0.06662279587494684	51	32.0	1.0
75.0	253.75	3697.4492029455328	72448	70400	109	98.15214982269504	211.9488585992908	72448	5	0.2846816577788057	109	32.0	1.0
135.71428571428572	401.7142857142857	3705.884055749441	109056	107520	168	178.7560096153846	348.1010981206294	109056	13	0.1238557525784156	168	32.0	1.0
250.0	476.325	3580.9414795026373	145408	143360	224	258.30215669014086	427.3968694982394	145408	58	0.11279633205517062	224	32.0	1.0
326.74418604651163	639.3953488372093	3576.4131646695223	182016	179200	280	286.70236013986016	489.91253277972027	182016	102	0.09597609281939055	280	32.0	1.0
434.375	773.34375	3571.067779845802	219008	215040	336	314.8167171280277	525.4919982698962	219008	134	0.07996766051344041	336	32.0	1.0
481.8181818181818	869.4545454545455	3577.4649042249484	255616	250880	392	327.8463723776224	554.7878332604895	255616	171	0.07489112854403045	392	32.0	1.0
450.61728395061726	920.6666666666666	3709.4146528590436	292224	288000	450	333.8669143356643	583.3671328671329	292224	201	0.05436195709325116	450	32.0	1.0
479.54545454545456	918.0227272727273	3831.168672753418	328448	326400	509	347.48509275618375	623.2932586130742	328448	224	0.05048241562573081	509	32.0	1.0
510.6060606060606	1008.5	3708.4045936393654	364544	363520	567	381.9730718085106	667.6054964539007	364544	260	0.07645320792778812	567	32.0	1.0
531.0344827586207	1061.8793103448277	3575.560702731887	401152	399360	624	383.2085882867133	654.2607899912588	401152	291	0.057445520208331574	624	32.0	1.0
580.0	1115.5	3582.020381154176	437504	435200	680	410.1617517605634	668.344795334507	437504	325	0.07206610201059707	680	32.0	1.0
653.8461538461538	1117.448717948718	3573.630491757409	473984	471040	736	418.51973684210526	662.1877467105263	473984	367	0.07785218831018678	736	32.0	1.0
669.4444444444445	1099.0555555555557	3572.3532180594552	510336	506880	792	401.32042253521126	620.5962257922536	510336	403	0.09492905201789524	792	32.0	1.0
563.0	943.25	3577.123789247706	546816	542720	848	397.17105263157896	588.0462445175439	546816	459	0.20864940353203565	848	32.0	1.0
608.5365853658536	994.9756097560976	3582.280817733284	583296	578560	904	397.42324561403507	551.3787006578947	583296	502	0.1391681380836027	904	32.0	1.0
605.0	904.1	3572.639930670888	619520	614400	960	378.1746908127208	493.1875	619520	559	0.1823496952586408	960	32.0	1.0
544.1520467836258	797.7982456140351	3707.33108133368	655616	651520	1017	355.9868129432624	449.6778036347518	655616	623	0.1597170318035703	1017	32.0	1.0
551.219512195122	807.2682926829268	3710.973849422798	691840	688640	1075	331.5536660777385	423.20856338339223	691840	668	0.22124101096314602	1075	32.0	1.0
485.5263157894737	727.8157894736842	3760.0344587105737	727936	726400	1134	303.7095523049645	418.2359264184397	727936	710	0.10899104086398068	1134	32.0	1.0
