local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3451.290818844736	36608	34560	53	6.05193661971831	72.5	36608	0	0.02324697104686836	53	32.0	1.0
0.0	187.0	3701.45470741254	73088	71680	112	80.7593201754386	214.2433936403509	73088	1	0.28300197136793603	112	32.0	1.0
88.88888888888889	348.1111111111111	3583.552045741658	110080	107520	168	141.1926903114187	350.7651113754325	110080	10	0.11006669100606814	168	32.0	1.0
211.53846153846155	532.8461538461538	3582.7390424312503	147712	143360	224	249.1921768707483	475.21460459183675	147712	36	0.20388906535559467	224	32.0	1.0
248.71794871794873	653.8461538461538	3583.4014427540797	184320	179200	280	310.4949737762238	552.6060697115385	184320	68	0.08611899221848164	280	32.0	1.0
364.2857142857143	757.5952380952381	3835.1185789000237	220800	217600	339	327.2752192982456	608.3527960526316	220800	91	0.0736572104427269	339	32.0	1.0
420.5882352941176	908.0882352941177	3839.770765638419	257152	256000	399	360.3130501760563	640.7130831866198	257152	127	0.11025211761395136	399	32.0	1.0
561.3636363636364	969.9545454545455	3581.783025047463	294400	291840	456	363.9443728522337	641.3028887457044	294400	172	0.11675877973698733	456	32.0	1.0
495.5882352941176	916.8676470588235	3582.1175176066617	331392	327680	512	387.46215397923874	648.0472534602076	331392	211	0.20277089133326495	512	32.0	1.0
592.8571428571429	1106.8	3577.620202468785	368384	363520	568	423.5050821799308	628.1741457612457	368384	249	0.150150909088552	568	32.0	1.0
630.5555555555555	979.9166666666666	3761.9044642475187	404864	401280	626	439.1639254385965	623.9680921052632	404864	287	0.11077970918267965	626	32.0	1.0
524.4444444444445	906.6	3772.3833075151015	441216	439040	686	426.75506161971833	606.9586542693662	441216	333	0.09422153271734715	686	32.0	1.0
578.4090909090909	900.75	3701.5699894991167	477568	476160	744	426.76056338028167	576.8048525528169	477568	384	0.16387609392404556	744	32.0	1.0
643.5897435897435	1005.2692307692307	3580.3772008799233	514688	512000	800	411.2311422413793	531.6469827586207	514688	428	0.12240949053583401	800	32.0	1.0
607.8231292517006	823.4217687074831	3583.948902095712	551680	547840	856	411.8647275086505	517.3061472750865	551680	484	0.19152296906603233	856	32.0	1.0
585.0	852.05	3577.0046229076715	588928	583680	912	396.9931271477663	473.9107603092784	588928	530	0.19547280023938843	912	32.0	1.0
