local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3578.4729653444065	36864	35840	55	876.0241477272727	73.0	36864	0	3.358611862090501	55	32.0	1.0
3616.5091880341884	269.88461538461536	3572.8525539251123	75264	71680	112	3057.7863541666666	200.94541666666666	75264	160	8.8012534345974	112	32.0	1.0
5274.5556500377925	330.5	3645.0085113528658	112768	108160	168	2605.6436113481227	97.61641424914676	112768	255	4.426405179713454	168	32.0	1.0
3768.056933333334	231.0732	3766.2302412341414	148992	145920	227	2557.3258613074204	123.67104681978799	148992	491	12.959001693685176	227	32.0	1.0
4740.348484848485	262.3636363636364	3833.2949618131297	186112	184320	288	3126.7058459051723	136.13362068965517	186112	526	5.055259677230334	288	32.0	1.0
4577.181358024692	260.1769135802469	3582.233524894824	222336	220160	344	2681.1318462897525	121.9705167844523	222336	748	4.488956481750522	344	32.0	1.0
4689.436403508772	252.83552631578948	3576.5314406690018	259712	256000	400	3318.2096800085615	148.99558540239727	259712	846	3.8779617058379308	400	32.0	1.0
4783.264393939395	274.9575757575758	3579.1801478121583	296832	291840	456	2889.0655441810345	125.03275862068965	296832	1001	5.7659091374703815	456	32.0	1.0
5046.258503401361	271.5374149659864	3890.261989234461	333440	330880	516	3543.135134396853	157.64679851398603	333440	1131	3.7037577480077744	516	32.0	1.0
5564.98184818482	292.773102310231	3770.3430974216285	370688	368640	576	3147.1937285223366	134.00743664089347	370688	1257	2.6483121901750564	576	32.0	1.0
4931.162878787878	262.06590909090914	3579.433182528099	408064	404480	632	3366.4519210188355	147.13920697773972	408064	1391	3.032413133553096	632	32.0	1.0
5768.911392405063	317.9198312236287	3645.980773749508	445568	440960	688	3562.6629159556314	162.94341936860067	445568	1487	4.30598050941314	688	32.0	1.0
5779.841991341992	333.7792207792208	3833.566765062197	481920	479360	748	4171.37021346831	192.7962422975352	481920	1580	6.53205348054568	748	32.0	1.0
7871.243421052632	378.32894736842104	3766.316401464131	518656	517120	808	4809.117731925087	201.75593423344947	518656	1675	6.643171209096908	808	32.0	1.0
7867.690476190477	366.18315018315025	3578.1450297907686	556160	552960	864	4752.898517491468	193.49250746587032	556160	1786	16.41447159222194	864	32.0	1.0
7289.135738831615	352.9140893470791	3579.7766988185017	593664	588800	920	4398.134279010239	172.31369987201364	593664	1910	8.641006347324167	920	32.0	1.0
7128.289682539682	334.6329365079365	3965.968179601591	630656	628480	981	4487.149059256056	177.89549091695503	630656	2011	5.145178430393094	981	32.0	1.0
7033.178082191781	356.9657534246575	3708.1484554419203	668544	665600	1040	4535.212389146959	202.94911317567568	668544	2093	4.571460773884239	1040	32.0	1.0
7272.494047619048	401.5059523809524	3642.0323278007404	706688	702080	1096	4680.361550964765	213.4554058305369	706688	2183	5.43820560084922	1096	32.0	1.0
8311.715384615385	425.8999999999999	3901.5593301366775	743168	741120	1157	5210.69298245614	224.70860745614036	743168	2263	8.92871344284933	1157	32.0	1.0
8156.357142857143	412.35064935064935	3705.866061081302	781056	778240	1216	5302.642868454392	230.2780563766892	781056	2355	5.980874921305705	1216	32.0	1.0
8983.067129629628	443.33564814814815	3578.4359950577336	818816	814080	1272	5621.502039194916	239.47658898305085	818816	2439	7.05404986015388	1272	32.0	1.0
8814.544270833334	424.4270833333333	4014.587295770142	855936	854400	1334	4672.145905172414	203.5743265086207	855936	2555	5.701005668409409	1334	32.0	1.0
6994.287356321839	365.20881226053643	3642.335337248229	893824	890880	1392	4034.614521748311	178.55558488175674	893824	2658	4.312327980995178	1392	32.0	1.0
7084.543378995434	359.46461187214607	3578.021792669095	931840	926720	1448	4610.022174873738	200.9977640993266	931840	2744	5.726973384618759	1448	32.0	1.0
8845.475	400.36875	3894.3658107458446	968320	965760	1508	5246.267653508772	216.73237390350877	968320	2833	6.198394884665807	1508	32.0	1.0
8812.685714285713	419.8642857142857	3774.383270029322	1004928	1003520	1568	5906.333752185315	227.07279829545453	1004928	2913	9.646945889790853	1568	32.0	1.0
9207.516064257026	418.355421686747	3580.317593558585	1042688	1039360	1624	6272.228204449152	227.60103283898306	1042688	3010	7.3378138201577325	1624	32.0	1.0
9725.645833333334	433.5182291666667	3579.4518483446673	1079808	1075200	1680	6385.771578663793	223.62389547413792	1079808	3083	6.422348929303033	1680	32.0	1.0
9666.550632911394	424.626582278481	3902.611946939839	1116800	1114240	1740	6567.125486591695	239.17395653114187	1116800	3180	8.15860555768013	1740	32.0	1.0
9934.941176470587	439.1875	3765.9336365763875	1154432	1152000	1800	6477.223161139455	230.24930909863946	1154432	3258	8.777842919031778	1800	32.0	1.0
10275.815040650406	428.48882113821134	3578.8293333346664	1192704	1187840	1856	6195.85506375418	224.37191680602007	1192704	3358	6.577713800328119	1856	32.0	1.0
9024.777056277055	396.9220779220779	3902.997242491601	1229568	1226880	1917	5642.929117838542	210.10337999131946	1229568	3451	7.254206903645249	1917	32.0	1.0
9938.354166666666	419.0138888888889	3765.9319351747763	1267456	1264640	1976	6384.769847972973	224.78927364864865	1267456	3533	11.791931023031978	1976	32.0	1.0
9182.977346278316	406.6699029126214	3576.9850463397092	1305088	1300480	2032	6000.90162627551	209.44347895408163	1305088	3654	8.640511706471443	2032	32.0	1.0
7868.9324324324325	366.35360360360363	3837.8273103360193	1342080	1338880	2091	5513.930849913495	192.27770869377161	1342080	3740	6.054844975471497	2091	32.0	1.0
10818.60502283105	400.6826484018265	3835.862982323923	1379072	1377280	2152	6294.060959126297	222.96820934256056	1379072	3825	5.430045127868652	2152	32.0	1.0
9472.14311594203	404.72644927536237	3573.024437225054	1416704	1413120	2208	5282.5616230867345	207.2130899234694	1416704	3938	7.305205799639225	2208	32.0	1.0
