local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3067.029198863974	34560	30720	48	0.0	68.5	34560	0	0.005236419558059424	48	32.0	1.0
		3576.5795191208504	69376	66560	104	0.0	203.5	69376	0	716720.2200045047	104	32.0	1.0
		3571.8594535014613	104320	102400	160	0.0	339.75091575091574	104320	0	0.07390422017696048	160	32.0	1.0
		3575.5867273876047	139264	138240	215	0.0	476.24908424908426	139264	0	0.02167319841682911	215	32.0	1.0
		3390.5467944211173	174720	172160	268	0.09589350180505415	613.7509025270758	174720	0	0.01274943915591136	268	32.0	1.0
		3391.946463857673	210304	206080	322	2.7371852517985613	752.5	210304	0	0.00237710157159233	322	32.0	1.0
1.1904761904761905	882.5	3450.515197307594	244352	240640	376	2.267387218045113	414.0846745770677	244352	255	0.24599631756858867	376	32.0	1.0
		3578.946320658033	279552	276480	432	3.090909090909091	144.4502840909091	279552	255	0.003887521003239921	432	32.0	1.0
800.0	1185.0	3577.8856199867864	314752	312320	488	2.8920454545454546	280.4644886363636	314752	256	0.002932427817930667	488	32.0	1.0
		3580.793825337635	350080	348160	544	0.78125	415.0859375	350080	256	0.002117338789373337	544	32.0	1.0
		3576.6565324319145	385024	384000	599	2.1749084249084247	552.3382268772893	385024	256	0.00250507199247791	599	32.0	1.0
		3375.765867844259	420480	417920	652	4.538018953068592	689.8336811823104	420480	256	0.001666538337166509	652	32.0	1.0
0.0	881.3496110211627	3259.0720403701707	454272	450560	704	4.6875	757.8933179450758	454272	508	0.0017942312434360457	704	32.0	1.0
100.0	930.5	3578.0582434007856	489088	486400	760	4.227941176470588	86.19232536764706	489088	510	0.0007799578054670876	760	32.0	1.0
1000.0	1157.0	3580.127954854582	524032	522240	816	3.7202380952380953	220.06759386446888	524032	511	0.001107400139777123	816	32.0	1.0
0.0	885.0	3453.4080732787415	558976	556800	870	0.0	349.38859317765565	558976	512	0.0008368541673041398	870	32.0	1.0
		3378.0597883100645	594304	590720	922	0.792572463768116	486.0625	594304	512	0.0009166587856620586	922	32.0	1.0
		3385.0712758516515	629888	624640	976	3.8163219424460433	624.5625	629888	512	0.0018083561560531423	976	32.0	1.0
		3573.129154871329	665088	660480	1032	7.448863636363637	762.8188636363636	665088	512	0.0009206253515523193	1032	32.0	1.0
0.0	884.9414503582072	3579.1758868399897	697856	696320	1088	7.421875	361.1300354003906	697856	763	0.0018200163472751488	1088	32.0	1.0
0.0	1002.5	3514.914888490829	733056	731520	1142	7.747159090909091	157.85747159090909	733056	765	0.0006783894962238803	1142	32.0	1.0
0.0	881.0	3386.254925239562	768512	765440	1195	9.74447202166065	290.2412849729242	768512	767	0.0015709103435994002	1195	32.0	1.0
		3455.8714647415877	804096	800000	1249	10.9375	425.37109375	804096	767	0.0005670000467001012	1249	32.0	1.0
		3451.7265554292126	839552	834560	1304	10.90365523465704	564.1038188176896	839552	767	0.000684439178968949	1304	32.0	1.0
2600.0	1614.0	3582.262805331696	874368	870400	1360	9.949448529411764	699.7022058823529	874368	768	0.0015456555599614927	1360	32.0	1.0
3.418803418803419	881.8935388685387	3440.60118543788	907008	904960	1413	2.9840686274509802	728.3567095588236	907008	1009	0.0026195764034780025	1413	32.0	1.0
25.0	909.375	3381.777355495725	942464	938880	1466	4.935694945848375	115.82964801444044	942464	1017	0.002703487340147818	1466	32.0	1.0
100.0	979.5	3384.273055912818	978048	972800	1520	9.158610611510792	236.5929350269784	978048	1019	0.003091081233664968	1520	32.0	1.0
450.0	1072.5	3576.258907081722	1012352	1008640	1576	15.441347947761194	363.9104186100746	1012352	1021	0.0030037751738356227	1576	32.0	1.0
1800.0	1381.5	3573.315674494409	1047168	1044480	1632	8.464499080882353	490.72144990808823	1047168	1023	0.00167617536083396	1632	32.0	1.0
		3573.4660255226695	1081856	1080320	1688	7.357011070110701	620.3022082564576	1081856	1023	0.001595401804609407	1688	32.0	1.0
0.0	884.0	3453.0994914011585	1116928	1114880	1741	7.421875	754.0380645529198	1116928	1024	0.0008171690657585508	1741	32.0	1.0
