local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3197.175727894444	36096	32000	49	0.0	71.5	36096	0	0.033880724562141966	49	32.0	1.0
		3769.5680228545275	72320	69760	108	0.0	212.25088339222614	72320	0	864.274109648215	108	32.0	1.0
		3503.218594152486	108032	104960	163	1.8845206093189963	352.7491039426523	108032	0	14103.806456080518	163	32.0	1.0
		3391.8400435541594	143488	138880	216	25.834837545126355	491.7509025270758	143488	0	0.008087481116164336	216	32.0	1.0
		3511.0464758869552	179328	174080	272	34.84654017857143	631.0	179328	0	0.002732510753308556	272	32.0	1.0
		3579.1789547389285	215040	209920	328	40.12096774193548	770.7491039426524	215040	0	0.004616491859321416	328	32.0	1.0
24.137931034482758	904.9310344827586	3574.4764237319932	249344	245760	384	50.201142723880594	370.19776119402985	249344	236	0.004411375133453735	384	32.0	1.0
342.85714285714283	1018.1428571428571	3581.3072980177335	284928	281600	440	50.0505845323741	208.71509667266187	284928	243	0.004953975603192313	440	32.0	1.0
1166.6666666666667	1209.0	3577.740857395316	320896	317440	496	51.5207962633452	335.1184108096085	320896	246	0.005202367374814847	496	32.0	1.0
1150.0	1318.5	3575.1251436512034	356864	353280	552	42.96875	460.28525355871886	356864	248	0.0026721081376308575	552	32.0	1.0
1085.7142857142858	1488.7142857142858	3576.085181153972	392704	389120	608	34.776785714285715	582.8018694196429	392704	255	0.004060040979571308	608	32.0	1.0
1500.0	1571.0	3578.865204089839	428416	424960	664	12.421594982078853	690.2727654569892	428416	256	0.0020415458639035933	664	32.0	1.0
0.49261083743842365	881.2805557116808	3578.8293333346664	462720	460800	720	19.382579291044777	585.4692164179105	462720	476	0.005455102389013129	720	32.0	1.0
35.294117647058826	899.4117647058823	3582.9228092044814	498176	496640	776	27.735785198555956	171.48003158844764	498176	493	0.0071472039178063695	776	32.0	1.0
1175.0	1047.5	3577.1162134369	534016	532480	832	29.048549107142858	273.84868861607146	534016	497	0.0053319861108320765	832	32.0	1.0
350.0	994.4	3582.0803012606684	569856	568320	888	21.484375	395.7099888392857	569856	503	0.0067449570758201715	888	32.0	1.0
900.0	1046.0	3583.506086142445	605568	604160	944	6.207997311827957	516.7100414426524	605568	506	0.005151296904971657	944	32.0	1.0
0.0	881.0	3583.3202095292277	641408	640000	1000	8.736049107142858	634.7916852678571	641408	512	0.0033912100791764844	1000	32.0	1.0
0.0	879.6583333333333	3454.0440031727944	676608	674560	1053	14.735795454545455	766.8500852272728	676608	550	0.003892790936900057	1053	32.0	1.0
0.0	885.4005214159059	3193.142473662909	711296	706560	1104	19.52260147601476	181.94741697416976	711296	737	0.0022090634407576025	1104	32.0	1.0
25.0	904.125	3582.6592053998193	747008	742400	1160	22.205421146953405	246.75361223118279	747008	745	0.0031998600076933925	1160	32.0	1.0
414.2857142857143	978.1428571428571	3581.0391546048513	782080	778240	1216	23.77680200729927	361.59580291970804	782080	752	0.0025199695852019693	1216	32.0	1.0
157.14285714285714	1010.1428571428571	3579.8488200411716	817408	814080	1272	15.633491847826088	471.26205842391306	817408	759	0.0013538370538818917	1272	32.0	1.0
400.0	1053.2857142857142	3578.6928435906366	852480	849920	1328	10.846259124087592	582.330491560219	852480	766	0.00203302443307101	1328	32.0	1.0
0.0	882.0	3582.573736756888	887936	885760	1384	11.058777075812275	703.32409183213	887936	767	0.0017576106464340618	1384	32.0	1.0
1.3768115942028987	883.1505168141036	3326.5500338621364	922240	919040	1436	15.167327425373134	450.9303579757463	922240	977	0.0027676093360731522	1436	32.0	1.0
94.44444444444444	929.1666666666666	3513.90849383862	957824	954240	1490	21.31013938848921	222.5655912769784	957824	995	0.003021770834392454	1490	32.0	1.0
133.33333333333334	923.6666666666666	3574.053025299329	993664	990080	1546	17.684151785714285	317.954296875	993664	1001	0.00179175491263907	1546	32.0	1.0
300.0	1006.0833333333334	3451.4924833234186	1029376	1024640	1600	13.068436379928315	418.07137656810033	1029376	1013	0.0026264369743229407	1600	32.0	1.0
114.28571428571429	957.4285714285714	3516.5949185031614	1064832	1059840	1656	8.805279783393502	526.5031306407942	1064832	1020	0.0018143261978756137	1656	32.0	1.0
0.0	880.6666666666666	3577.6049615291195	1099904	1095680	1712	10.444229014598541	639.6332972171533	1099904	1023	0.0027419872499844394	1712	32.0	1.0
0.0	881.8317099567099	3578.8980933476105	1133440	1131520	1768	13.761331106870228	687.1254174618321	1133440	1212	0.0013962979888414598	1768	32.0	1.0
0.0	892.9722222222222	3566.857449257878	1168384	1167360	1823	16.701007326007325	216.55643315018315	1168384	1233	0.001630540763620626	1823	32.0	1.0
50.0	934.6785714285714	3445.6178096675017	1203968	1201920	1877	19.736398381294965	278.5589871852518	1203968	1248	0.002745551065244298	1877	32.0	1.0
106.66666666666667	956.0	3450.8284108103103	1239680	1236480	1931	21.14695340501792	378.1758232526882	1239680	1263	0.00206829661948615	1931	32.0	1.0
0.0	880.5	3445.922188633235	1275136	1271040	1985	21.28553700361011	474.32256881768956	1275136	1269	0.0010778492419544986	1985	32.0	1.0
228.57142857142858	979.0	3453.164230614679	1310592	1305600	2040	23.846457581227437	589.7815884476535	1310592	1276	0.0023107734963890504	2040	32.0	1.0
1300.0	1630.0	3582.0628883735158	1345792	1341440	2096	18.09090909090909	710.7034090909091	1345792	1277	0.0006351930478558643	2096	32.0	1.0
3.888888888888889	882.690119047619	3576.055831476363	1379072	1377280	2152	18.473557692307693	379.2735576923077	1379072	1468	0.0010609909669645795	2152	32.0	1.0
7.6923076923076925	900.9807692307693	3578.055262588769	1414144	1413120	2207	18.41069799270073	257.1115989963504	1414144	1496	0.0018458588249896737	2207	32.0	1.0
0.0	883.2222222222222	3315.4780608392807	1449472	1446400	2259	23.338428442028984	349.2477355072464	1449472	1505	0.002171150428274324	2259	32.0	1.0
192.85714285714286	991.6428571428571	3443.6377930046865	1485056	1480960	2313	21.256744604316548	433.3963298111511	1485056	1519	0.0020293770826861467	2313	32.0	1.0
311.1111111111111	1079.888888888889	3518.906063648131	1520768	1516160	2368	15.400985663082437	527.1575940860215	1520768	1529	0.0016720548732502556	2368	32.0	1.0
350.0	1073.75	3511.644582881027	1556352	1551360	2424	16.462455035971225	640.7981396133093	1556352	1533	0.0027953464097143815	2424	32.0	1.0
0.0	882.3307951482481	3580.346075207013	1589376	1587200	2480	17.178415697674417	612.8587088178294	1589376	1702	0.00260424965173505	2480	32.0	1.0
77.41935483870968	896.7741935483871	3566.2276314630762	1624064	1623040	2535	19.782057195571955	254.60334986162363	1624064	1733	0.005544837639899924	2535	32.0	1.0
160.0	922.8666666666667	3390.4715691464085	1659648	1656960	2589	13.056429856115107	304.75651978417267	1659648	1748	0.005114835274138453	2589	32.0	1.0
42.857142857142854	927.1428571428571	3320.4126865219678	1694848	1690240	2640	12.5625	399.8941193181818	1694848	1763	0.005886189178472348	2640	32.0	1.0
138.46153846153845	990.0	3518.959574277863	1729792	1725440	2696	9.915865384615385	482.31553342490844	1729792	1776	0.0031602814794626155	2696	32.0	1.0
