local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3066.999339965291	35456	30720	48	0.0	70.25090909090909	35456	0	0.005736317267292179	48	32.0	1.0
		3582.60370581677	71424	66560	104	0.0	209.2491103202847	71424	0	0.4825092528855229	104	32.0	1.0
		3574.35879355074	107264	102400	160	1.2723214285714286	349.5	107264	0	0.1980365088758325	160	32.0	1.0
		3580.81156707774	142720	138240	216	1.5681407942238268	488.7509025270758	142720	0	0.004252766984531523	216	32.0	1.0
		3581.791644765529	178176	174080	272	2.487590252707581	627.2490974729242	178176	0	0.0034289669498061164	272	32.0	1.0
		3579.1618257038135	212992	209920	328	3.125	764.5	212992	0	0.00188443997311489	328	32.0	1.0
0.8403361344537815	882.7647058823529	3577.0262424969324	246912	245760	383	2.63561320754717	365.90598466981135	246912	250	0.002343140150796072	383	32.0	1.0
133.33333333333334	1023.0	3506.5291822638947	282496	280960	438	3.9343525179856114	165.8465040467626	282496	253	0.0022442263093332506	438	32.0	1.0
0.0	1226.0	3452.016066319793	318208	315520	493	3.564628136200717	299.28917450716847	318208	254	0.0007467335100624371	493	32.0	1.0
200.0	1380.0	3516.7578412960233	353920	350720	548	6.712029569892473	434.4702620967742	353920	255	0.0008888214605659331	548	32.0	1.0
		3573.853938633376	389632	386560	603	11.407930107526882	568.6909442204301	389632	255	0.002164258608668619	603	32.0	1.0
		3518.369621468476	425472	421760	658	12.979910714285714	708.43359375	425472	255	0.00140450961639131	658	32.0	1.0
17.857142857142858	882.5458006279434	3387.9364671741932	459264	455680	712	13.556463068181818	658.0950816761364	459264	496	0.0012030308485177724	712	32.0	1.0
125.0	946.25	3580.6561622329114	494208	491520	768	12.205242673992673	132.69994848901098	494208	504	0.0019492021644639732	768	32.0	1.0
0.0	881.0	3583.2423110948303	529920	527360	824	15.316980286738351	254.29816308243727	529920	505	0.0011866044292868797	824	32.0	1.0
0.0	883.0	3581.6056046210865	565376	563200	880	21.299638989169676	390.0503722924188	565376	506	0.0021886214713699053	880	32.0	1.0
1166.6666666666667	1506.6666666666667	3579.5017952769886	600576	599040	936	22.329545454545453	515.5525852272727	600576	509	0.002965461674258612	936	32.0	1.0
		3567.3034402617295	635904	634880	991	21.688179347826086	647.21875	635904	509	0.0012395475038581274	991	32.0	1.0
800.0	1666.5	3518.357631586341	671744	670080	1047	20.678013392857142	779.2718470982143	671744	511	0.0009332057345870583	1047	32.0	1.0
5.959595959595959	882.8756545072106	3134.542550830214	706304	701440	1096	21.87210648148148	232.49438657407407	706304	750	0.0033153765362673154	1096	32.0	1.0
66.66666666666667	920.6666666666666	3577.0751854459604	741632	737280	1152	27.264492753623188	205.92682857789856	741632	756	0.002819242850819137	1152	32.0	1.0
1000.0	1127.0	3577.9573243849245	777344	773120	1208	31.05118727598566	338.1818156362007	777344	759	0.0022217906441385693	1208	32.0	1.0
860.0	1147.6	3581.2882715650408	812416	808960	1264	17.934534671532848	454.29379562043795	812416	764	0.0008899775376838599	1264	32.0	1.0
0.0	885.0	3578.880285358386	847360	844800	1320	9.752747252747254	576.9398466117216	847360	765	0.0004995360344374993	1320	32.0	1.0
0.0	880.0	3576.3135295927	882944	880640	1376	12.002585431654676	713.2310026978417	882944	766	0.0015580646008207363	1376	32.0	1.0
6.423611111111112	882.4415954415954	3187.6004187127232	916736	912640	1425	11.629971590909092	532.5246508049242	916736	994	0.0013389631726289624	1425	32.0	1.0
50.0	924.7142857142857	3455.907964487163	951424	947200	1480	9.398062730627306	165.70355742619927	951424	1008	0.0020034964323382485	1480	32.0	1.0
100.0	980.0	3577.998798430662	986752	983040	1536	7.886096014492754	273.9997735507246	986752	1010	0.00013165843724241962	1536	32.0	1.0
0.0	879.5	3572.7329077742097	1022208	1018880	1592	9.296028880866427	401.26853000902526	1022208	1016	0.0005503565510999968	1592	32.0	1.0
200.0	999.0	3581.229913661744	1057792	1054720	1648	8.588129496402878	517.416142086331	1057792	1020	0.0017813459806867676	1648	32.0	1.0
		3581.6194289579275	1092992	1090560	1704	8.857954545454545	652.5547727272727	1092992	1020	0.0008977388715720735	1704	32.0	1.0
90.27777777777777	923.5953703703703	3561.146635169932	1127808	1126400	1760	8.806295955882353	776.3066119025735	1127808	1075	0.002612555660951849	1760	32.0	1.0
12.0	887.0756636141637	3134.8516093497833	1162496	1157760	1808	10.39264298892989	190.3116063191882	1162496	1250	0.0018884146214380355	1808	32.0	1.0
100.0	919.0	3514.4882506694607	1198080	1192960	1864	12.868142985611511	244.25992018884892	1198080	1258	0.002661656793601911	1864	32.0	1.0
187.5	1055.0	3575.3030280579646	1233024	1228800	1920	15.682234432234432	362.53894803113553	1233024	1266	0.0014774289567347815	1920	32.0	1.0
166.66666666666666	1043.3333333333333	3578.1234818447383	1268480	1264640	1976	10.243682310469314	462.6035931859206	1268480	1275	0.001985703766747195	1976	32.0	1.0
		3574.257063286243	1303168	1300480	2032	21.407979704797047	579.8707622232472	1303168	1275	0.0037066878009812043	2032	32.0	1.0
0.0	884.0	3575.2935041613214	1338496	1336320	2088	24.38292572463768	713.7905061141304	1338496	1277	0.0009123876843659673	2088	32.0	1.0
25.044091710758376	898.8767085537919	3263.29720488425	1372672	1368960	2138	24.43820224719101	479.9974543539326	1372672	1480	0.00126823401733418	2138	32.0	1.0
30.0	900.7	3446.075709081277	1408128	1403520	2192	20.74966155234657	231.52312725631768	1408128	1502	0.0037060576484051395	2192	32.0	1.0
400.0	1068.3333333333333	3512.6741681055814	1443456	1438720	2248	25.285892210144926	327.18563179347825	1443456	1511	0.005214615712507761	2248	32.0	1.0
230.76923076923077	1003.3076923076923	3576.7585695397947	1478912	1474560	2304	15.689869133574007	413.52981159747293	1478912	1524	0.003093692975068864	2304	32.0	1.0
40.0	976.4	3582.498602856612	1513984	1510400	2360	18.68727189781022	510.6629505018248	1513984	1529	0.0014172102814232598	2360	32.0	1.0
0.0	879.0	3580.685075724354	1549056	1546240	2416	24.318544708029197	644.6943715784671	1549056	1530	0.003891005864716135	2416	32.0	1.0
13.664596273291925	891.2454968944097	3254.727647273532	1582464	1578880	2466	31.073395593869733	724.8013050766283	1582464	1703	0.003360979015706107	2466	32.0	1.0
58.333333333333336	926.3055555555555	3387.270601726096	1617792	1612800	2520	30.140398550724637	239.85252490942028	1617792	1741	0.0008118170348838989	2520	32.0	1.0
225.0	921.5	3572.924481337308	1653248	1648640	2576	21.1360559566787	288.19542531588445	1653248	1750	0.0006815995737789697	2576	32.0	1.0
60.0	948.8333333333334	3582.3798464940037	1688576	1684480	2632	22.214673913043477	385.9853657155797	1688576	1766	0.0023688237493583336	2632	32.0	1.0
242.85714285714286	1016.6785714285714	3576.3892551482495	1723776	1720320	2688	23.582386363636363	468.2545170454545	1723776	1781	0.002544234772618178	2688	32.0	1.0
1100.0	1502.0	3573.9172395002824	1758976	1756160	2744	17.238636363636363	569.9292045454546	1758976	1783	0.003452758018413858	2744	32.0	1.0
100.0	1035.8	3579.212361090026	1794048	1792000	2800	17.62089416058394	693.7285869069343	1794048	1788	0.0019681389650421416	2800	32.0	1.0
20.256410256410255	888.0287362637363	3250.769073247143	1828224	1824640	2850	21.298572097378276	445.20482209737827	1828224	1965	0.005058602016069926	2850	32.0	1.0
34.48275862068966	909.2413793103449	3389.0899894980957	1863168	1858560	2904	24.316048534798536	277.01591117216117	1863168	1994	0.004865796828569189	2904	32.0	1.0
100.0	971.7692307692307	3581.0859040500845	1898112	1894400	2960	29.195283882783883	358.1420272435897	1898112	2007	0.003405008546126607	2960	32.0	1.0
190.9090909090909	981.6818181818181	3576.561564007961	1933056	1930240	3016	22.252747252747252	421.6288633241758	1933056	2029	0.0028667893290860646	3016	32.0	1.0
337.5	1020.5	3571.9321896806077	1968640	1966080	3072	10.518772482014388	491.6431261241007	1968640	2037	0.000980191285894502	3072	32.0	1.0
175.0	990.5	3582.09404390388	2003840	2001920	3128	5.3835227272727275	610.9951988636363	2003840	2041	0.000948505241467501	3128	32.0	1.0
0.0	881.7008771929824	3317.2770503708784	2038272	2035200	3179	7.028345724907063	630.930500697026	2038272	2198	0.0004389893569453966	3179	32.0	1.0
30.76923076923077	894.4102564102565	3322.2481905316436	2073344	2068480	3232	7.935104927007299	268.3946167883212	2073344	2239	0.002052701064352526	3232	32.0	1.0
50.0	917.75	3575.1878093218015	2108288	2104320	3288	8.356227106227106	304.85179143772893	2108288	2251	0.0017040368668728792	3288	32.0	1.0
17.391304347826086	888.0434782608696	3577.363593010698	2143744	2140160	3344	7.694043321299639	381.6457863267148	2143744	2274	0.0015435901106164757	3344	32.0	1.0
88.88888888888889	909.8888888888889	3576.1520491751116	2178688	2176000	3400	7.31456043956044	446.6998340201465	2178688	2292	0.0009283815774584322	3400	32.0	1.0
0.0	881.0	3573.7475642403997	2213888	2211840	3456	7.03125	547.8723011363636	2213888	2295	0.0011698717974338382	3456	32.0	1.0
50.0	881.75	3581.270269143474	2248704	2247680	3511	8.800551470588236	673.0224609375	2248704	2299	0.001088189440964594	3511	32.0	1.0
4.342105263157895	883.0898026315791	3132.9101914648977	2283776	2279040	3560	10.250342153284672	397.7352303832117	2283776	2472	0.0009610563110054129	3560	32.0	1.0
22.22222222222222	896.5185185185185	3511.115111717882	2318976	2314240	3616	9.971590909090908	277.7318181818182	2318976	2501	0.0017203714152336552	3616	32.0	1.0
0.0	882.2	3583.5905741207316	2353408	2350080	3672	11.733271375464684	359.81528810408923	2353408	2516	0.001393035275084133	3672	32.0	1.0
0.0	881.75	3582.5085066904107	2388224	2385920	3728	13.393267463235293	427.50514131433823	2388224	2536	0.000949693118984994	3728	32.0	1.0
0.0	890.2	3573.4498005936834	2423552	2421760	3784	16.284533514492754	509.4486243206522	2423552	2546	0.002864085718621417	3784	32.0	1.0
625.0	1248.5	3576.123549140225	2458624	2457600	3839	17.93738594890511	626.9055371806569	2458624	2550	0.002574534942290153	3839	32.0	1.0
24.193548387096776	900.2208525345621	3129.1782293573383	2493696	2488960	3888	17.067746350364963	595.7190351277372	2493696	2699	0.010568725712578364	3888	32.0	1.0
19.51219512195122	885.9146341463414	3514.972127252897	2528640	2524160	3944	28.654418498168496	296.84085966117215	2528640	2741	0.027761106738970347	3944	32.0	1.0
284.375	954.125	3578.0079960905696	2564480	2560000	4000	35.792410714285715	328.0912388392857	2564480	2759	0.019234485699728663	4000	32.0	1.0
218.1818181818182	967.0	3572.7467486152755	2599552	2595840	4056	22.98699817518248	389.3442347171533	2599552	2781	0.002773656960406307	4056	32.0	1.0
0.0	886.34375	3577.076291997682	2635008	2631680	4112	13.839688628158845	453.19305618231044	2635008	2798	0.0011937590505632606	4112	32.0	1.0
375.0	968.5	3580.9860937572544	2669696	2667520	4168	12.301083948339484	560.0223708487085	2669696	2802	0.000695766058665218	4168	32.0	1.0
0.0	881.1818181818181	3580.0265780148566	2705280	2703360	4224	10.57216726618705	676.9983981564748	2705280	2813	0.000820793855642218	4224	32.0	1.0
0.8333333333333334	881.8720833333333	3258.2507772023687	2739712	2736000	4274	11.007202602230484	342.0691217472119	2739712	2977	0.0005070680662174709	4274	32.0	1.0
0.0	888.9464285714286	3448.641950413168	2775168	2770560	4328	11.43388989169675	296.1448555956679	2775168	3006	0.0008745859501046922	4328	32.0	1.0
121.73913043478261	918.7826086956521	3514.770795650716	2810624	2805760	4384	7.0171480144404335	360.674244133574	2810624	3029	0.0030329553943114923	4384	32.0	1.0
33.333333333333336	890.7619047619048	3578.0350783637896	2846080	2841600	4440	6.1766696750902526	420.0885604693141	2846080	3050	0.00113756626108495	4440	32.0	1.0
0.0	882.1428571428571	3576.6073456472504	2881280	2877440	4496	6.7585227272727275	506.1749431818182	2881280	3057	0.0008252848261430959	4496	32.0	1.0
0.0	881.25	3581.535631219935	2916608	2913280	4552	10.314764492753623	627.4436424365942	2916608	3061	0.001747168600299379	4552	32.0	1.0
10.144927536231885	884.6207729468598	3582.3243555657423	2950144	2949120	4607	16.42115935114504	533.9092020515267	2950144	3204	0.00150115952657705	4607	32.0	1.0
18.181818181818183	896.3068181818181	3326.15235081621	2985600	2982400	4660	15.292193140794224	302.6296536552347	2985600	3250	0.0006567100638178845	4660	32.0	1.0
105.0	902.95	3391.6647395608375	3021056	3016320	4712	14.350180505415162	342.46293998194943	3021056	3270	0.0004913544348360469	4712	32.0	1.0
60.0	903.85	3513.005404607197	3056512	3051520	4768	10.288808664259928	401.1391019855596	3056512	3290	0.0003363816362512547	4768	32.0	1.0
11.764705882352942	891.1764705882352	3575.6823244726224	3092096	3087360	4824	8.149730215827338	468.2623370053957	3092096	3307	0.001177154901792424	4824	32.0	1.0
300.0	1081.3333333333333	3579.240399044592	3127296	3123200	4880	11.650568181818182	574.4957386363636	3127296	3313	0.0014129630723930728	4880	32.0	1.0
13.043478260869565	894.1721014492753	3580.4660612582215	3161856	3159040	4936	7.057291666666667	661.5963831018519	3161856	3412	0.000598109024265016	4936	32.0	1.0
14.583333333333334	885.5749999999999	3579.1913116073515	3195904	3194880	4991	5.783012218045113	323.9829358552632	3195904	3487	0.001413539791246876	4991	32.0	1.0
45.833333333333336	914.0833333333334	3454.455655622516	3231488	3229440	5045	7.222347122302159	319.0784903327338	3231488	3511	0.0006136802414268324	5045	32.0	1.0
0.0	882.0217391304348	3449.5149050043983	3267072	3264000	5099	5.572729316546763	371.7405294514389	3267072	3535	0.001211308107654245	5099	32.0	1.0
59.09090909090909	934.0681818181819	3451.404714468127	3302784	3298560	5153	3.6990367383512543	429.6279681899642	3302784	3558	0.0001191504200472048	5153	32.0	1.0
0.0	881.7142857142857	3453.7348139048645	3337856	3333120	5208	3.4557481751824817	515.7347741788321	3337856	3565	0.0012241595634391574	5208	32.0	1.0
0.0	917.8888888888889	3573.893533275407	3373312	3368960	5264	5.8889891696750905	628.3200586642599	3373312	3574	0.0007890611792130844	5264	32.0	1.0
0.0	881.6164224664226	3579.2744031108223	3407488	3404800	5320	8.011470037453183	465.6803604868914	3407488	3718	0.0015202622258324741	5320	32.0	1.0
0.0	883.8970588235294	3581.75452053267	3442048	3440640	5376	10.283564814814815	312.0287037037037	3442048	3755	0.000787370028254892	5376	32.0	1.0
0.0	893.6521739130435	3451.938135272783	3477248	3475200	5429	11.755681818181818	353.9539772727273	3477248	3779	0.0015773567138239741	5429	32.0	1.0
0.0	881.2727272727273	3390.9696856099745	3512832	3509120	5482	14.01753597122302	411.302832733813	3512832	3803	0.0020535979971821193	5482	32.0	1.0
72.72727272727273	938.7727272727273	3439.9319907229788	3548288	3543680	5536	18.85153429602888	478.31185130866425	3548288	3815	0.0033494505521418803	5536	32.0	1.0
175.0	952.0	3516.6677083635045	3583616	3578880	5592	15.93070652173913	580.0779551630435	3583616	3823	0.001603069153913696	5592	32.0	1.0
21.875	892.9777901785715	3577.192228363694	3617280	3614720	5648	16.614187262357415	628.631594581749	3617280	3939	0.005495304671317821	5648	32.0	1.0
39.130434782608695	902.1630434782609	3582.651862279359	3652224	3650560	5704	22.60473901098901	340.88724816849816	3652224	3989	0.007392126407856787	5704	32.0	1.0
75.92592592592592	909.3518518518518	3574.7196979886394	3687424	3686400	5759	26.948863636363637	337.3143465909091	3687424	4017	0.00408791104352779	5759	32.0	1.0
136.36363636363637	932.2954545454545	3505.5409008064385	3723136	3721600	5814	27.57616487455197	387.11671146953404	3723136	4041	0.0018510606161064723	5814	32.0	1.0
8.695652173913043	893.4782608695652	3449.3838146236785	3758720	3756160	5868	22.448291366906474	443.31885116906477	3758720	4064	0.006983966885686472	5868	32.0	1.0
90.9090909090909	998.7272727272727	3512.594022103389	3794432	3791360	5923	22.295026881720432	521.8555387544803	3794432	4075	0.0006763001821871677	5923	32.0	1.0
0.0	881.8333333333334	3455.4461306491767	3830016	3825920	5977	29.310926258992804	631.5597178507194	3830016	4081	0.005143846394882227	5977	32.0	1.0
4.545454545454546	883.4785714285714	3449.8210402529726	3864320	3860480	6032	39.72714552238806	463.09121385261193	3864320	4214	0.01108429290311919	6032	32.0	1.0
75.75757575757575	917.3939393939394	3574.012492412967	3899136	3896320	6088	53.73965992647059	360.41389016544116	3899136	4249	0.008757315967938797	6088	32.0	1.0
52.17391304347826	903.9347826086956	3583.237869619492	3934080	3932160	6144	56.57623626373626	399.87093635531136	3934080	4273	0.002807601541592573	6144	32.0	1.0
254.16666666666666	952.5208333333334	3580.285872016494	3969152	3968000	6200	52.64028284671533	447.2576984489051	3969152	4298	0.0037469037124537863	6200	32.0	1.0
266.6666666666667	974.8571428571429	3327.501228327215	4004352	4001280	6251	38.27272727272727	494.7323011363636	4004352	4319	0.004343270118731786	6251	32.0	1.0
384.61538461538464	1173.6923076923076	3447.2115626429327	4039936	4035840	6305	33.69210881294964	566.6023493705036	4039936	4332	0.006313958640762225	6305	32.0	1.0
4.519774011299434	893.1285310734464	3453.061241291305	4074112	4070400	6360	34.14676966292135	572.839302434457	4074112	4429	0.007441169762221927	6360	32.0	1.0
14.285714285714286	894.2738095238095	3580.27504247895	4108288	4106240	6416	49.607911985018724	380.40341175093636	4108288	4477	0.009282467674763342	6416	32.0	1.0
28.571428571428573	905.0952380952381	3513.719325892905	4143104	4141440	6471	68.46852022058823	396.8214901194853	4143104	4498	0.006639164413156157	6471	32.0	1.0
